"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10100","Aberdeen, SD","119","111","8",".",".",".","83","42","23",".",".",".",".","106","13"
"10140","Aberdeen, WA","365","342","23",".",".",".","68","40","20",".",".",".",".","365","."
"10260","Adjuntas, PR","42","40","2",".",".",".","55","41","18",".",".",".",".","42","."
"10300","Adrian, MI","347","259","87","1",".",".","109","58","40",".",".","113",".","234","."
"10420","Akron, OH","365","301","63","1",".",".","107","59","33","8",".","151","101","105","."
"10500","Albany, GA","359","216","142","1",".",".","111","65","45",".",".",".",".","359","."
"10540","Albany-Lebanon, OR","334","293","39","2",".",".","130","53","23",".",".",".",".","334","."
"10580","Albany-Schenectady-Troy, NY","365","317","48",".",".",".","71","54","36",".",".","206",".","159","."
"10740","Albuquerque, NM","365","232","130","2","1",".","162","65","47",".","1","210","3","66","85"
"10780","Alexandria, LA","290","199","90","1",".",".","106","58","41",".",".",".",".","290","."
"10880","Allegan, MI","242","191","47","4",".",".","127","65","39",".",".","170",".","72","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","218","140","7",".",".","123","73","45",".","13","118","23","210","1"
"11020","Altoona, PA","365","231","134",".",".",".","96","64","42",".",".","107","12","245","1"
"11100","Amarillo, TX","365","323","41","1",".",".","120","54","39",".",".","302","3","60","."
"11140","Americus, GA","245","243","2",".",".",".","61","45","34",".",".","245",".",".","."
"11180","Ames, IA","214","207","7",".",".",".","74","47","34",".",".","214",".",".","."
"11260","Anchorage, AK","365","259","98","4","4",".","168","73","33","1",".","58",".","196","110"
"11300","Anderson, IN","335","209","124","2",".",".","141","68","42",".",".","67",".","268","."
"11340","Anderson, SC","232","226","6",".",".",".","58","45","35",".",".","232",".",".","."
"11460","Ann Arbor, MI","365","259","105","1",".",".","106","61","41",".",".","139",".","226","."
"11540","Appleton, WI","334","251","82","1",".",".","111","62","38",".",".","127",".","207","."
"11620","Ardmore, OK","359","295","60","4",".",".","114","61","40",".",".","234",".","125","."
"11660","Arkadelphia, AR","355","353","2",".",".",".","74","42","31",".",".","355",".",".","."
"11700","Asheville, NC","303","237","66",".",".",".","90","56","41",".",".","159",".","144","."
"11780","Ashtabula, OH","359","338","20","1",".",".","101","47","29",".",".","214","145",".","."
"11900","Athens, OH","56","45","11",".",".",".","67","54","28.5",".",".",".",".","56","."
