"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10100","Aberdeen, SD","119","94","25",".",".",".","91","56","30",".",".",".",".","114","5"
"10140","Aberdeen, WA","365","361","4",".",".",".","72","28","16",".",".",".",".","365","."
"10300","Adrian, MI","217","164","52","1",".",".","103","64","41",".",".","125",".","92","."
"10420","Akron, OH","365","123","233","9",".",".","123","87","58",".",".","48","10","307","."
"10500","Albany, GA","357","189","165","2","1",".","156","70","48",".",".",".",".","354","3"
"10540","Albany-Lebanon, OR","365","266","99",".",".",".","87","61","26",".",".",".",".","365","."
"10580","Albany-Schenectady-Troy, NY","365","275","86","4",".",".","147","62","39",".",".","228",".","137","."
"10740","Albuquerque, NM","365","112","250","3",".",".","146","74","55",".","8","135",".","139","83"
"10780","Alexandria, LA","119","93","26",".",".",".","76","57","34",".",".",".",".","119","."
"10880","Allegan, MI","244","184","58","2",".",".","104","69","38.5",".",".","172",".","72","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","172","171","22",".",".","149","87","52",".","5","78","30","251","1"
"11020","Altoona, PA","365","312","49","4",".",".","122","58","35",".",".","205","91","37","32"
"11100","Amarillo, TX","360","353","7",".",".",".","60","38","23",".",".",".",".","360","."
"11140","Americus, GA","241","222","19",".",".",".","93","50","38",".",".","241",".",".","."
"11180","Ames, IA","214","208","6",".",".",".","74","45","33",".",".","214",".",".","."
"11260","Anchorage, AK","365","287","73","5",".",".","127","60","31","12",".","91",".","195","67"
"11300","Anderson, IN","290","190","100",".",".",".","99","67","45",".",".","127",".","163","."
"11340","Anderson, SC","343","292","49","2",".",".","106","58","37",".",".","343",".",".","."
"11460","Ann Arbor, MI","243","197","46",".",".",".","97","61","39",".",".","163",".","80","."
"11540","Appleton, WI","263","231","29","3",".",".","108","55","35",".",".","181",".","82","."
"11620","Ardmore, OK","364","289","75",".",".",".","93","57","40",".",".","197",".","167","."
"11700","Asheville, NC","364","225","136","3",".",".","104","67","46",".",".","123",".","241","."
"11780","Ashtabula, OH","348","302","36","10",".",".","132","61","32",".",".","214","134",".","."
"11900","Athens, OH","362","304","55","3",".",".","114","58","34",".","31","176","119","36","."
"11940","Athens, TN","363","350","11","2",".",".","133","33","18",".","264",".","60",".","39"
"12020","Athens-Clarke County, GA","365","219","144","2",".",".","122","67","45",".",".","95",".","270","."
"12060","Atlanta-Sandy Springs-Marietta, GA","365","117","219","27","2",".","172","90","58",".","10","95","3","257","."
"12100","Atlantic City, NJ","365","282","77","6",".",".","124","64","38",".",".","251",".","114","."
"12260","Augusta-Richmond County, GA-SC","365","201","162","2",".",".","114","71","47",".",".","139",".","226","."
