"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10140","Aberdeen, WA","366","202","90","69","5",".","200","114","41",".",".",".","348",".","18"
"10420","Akron, OH","366","140","111","107","8",".","166","124","66","3",".","85","271",".","7"
"10500","Albany, GA","341","337","4",".",".",".","80","21","3",".",".",".","341",".","."
"10540","Albany-Lebanon, OR","4","4",".",".",".",".","46","46","31",".",".",".",".",".","4"
"10580","Albany-Schenectady-Troy, NY","366","314","42","9","1",".","161","58","35","6","5","260","87",".","8"
"10740","Albuquerque, NM","366","240","125","1",".",".","101","71","47","69","79","195",".",".","23"
"10780","Alexandria, LA","356","350","6",".",".",".","76","41","28",".",".","343",".",".","13"
"10880","Allegan, MI","69","67","2",".",".",".","74","45","28",".",".","37",".",".","32"
"10900","Allentown-Bethlehem-Easton, PA-NJ","366","256","99","10","1",".","156","74","43","10","119","117","118",".","2"
"10940","Alma, MI","366","289","51","26",".",".","127","94","16","50",".",".","316",".","."
"11020","Altoona, PA","363","270","79","14",".",".","139","74","39","1","67","164","130",".","1"
"11100","Amarillo, TX","54","53","1",".",".",".","58","28","15.5",".",".",".",".",".","54"
"11140","Americus, GA","354","300","45","9",".",".","142","64","35",".",".","354",".",".","."
"11180","Ames, IA","274","267","5","2",".",".","115","27","4",".",".",".","274",".","."
"11260","Anchorage, AK","364","175","172","13","2","2","461","87","52","140",".",".",".",".","224"
"11300","Anderson, IN","61","59","2",".",".",".","51","35","20",".",".",".",".",".","61"
"11340","Anderson, SC","364","318","43","3",".",".","129","54","34",".",".","364",".",".","."
"11460","Ann Arbor, MI","194","167","22","5",".",".","137","67","34",".",".","184",".",".","10"
"11500","Anniston-Oxford, AL","60","60",".",".",".",".","43","34.5","22",".",".",".",".",".","60"
"11540","Appleton, WI","185","165","18","2",".",".","116","51","31",".",".","185",".",".","."
"11620","Ardmore, OK","55","53","2",".",".",".","63","41","24",".",".",".",".",".","55"
"11700","Asheville, NC","240","232","8",".",".",".","87","47","34",".",".","203",".",".","37"
"11780","Ashtabula, OH","366","260","85","18","3",".","164","87","39",".",".","162","204",".","."
"11900","Athens, OH","57","56","1",".",".",".","52","31","19",".",".",".",".",".","57"
"11940","Athens, TN","335","266","55","13","1",".","155","74","28",".","106",".","201",".","28"
"12060","Atlanta-Sandy Springs-Marietta, GA","366","148","140","64","13","1","202","122","60","2","115","123","125",".","1"
"12100","Atlantic City, NJ","366","275","73","15","3",".","195","74","36","72",".","212","21","56","5"
"12260","Augusta-Richmond County, GA-SC","366","316","43","7",".",".","124","58","34",".","2","345","13",".","6"
"12300","Augusta-Waterville, ME","366","303","55","7","1",".","166","64","35",".",".","189","160",".","17"
"12420","Austin-Round Rock, TX","366","302","52","12",".",".","137","68","37.5","19","98","244",".",".","5"
"12540","Bakersfield, CA","366","133","98","99","36",".","200","150","69","3","93","248","1",".","21"
"12580","Baltimore-Towson, MD","366","151","168","39","8",".","190","104","55","32","122","97","114",".","1"
"12620","Bangor, ME","366","318","45","3",".",".","132","56","30.5",".",".","151","144",".","71"
"12700","Barnstable Town, MA","215","171","29","11","4",".","187","84","37",".",".","215",".",".","."
"12740","Barre, VT","51","48","3",".",".",".","54","43","19",".",".",".",".",".","51"
"12940","Baton Rouge, LA","366","166","136","58","5","1","204","109","54","2","63","177","114",".","10"
"12980","Battle Creek, MI","60","58","2",".",".",".","56","39.5","24",".",".",".",".",".","60"
"13020","Bay City, MI","250","212","36",".","1","1","387","56.5","24",".",".",".",".",".","250"
"13140","Beaumont-Port Arthur, TX","366","156","132","72","6",".","190","112","56","1","26","160","173",".","6"
"13180","Beaver Dam, WI","182","152","20","10",".",".","147","74","36",".",".","182",".",".","."
"13340","Bellefontaine, OH","215","161","38","14","1","1","202","87","42",".",".","215",".",".","."
"13380","Bellingham, WA","364","344","19",".","1",".","155","46","29",".",".","105","239",".","20"
"13460","Bend, OR","218","160","58",".",".",".","93","59","42","132",".",".",".",".","86"
"13540","Bennington, VT","253","218","26","9",".",".","132","58","36",".",".","197",".","56","."
"13620","Berlin, NH-VT","365","117","132","112","4",".","186","120","67",".",".","16","326",".","23"
"13740","Billings, MT","366","7","37","241","81",".","200","177","127",".",".",".","366",".","."
"13780","Binghamton, NY","61","61",".",".",".",".","44","36","19",".",".",".",".",".","61"
"13820","Birmingham-Hoover, AL","366","212","127","22","5",".","178","97","47","59",".","145","90",".","72"
"13860","Bishop, CA","363","314","43","2","1","3","422","51","38","17",".","335",".",".","11"
"13900","Bismarck, ND","60","59","1",".",".",".","66","28","16",".",".",".",".",".","60"
