"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10100","Aberdeen, SD","122","100","22",".",".",".","81","61","32.5",".",".",".",".","121","1"
"10140","Aberdeen, WA","365","348","17",".",".",".","61","40","22",".",".",".",".","365","."
"10260","Adjuntas, PR","107","100","7",".",".",".","65","49","20",".",".",".",".","107","."
"10300","Adrian, MI","184","134","41","8","1",".","154","90","43",".",".","184",".",".","."
"10420","Akron, OH","365","153","147","64","1",".","179","111","56","4",".","123","154","84","."
"10500","Albany, GA","116","53","62","1",".",".","107","75","52",".",".",".",".","111","5"
"10540","Albany-Lebanon, OR","362","298","60","3","1",".","152","63","22",".",".",".",".","362","."
"10580","Albany-Schenectady-Troy, NY","365","284","69","11","1",".","161","71","40","1",".","284","13","67","."
"10740","Albuquerque, NM","365","120","228","15","2",".","169","87","58",".","6","134",".","30","195"
"10780","Alexandria, LA","267","203","63","1",".",".","101","66","40",".",".","183",".","84","."
"10880","Allegan, MI","362","199","136","25","2",".","195","96","46",".",".","135",".","227","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","133","200","31","1",".","151","96","56",".","8","56","68","202","31"
"11020","Altoona, PA","365","276","82","7",".",".","124","69","39",".","75","174","101",".","15"
"11100","Amarillo, TX","363","335","28",".",".",".","72","46","25",".",".",".",".","363","."
"11140","Americus, GA","246","212","33","1",".",".","116","64","37.5",".",".","246",".",".","."
"11180","Ames, IA","215","205","10",".",".",".","90","47","34",".",".","215",".",".","."
"11260","Anchorage, AK","303","252","48","2","1",".","151","57","23","107",".",".",".","96","100"
"11300","Anderson, IN","238","128","96","14",".",".","137","90","48",".",".","153",".","78","7"
"11340","Anderson, SC","265","198","58","9",".",".","122","80","41",".",".","222","43",".","."
"11460","Ann Arbor, MI","241","141","92","6","2",".","153","84","44",".",".","134",".","107","."
"11540","Appleton, WI","246","177","60","9",".",".","119","74","40",".",".","165",".","81","."
"11620","Ardmore, OK","260","199","48","13",".",".","137","71","42",".",".","221",".","39","."
"11700","Asheville, NC","362","164","176","21","1",".","154","84","52",".",".","121",".","241","."
"11780","Ashtabula, OH","365","296","47","21","1",".","172","74","31",".",".","206","159",".","."
"11900","Athens, OH","61","31","26","3","1",".","194","90","50",".",".",".",".","61","."
