"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10420","Akron, OH","365","64","114","136","49","2","273","164","102","1",".","63","301",".","."
"10580","Albany-Schenectady-Troy, NY","365","142","166","54","3",".","162","106","58","5",".","100","260",".","."
"10740","Albuquerque, NM","365","108","214","21","11","11","230","116","61","230","29","106",".",".","."
"10780","Alexandria, LA","164","145","17","2",".",".","116","51","34",".",".","164",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","146","165","46","6","2","204","106","57","8","56","117","184",".","."
"11020","Altoona, PA","364","240","106","16","2",".","156","85","42.5",".","61","174","129",".","."
"11180","Ames, IA","360","294","41","18","7",".","200","72","16",".",".",".","360",".","."
"11260","Anchorage, AK","365","186","133","29","15","2","242","118","49","365",".",".",".",".","."
"11460","Ann Arbor, MI","365","289","60","15","1",".","152","74","33",".",".","165","200",".","."
"11540","Appleton, WI","281","214","58","9",".",".","142","74","38",".",".","161","120",".","."
"11700","Asheville, NC","244","209","33","2",".",".","114","54","37",".","119","125",".",".","."
"11780","Ashtabula, OH","365","183","120","49","13",".","200","110","50",".",".","149","216",".","."
"12060","Atlanta-Sandy Springs-Marietta, GA","365","186","123","50","6",".","200","111","50","115","36","115","99",".","."
"12100","Atlantic City, NJ","358","220","83","46","8","1","204","114","45","67",".","248","43",".","."
"12260","Augusta-Richmond County, GA-SC","333","267","53","13",".",".","132","74","36",".",".","333",".",".","."
"12300","Augusta-Waterville, ME","170","145","17","5","3",".","185","58","35",".",".","170",".",".","."
"12420","Austin-Round Rock, TX","363","305","40","16","2",".","166","67","34",".",".","349","14",".","."
"12540","Bakersfield, CA","365","79","183","76","25","2","208","140","69","5","146","142","72",".","."
"12580","Baltimore-Towson, MD","365","34","178","130","22","1","203","132","94","71","47","94","153",".","."
"12620","Bangor, ME","365","82","160","121","2",".","169","122","82","37",".","23","305",".","."
"12740","Barre, VT","214","171","40","3",".",".","104","64","30",".",".",".","214",".","."
"12940","Baton Rouge, LA","365","242","84","30","6","3","218","104","43","9",".","238","118",".","."
"12980","Battle Creek, MI","360","359","1",".",".",".","67","27","13",".",".",".","360",".","."
"13020","Bay City, MI","209","172","31","6",".",".","116","67","36",".",".","209",".",".","."
"13140","Beaumont-Port Arthur, TX","365","104","117","112","29","3","215","148","81",".","20","111","234",".","."
"13180","Beaver Dam, WI","88","66","20","2",".",".","127","74","36",".",".","88",".",".","."
"13540","Bennington, VT","120","103","17",".",".",".","99","54","27",".",".",".","120",".","."
"13620","Berlin, NH-VT","365","94","125","121","25",".","200","139","86",".",".","26","339",".","."
"13740","Billings, MT","365","20","53","210","82",".","200","178","126","7",".",".","358",".","."
"13780","Binghamton, NY","365","276","74","13","2",".","177","72","36","25",".","154","186",".","."
"13820","Birmingham-Hoover, AL","365","194","119","44","6","2","207","109","49","95",".","233","37",".","."
"14260","Boise City-Nampa, ID","364","166","185","11","2",".","192","87","53","364",".",".",".",".","."
"14460","Boston-Cambridge-Quincy, MA-NH","365","4","128","205","23","5","271","139","107","52","16","26","271",".","."
"14500","Boulder, CO","327","260","59","6","2",".","161","64","39","70",".","257",".",".","."
"14540","Bowling Green, KY","2","1",".",".","1",".","166","166","86",".",".","2",".",".","."
"14600","Bradenton-Sarasota-Venice, FL","181","179","2",".",".",".","77","42","26",".",".","181",".",".","."
"14860","Bridgeport-Stamford-Norwalk, CT","365","84","174","67","25","15","223","154","69","71","56","113","125",".","."
"15380","Buffalo-Niagara Falls, NY","365","35","134","175","21",".","185","139","103","4","17","26","318",".","."
"15540","Burlington-South Burlington, VT","365","308","42","15",".",".","145","61","32","77",".","142","146",".","."
"15940","Canton-Massillon, OH","365","139","178","42","6",".","182","106","57","2","66","104","193",".","."
"15980","Cape Coral-Fort Myers, FL","183","160","21","2",".",".","114","56","28",".",".","142","41",".","."
"16180","Carson City, NV","70","66","4",".",".",".","84","44.5","34","18",".","52",".",".","."
"16300","Cedar Rapids, IA","365","127","128","103","7",".","188","124","69","9",".","53","303",".","."
"16420","Central City, KY","363","103","114","93","53",".","200","168","80",".","1","69","293",".","."
"16580","Champaign-Urbana, IL","356","300","50","6",".",".","109","61","34",".",".","275","81",".","."
"16620","Charleston, WV","365","164","120","75","6",".","200","114","58","5","66","63","231",".","."
"16700","Charleston-North Charleston, SC","365","280","65","19","1",".","157","77","36","8","14","215","127",".","1"
"16740","Charlotte-Gastonia-Concord, NC-SC","365","73","207","78","7",".","192","119","71","171",".","79","115",".","."
"16860","Chattanooga, TN-GA","363","271","66","22","4",".","187","93","37",".",".","363",".",".","."
"16900","Chester, SC","361","277","56","22","6",".","177","90","36",".",".","361",".",".","."
"16980","Chicago-Naperville-Joliet, IL-IN-WI","365","18","145","152","46","4","203","161","103","48","22","35","260",".","."
"17020","Chico, CA","365","302","59","4",".",".","150","57","38","104","121","140",".",".","."
"17140","Cincinnati-Middletown, OH-KY-IN","365","19","101","176","68","1","203","174","114","5","27","33","300",".","."
"17300","Clarksville, TN-KY","365","157","127","66","15",".","194","122","59",".","1","133","231",".","."
"17340","Clearlake, CA","338","322","16",".",".",".","93","43","30",".",".","338",".",".","."
"17420","Cleveland, TN","365","83","77","134","71",".","200","182","107",".",".",".","365",".","."
"17460","Cleveland-Elyria-Mentor, OH","365","11","110","215","28","1","202","142","109","4","12","34","315",".","."
"17740","Coldwater, MI","331","297","28","6",".",".","129","56","0",".",".",".","331",".","."
