"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10100","Aberdeen, SD","83","81","2",".",".",".","54","40","21",".",".",".",".",".","83"
"10140","Aberdeen, WA","365","153","126","82","4",".","194","116","69",".",".",".","365",".","."
"10420","Akron, OH","365","150","118","87","9","1","202","124","62","61",".","105","188",".","11"
"10540","Albany-Lebanon, OR","13","9","4",".",".",".","73","71","36",".",".",".",".",".","13"
"10580","Albany-Schenectady-Troy, NY","365","236","110","18","1",".","177","81","44","11",".","183","165",".","6"
"10740","Albuquerque, NM","365","133","195","29","5","3","207","101","59","127","27","207",".",".","4"
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","206","113","34","11","1","203","111","48","31","68","152","111",".","3"
"10980","Alpena, MI","48","43","5",".",".",".","69","60","20",".",".",".",".",".","48"
"11020","Altoona, PA","364","221","113","25","5",".","179","96","45.5",".",".","196","160",".","8"
"11100","Amarillo, TX","46","46",".",".",".",".","39","30","16.5",".",".",".",".",".","46"
"11180","Ames, IA","365","290","43","29","3",".","178","87","14",".",".",".","365",".","."
"11260","Anchorage, AK","348","210","129","9",".",".","138","74","43","169",".",".",".",".","179"
"11460","Ann Arbor, MI","215","161","39","11","4",".","182","90","40",".",".","215",".",".","."
"11540","Appleton, WI","185","159","22","4",".",".","132","61","35",".",".","185",".",".","."
"11700","Asheville, NC","233","198","31","4",".",".","137","58","41",".",".","204",".",".","29"
"11780","Ashtabula, OH","362","244","75","38","4","1","203","104","39",".",".","153","209",".","."
"11940","Athens, TN","335","266","63","6",".",".","135","69","33",".","144",".","191",".","."
"12060","Atlanta-Sandy Springs-Marietta, GA","365","107","143","85","22","8","210","141","68","14","84","166","98",".","3"
"12100","Atlantic City, NJ","363","260","63","28","10","2","202","104","38",".",".","287","50",".","26"
"12260","Augusta-Richmond County, GA-SC","365","258","76","29","2",".","151","97","41",".",".","347","17",".","1"
"12300","Augusta-Waterville, ME","274","246","24","3","1",".","159","51","32",".",".","204",".",".","70"
"12420","Austin-Round Rock, TX","365","286","61","17","1",".","154","74","36",".",".","340","2",".","23"
"12540","Bakersfield, CA","365","99","126","72","56","12","207","169","71","6","108","213","14",".","24"
"12580","Baltimore-Towson, MD","365","61","195","73","27","9","214","145","74","24","91","100","146",".","4"
"12620","Bangor, ME","365","128","171","61","5",".","200","108","62",".",".",".","359",".","6"
"12700","Barnstable Town, MA","188","153","26","6","3",".","182","74","36",".",".","188",".",".","."
"12740","Barre, VT","281","262","19",".",".",".","66","46","21",".",".",".","192",".","89"
"12940","Baton Rouge, LA","365","128","163","62","11","1","207","119","64",".","78","154","128",".","5"
"12980","Battle Creek, MI","113","97","15","1",".",".","123","53","31",".",".",".",".",".","113"
"13140","Beaumont-Port Arthur, TX","364","139","133","70","21","1","208","130","56","2","2","137","223",".","."
"13180","Beaver Dam, WI","185","132","37","13","3",".","182","97","39",".",".","185",".",".","."
"13380","Bellingham, WA","355","256","95","2","2",".","200","69","30","24",".",".","292",".","39"
"13460","Bend, OR","60","53","7",".",".",".","81","57","28",".",".",".",".",".","60"
"13540","Bennington, VT","204","175","21","8",".",".","137","67","36",".",".","204",".",".","."
"13620","Berlin, NH-VT","365","119","143","95","8",".","190","123","66",".",".","20","307",".","38"
"13740","Billings, MT","325","45","94","131","55",".","200","166","108",".",".",".","321",".","4"
"13820","Birmingham-Hoover, AL","365","162","150","47","5","1","202","111","53","80",".","162","19",".","104"
"13860","Bishop, CA","69","53","11","4",".","1","568","84","33",".",".",".",".",".","69"
"13900","Bismarck, ND","60","56","4",".",".",".","72","39.5","18",".",".",".",".",".","60"
"14260","Boise City-Nampa, ID","344","237","106",".","1",".","173","69","39","313",".",".",".",".","31"
"14460","Boston-Cambridge-Quincy, MA-NH","365","14","180","160","9","2","209","121","97","5","53","41","265",".","1"
"14500","Boulder, CO","365","257","89","18","1",".","166","84","39","72",".","258",".",".","35"
"14540","Bowling Green, KY","355","250","67","36","1","1","204","101","41",".",".","355",".",".","."
"14580","Bozeman, MT","50","49","1",".",".",".","54","37.5","22",".",".",".",".",".","50"
"14600","Bradenton-Sarasota-Venice, FL","230","221","8","1",".",".","114","43","25",".",".","203","27",".","."
"14740","Bremerton-Silverdale, WA","358","274","83","1",".",".","106","71","32.5","358",".",".",".",".","."
"14860","Bridgeport-Stamford-Norwalk, CT","365","152","148","39","17","9","211","124","59","23","61","105","176",".","."
"15260","Brunswick, GA","353","300","43","10",".",".","132","64","34",".",".","246","107",".","."
"15380","Buffalo-Niagara Falls, NY","365","63","121","154","26","1","203","145","100","4","44","51","266",".","."
"15540","Burlington-South Burlington, VT","365","318","44","3",".",".","114","55","36","22","190","134","7",".","12"
"15580","Butte-Silver Bow, MT","140","81","54","5",".",".","136","75","44.5","2",".",".",".",".","138"
"15860","Canon City, CO","6","6",".",".",".",".","25","25","13",".",".",".",".",".","6"
"15940","Canton-Massillon, OH","365","215","115","32","2","1","202","100","45","4",".","154","194",".","13"
"16100","Carlsbad-Artesia, NM","364","203","105","44","12",".","200","116","43",".","53",".","277",".","34"
"16180","Carson City, NV","335","335",".",".",".",".","43","22","10","335",".",".",".",".","."
"16220","Casper, WY","31","31",".",".",".",".","47","40","27",".",".",".",".",".","31"
"16300","Cedar Rapids, IA","365","117","108","129","11",".","200","134","80","5",".","62","289",".","9"
"16420","Central City, KY","271","117","106","46","2",".","196","113","56",".",".","123","148",".","."
"16580","Champaign-Urbana, IL","363","298","58","6","1",".","151","61","34",".",".","277","86",".","."
"16620","Charleston, WV","365","164","146","53","2",".","164","106","55",".","89","84","189",".","3"
"16700","Charleston-North Charleston, SC","365","235","101","28","1",".","154","97","43","15",".","268","75",".","7"
"16740","Charlotte-Gastonia-Concord, NC-SC","365","153","150","49","11","2","206","127","57","171",".","194",".",".","."
"16860","Chattanooga, TN-GA","365","240","83","39","3",".","187","104","42",".",".","340",".",".","25"
"16900","Chester, SC","338","241","66","28","2","1","203","93","39",".",".","338",".",".","."
"16940","Cheyenne, WY","50","50",".",".",".",".","45","36","28",".",".",".",".",".","50"
"16980","Chicago-Naperville-Joliet, IL-IN-WI","365","9","134","184","31","7","219","151","105","4","30","44","284",".","3"
"17020","Chico, CA","365","230","120","15",".",".","132","79","47","52","108","197",".",".","8"
"17140","Cincinnati-Middletown, OH-KY-IN","365","33","132","153","43","4","210","159","103","1","40","73","248",".","3"
"17300","Clarksville, TN-KY","364","167","109","75","13",".","200","122","55",".",".","72","292",".","."
"17340","Clearlake, CA","361","338","22","1",".",".","111","47","27",".",".","357",".",".","4"
"17420","Cleveland, TN","359","89","60","82","128",".","200","200","116",".","43",".","316",".","."
"17460","Cleveland-Elyria-Mentor, OH","365","29","141","180","14","1","209","137","103","7","14","34","301",".","9"
"17540","Clinton, IA","359","188","60","66","45",".","200","175","46",".",".",".","283",".","76"
"17660","Coeur d'Alene, ID","68","47","21",".",".",".","85","61","33.5",".",".",".",".",".","68"
"17820","Colorado Springs, CO","365","272","92","1",".",".","121","65","42","128",".","209",".",".","28"
"17860","Columbia, MO","27","26","1",".",".",".","58","43","23",".",".",".",".",".","27"
"17900","Columbia, SC","365","238","89","36","2",".","161","101","43","46",".","277","22",".","20"
"17940","Columbia, TN","62","45","17",".",".",".","84","57","40",".",".",".",".",".","62"
"17980","Columbus, GA-AL","348","260","64","24",".",".","150","90","39",".",".","260","88",".","."
"18060","Columbus, MS","276","226","46","4",".",".","114","67","39",".",".","276",".",".","."
"18140","Columbus, OH","365","157","160","46","1","1","204","104","54","67","1","81","194",".","22"
"18180","Concord, NH","364","214","60","80","10",".","186","123","37",".",".","71","293",".","."
"18580","Corpus Christi, TX","365","232","96","33","4",".","164","101","42",".",".","206","77",".","82"
"18860","Crescent City, CA","74","70","4",".",".",".","56","34","24.5",".",".","38",".",".","36"
"18980","Cullman, AL","137","95","30","11","1",".","151","100","42",".",".","137",".",".","."
"19060","Cumberland, MD-WV","365","268","92","5",".",".","124","65","40","29",".","153","183",".","."
"19100","Dallas-Fort Worth-Arlington, TX","365","193","102","50","16","4","211","127","48","25","135","182","12",".","11"
"19340","Davenport-Moline-Rock Island, IA-IL","365","284","71","9","1",".","154","72","37","59",".","233","59",".","14"
"19380","Dayton, OH","365","244","93","26","2",".","156","93","41","96",".","173","60",".","36"
"19460","Decatur, AL","77","68","9",".",".",".","97","60","29",".",".",".","77",".","."
"19500","Decatur, IL","364","179","87","67","31",".","200","146","51",".",".","114","215",".","35"
"19660","Deltona-Daytona Beach-Ormond Beach, FL","357","355","2",".",".",".","62","19","7",".",".",".","357",".","."
"19700","Deming, NM","256","244","11","1",".",".","145","40","26",".",".",".",".",".","256"
"19740","Denver-Aurora, CO","365","49","220","75","15","6","236","118","74","86","145","96","34",".","4"
"19780","Des Moines-West Des Moines, IA","365","277","88",".",".",".","87","60","33","136",".","12",".",".","217"
"19820","Detroit-Warren-Livonia, MI","365","56","162","130","17",".","197","127","90","7","8","37","300",".","13"
