"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10100","Aberdeen, SD","121","100","21",".",".",".","75","55","26",".",".",".",".","108","13"
"10140","Aberdeen, WA","365","316","49",".",".",".","71","54","21",".",".",".",".","365","."
"10260","Adjuntas, PR","93","91","2",".",".",".","54","36","16",".",".",".",".","93","."
"10300","Adrian, MI","245","209","36",".",".",".","90","54","38",".",".","158",".","87","."
"10420","Akron, OH","365","298","64","3",".",".","146","59","34","7",".","145","117","96","."
"10500","Albany, GA","364","232","127","5",".",".","126","64","43",".",".",".",".","364","."
"10540","Albany-Lebanon, OR","365","291","69","5",".",".","111","63","23",".",".",".",".","365","."
"10580","Albany-Schenectady-Troy, NY","365","310","55",".",".",".","83","55","36",".",".","246",".","119","."
"10740","Albuquerque, NM","365","177","185","3",".",".","145","72","51",".","1","179",".","123","62"
"10780","Alexandria, LA","362","232","129","1",".",".","105","63","43.5",".",".",".",".","362","."
"10880","Allegan, MI","241","185","51","5",".",".","129","64","39",".",".","167",".","74","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","203","151","11",".",".","134","76","47",".","10","99","13","242","1"
"11020","Altoona, PA","365","222","140","3",".",".","115","66","45",".",".","98","6","261","."
"11100","Amarillo, TX","365","309","55","1",".",".","104","59","40",".",".","325","1","39","."
"11140","Americus, GA","245","240","5",".",".",".","64","44","33",".",".","245",".",".","."
"11180","Ames, IA","214","210","4",".",".",".","64","45","37",".",".","214",".",".","."
"11260","Anchorage, AK","365","284","76","4","1",".","151","62","29","2",".",".",".","254","109"
"11300","Anderson, IN","363","237","125","1",".",".","118","62","42",".",".","82",".","281","."
"11340","Anderson, SC","250","248","2",".",".",".","64","42","31",".",".","250",".",".","."
"11460","Ann Arbor, MI","365","322","43",".",".",".","87","52","34",".",".","306",".","59","."
"11540","Appleton, WI","365","271","94",".",".",".","90","61","38",".",".","141",".","224","."
"11620","Ardmore, OK","340","230","103","7",".",".","124","69","43",".",".","170",".","170","."
"11660","Arkadelphia, AR","327","318","9",".",".",".","97","43","31",".",".","327",".",".","."
"11700","Asheville, NC","365","304","61",".",".",".","80","54","40",".",".","149",".","216","."
"11780","Ashtabula, OH","365","343","22",".",".",".","93","47","28",".",".","212","153",".","."
"11900","Athens, OH","57","49","8",".",".",".","65","53","33",".",".",".",".","57","."
"11940","Athens, TN","365","339","26",".",".",".","91","47","3",".",".",".","261","104","."
"12020","Athens-Clarke County, GA","365","272","93",".",".",".","91","60","39",".",".","79",".","286","."
