"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10100","Aberdeen, SD","65","62","3",".",".",".","64","42","26",".",".",".",".",".","65"
"10140","Aberdeen, WA","353","105","64","142","42",".","200","153","103",".",".",".","353",".","."
"10420","Akron, OH","365","78","173","110","4",".","174","123","85","1",".","73","291",".","."
"10540","Albany-Lebanon, OR","62","39","23",".",".",".","77","64","43",".",".",".",".",".","62"
"10580","Albany-Schenectady-Troy, NY","365","259","89","15","2",".","169","75","42","7",".","192","156",".","10"
"10740","Albuquerque, NM","365","182","173","7",".","3","218","80","51","116","34","194",".",".","21"
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","179","135","41","10",".","177","109","51","30","62","149","119",".","5"
"11020","Altoona, PA","365","221","128","14","2",".","161","87","46",".","19","171","152",".","23"
"11100","Amarillo, TX","40","37","3",".",".",".","59","47","30.5",".",".",".",".",".","40"
"11180","Ames, IA","365","280","43","36","6",".","200","103","7",".",".",".","365",".","."
"11260","Anchorage, AK","365","228","116","19","2",".","154","84","38","298",".","40",".",".","27"
"11460","Ann Arbor, MI","192","160","26","6",".",".","145","64","34",".",".","192",".",".","."
"11540","Appleton, WI","185","166","17","2",".",".","132","54","34",".",".","185",".",".","."
"11700","Asheville, NC","206","178","28",".",".",".","84","54","35",".",".","206",".",".","."
"11780","Ashtabula, OH","365","230","91","35","9",".","200","103","42",".",".","151","214",".","."
"11940","Athens, TN","323","258","55","9","1",".","200","67","25",".","94",".","229",".","."
"12060","Atlanta-Sandy Springs-Marietta, GA","365","156","148","51","10",".","197","118","57","23","139","104","99",".","."
"12100","Atlantic City, NJ","365","216","99","36","10","4","212","115","47","97",".","204","63",".","1"
"12260","Augusta-Richmond County, GA-SC","360","276","61","22","1",".","157","88.5","37",".",".","313","47",".","."
"12300","Augusta-Waterville, ME","304","212","71","17","4",".","195","80","40",".",".","174","79",".","51"
"12420","Austin-Round Rock, TX","365","309","41","11","4",".","200","77","35",".",".","346","2",".","17"
"12540","Bakersfield, CA","365","69","164","85","43","4","203","156","79","5","124","206","30",".","."
"12580","Baltimore-Towson, MD","365","38","218","84","22","3","213","137","79","69","85","104","106",".","1"
"12620","Bangor, ME","365","105","190","62","8",".","200","111","67",".",".",".","349",".","16"
"12660","Baraboo, WI","66","65","1",".",".",".","53","35","21",".",".",".",".",".","66"
"12740","Barre, VT","264","246","17","1",".",".","109","47","23",".",".",".","203",".","61"
"12940","Baton Rouge, LA","365","101","185","61","17","1","206","122","62",".","97","114","154",".","."
"12980","Battle Creek, MI","66","58","8",".",".",".","78","53","33",".",".",".",".",".","66"
"13140","Beaumont-Port Arthur, TX","365","104","138","114","9",".","200","116","81","11","19","19","316",".","."
"13180","Beaver Dam, WI","166","130","29","7",".",".","142","80","39",".",".","166",".",".","."
"13380","Bellingham, WA","316","278","26","10","2",".","200","56","14",".",".",".","316",".","."
"13460","Bend, OR","61","48","12","1",".",".","121","60","24",".",".",".",".",".","61"
"13620","Berlin, NH-VT","365","130","155","78","2",".","174","113","61",".",".","27","304",".","34"
