"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10100","Aberdeen, SD","121","108","13",".",".",".","71","51","32",".",".",".",".","110","11"
"10140","Aberdeen, WA","362","315","47",".",".",".","81","55","24",".",".",".",".","362","."
"10260","Adjuntas, PR","92","86","6",".",".",".","68","48","25",".",".",".",".","92","."
"10300","Adrian, MI","1","1",".",".",".",".","17","17","17",".",".","1",".",".","."
"10420","Akron, OH","365","234","108","22","1",".","154","90","44","10",".","162","109","84","."
"10460","Alamogordo, NM","222","219","3",".",".",".","84","19","10",".",".",".",".",".","222"
"10500","Albany, GA","114","59","50","4","1",".","181","84","49",".",".",".",".","105","9"
"10540","Albany-Lebanon, OR","363","294","62","6","1",".","188","62","26",".",".",".",".","363","."
"10580","Albany-Schenectady-Troy, NY","365","235","115","15",".",".","135","80","40",".",".","171",".","194","."
"10740","Albuquerque, NM","365","110","241","13","1",".","178","84","58",".","3","154",".","111","97"
"10780","Alexandria, LA","113","83","30",".",".",".","74","59","40",".",".",".",".","113","."
"10880","Allegan, MI","111","63","48",".",".",".","95","70","44",".",".",".",".","111","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","159","170","31","5",".","184","100","55",".","14","85","71","194","1"
"11020","Altoona, PA","365","315","48","2",".",".","104","55","36",".","101","186","72",".","6"
"11100","Amarillo, TX","360","348","12",".",".",".","66","40.5","24",".",".",".",".","360","."
"11140","Americus, GA","243","197","42","4",".",".","119","64","42",".",".","243",".",".","."
"11180","Ames, IA","209","194","12","3",".",".","114","48","35",".",".","209",".",".","."
"11260","Anchorage, AK","310","275","34","1",".",".","135","52","22","102",".",".",".","95","113"
"11300","Anderson, IN","350","150","192","8",".",".","124","77","54",".",".","94",".","255","1"
"11460","Ann Arbor, MI","117","54","60","3",".",".","115","74","53",".",".",".",".","117","."
"11540","Appleton, WI","254","189","60","5",".",".","119","71","40",".",".","176",".","78","."
"11620","Ardmore, OK","274","210","58","6",".",".","147","74","42",".",".","274",".",".","."
"11700","Asheville, NC","345","145","190","10",".",".","137","84","54",".",".","117",".","228","."
"11780","Ashtabula, OH","362","308","37","16","1",".","156","74","31",".",".","213","149",".","."
"11900","Athens, OH","364","265","84","15",".",".","148","77","39",".","23","193","112","36","."
"11940","Athens, TN","365","266","88","11",".",".","130","74","30",".","186",".","73","100","6"
"12020","Athens-Clarke County, GA","360","163","179","17","1",".","155","86.5","53",".",".","87",".","273","."
"12060","Atlanta-Sandy Springs-Marietta, GA","365","71","231","45","17","1","204","127","69",".","7","96","30","232","."
"12100","Atlantic City, NJ","365","284","74","7",".",".","124","71","38",".",".","269","4","91","1"
"12260","Augusta-Richmond County, GA-SC","365","146","198","21",".",".","140","84","56",".","1","126",".","238","."
"12300","Augusta-Waterville, ME","214","185","23","6",".",".","132","56","32",".",".","167",".","44","3"
"12420","Austin-Round Rock, TX","365","256","105","4",".",".","145","64","41",".",".","140",".","224","1"
"12540","Bakersfield, CA","365","37","172","112","43","1","204","153","93",".","2","160",".","194","9"
"12580","Baltimore-Towson, MD","365","122","188","50","4","1","202","114","60",".","8","113","30","213","1"
"12620","Bangor, ME","341","302","37","2",".",".","111","52","32",".",".","274",".","62","5"
"12660","Baraboo, WI","365","308","54","3",".",".","131","61","35",".",".","296",".","69","."
"12700","Barnstable Town, MA","236","192","31","13",".",".","145","67","36",".",".","167",".","69","."
"12940","Baton Rouge, LA","365","112","198","50","5",".","179","109","58",".","7","100","70","186","2"
"13020","Bay City, MI","112","72","40",".",".",".","89","66","38",".",".",".",".","112","."
"13140","Beaumont-Port Arthur, TX","365","132","200","32","1",".","181","100","55",".","3","75","78","209","."
"13180","Beaver Dam, WI","365","284","74","7",".",".","117","64","35",".",".","275","2","82","6"
"13220","Beckley, WV","115","65","49","1",".",".","122","78","47",".",".",".",".","115","."
"13380","Bellingham, WA","347","311","36",".",".",".","81","52","24",".",".",".",".","347","."
"13460","Bend, OR","362","339","23",".",".",".","79","42","17",".",".",".",".","352","10"
"13540","Bennington, VT","365","323","38","4",".",".","114","55","32",".",".","318",".","47","."
"13620","Berlin, NH-VT","241","180","51","10",".",".","140","74","41",".",".","181",".","60","."
"13740","Billings, MT","365","248","109","7","1",".","181","71","44",".","3","72","256","32","2"
"13820","Birmingham-Hoover, AL","365","31","273","50","11",".","182","117","73","20",".","47","5","237","56"
"13860","Bishop, CA","365","213","119","25","5","3","623","99","47",".",".","283",".","6","76"
"13900","Bismarck, ND","365","353","12",".",".",".","63","43","30",".","35","252","21","51","6"
"14020","Bloomington, IN","184","110","58","16",".",".","137","100","47",".",".","184",".",".","."
"14060","Bloomington-Normal, IL","365","283","79","3",".",".","142","67","36",".",".","310",".","55","."
"14260","Boise City-Nampa, ID","365","194","156","13","2",".","167","80","49","1",".","100",".","253","11"
"14380","Boone, NC","112","68","44",".",".",".","87","70","41",".",".",".",".","112","."
"14460","Boston-Cambridge-Quincy, MA-NH","365","133","205","24","3",".","169","93","56",".","13","63","20","269","."
"14500","Boulder, CO","365","262","95","8",".",".","132","80","42",".",".","322",".","42","1"
"14540","Bowling Green, KY","365","187","153","25",".",".","123","90","49",".",".","157",".","208","."
"14580","Bozeman, MT","365","303","55","5","2",".","174","62","27","2",".",".",".","363","."
"14600","Bradenton-Sarasota-Venice, FL","365","303","58","4",".",".","122","60","38","7","1","291","4","50","12"
"14660","Brainerd, MN","354","291","59","4",".",".","136","58","32.5",".",".","125",".","229","."
"14700","Branson, MO","121","94","27",".",".",".","89","57","31",".",".",".",".","121","."
"14740","Bremerton-Silverdale, WA","361","299","61","1",".",".","102","59","24",".",".",".",".","361","."
"14860","Bridgeport-Stamford-Norwalk, CT","365","216","121","24","4",".","182","93","43",".","45","139","16","164","1"
"14940","Brigham City, UT","242","131","101","9","1",".","156","84","49",".",".","180",".","62","."
"15100","Brookings, SD","124","105","19",".",".",".","87","55","31",".",".",".",".","92","32"
"15140","Brownsville, TN","120","106","13","1",".",".","104","52.5","36",".","1","117","2",".","."
"15180","Brownsville-Harlingen, TX","363","241","121","1",".",".","101","65","42","1",".","63",".","293","6"
"15260","Brunswick, GA","354","310","42","2",".",".","149","53","35",".",".","189","77","79","9"
"15380","Buffalo-Niagara Falls, NY","365","179","146","39","1",".","167","102","51",".","43","86","33","203","."
"15500","Burlington, NC","243","98","140","5",".",".","126","79","55",".",".",".",".","243","."
"15540","Burlington-South Burlington, VT","365","322","39","4",".",".","127","53","32",".","29","277",".","59","."
"15580","Butte-Silver Bow, MT","360","283","70","6","1",".","167","63","29",".",".",".",".","131","229"
"15620","Cadillac, MI","114","93","20","1",".",".","110","60","28",".",".","1",".","113","."
"15860","Canon City, CO","56","56",".",".",".",".","29","23","16.5",".",".",".",".",".","56"
"15940","Canton-Massillon, OH","355","214","112","27","2",".","157","95","44","105",".","182",".","68","."
"15980","Cape Coral-Fort Myers, FL","365","321","43","1",".",".","104","51","36",".",".","316",".","41","8"
"16060","Carbondale, IL","58","57","1",".",".",".","56","33","20",".",".",".",".",".","58"
"16100","Carlsbad-Artesia, NM","365","336","29",".",".",".","77","49","38",".","3","334",".","28","."
"16180","Carson City, NV","365","341","24",".",".",".","90","48","33","150",".","215",".",".","."
"16220","Casper, WY","115","115",".",".",".",".","42","26","18",".",".",".",".",".","115"
"16300","Cedar Rapids, IA","365","247","100","18",".",".","145","79","42",".",".","137","168","58","2"
"16500","Centralia, WA","116","116",".",".",".",".","26","14","4",".",".",".",".","116","."
"16540","Chambersburg, PA","215","147","62","6",".",".","109","80","43",".",".","215",".",".","."
"16580","Champaign-Urbana, IL","365","296","68","1",".",".","101","62","34",".",".","284",".","81","."
"16620","Charleston, WV","365","112","223","30",".",".","140","97","60",".",".","56","34","275","."
"16700","Charleston-North Charleston, SC","365","207","153","4","1",".","159","70","47",".","3","122","11","229","."
"16740","Charlotte-Gastonia-Concord, NC-SC","365","112","213","36","3","1","205","104","61",".","11","120","21","213","."
"16820","Charlottesville, VA","60","60",".",".",".",".","49","28.5","18",".",".",".",".",".","60"
"16860","Chattanooga, TN-GA","342","108","204","28","2",".","169","98","60",".",".","110",".","232","."
"16900","Chester, SC","255","189","63","3",".",".","127","67","44",".",".","255",".",".","."
"16940","Cheyenne, WY","118","116","2",".",".",".","55","30","17",".",".",".",".","94","24"
"16980","Chicago-Naperville-Joliet, IL-IN-WI","365","21","285","55","4",".","182","107","76",".","103","51","69","134","8"
"17020","Chico, CA","365","270","77","17","1",".","163","84","40",".","14","331",".","19","1"
"17140","Cincinnati-Middletown, OH-KY-IN","365","92","213","56","4",".","172","114","62",".","7","103","95","160","."
"17200","Claremont, NH","213","183","25","5",".",".","111","56","32",".",".","170",".","43","."
"17220","Clarksburg, WV","121","56","64","1",".",".","108","77","52",".",".",".",".","121","."
"17300","Clarksville, TN-KY","365","167","158","39","1",".","163","101","52",".",".","138","31","196","."
"17340","Clearlake, CA","361","360","1",".",".",".","61","40","30",".",".","356",".","5","."
