"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10140","Aberdeen, WA","365","309","51","4","1",".","162","69","15",".",".",".","329",".","36"
"10300","Adrian, MI","87","66","19","2",".",".","109","84","36",".",".","87",".",".","."
"10420","Akron, OH","365","119","120","114","12",".","180","130","75","3",".","66","288",".","8"
"10580","Albany-Schenectady-Troy, NY","365","303","48","13","1",".","159","67","36","9",".","253","100",".","3"
"10740","Albuquerque, NM","365","204","157","4",".",".","107","74","49","28","157","166",".",".","14"
"10780","Alexandria, LA","92","91","1",".",".",".","56","37","20",".",".","35",".",".","57"
"10880","Allegan, MI","211","164","38","8","1",".","174","77","36",".",".","182",".",".","29"
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","215","117","32","1",".","172","95","46","1","115","125","120",".","4"
"10940","Alma, MI","364","299","43","22",".",".","147","81","14","54",".",".","310",".","."
"11020","Altoona, PA","365","253","96","16",".",".","145","81","42",".","56","173","134",".","2"
"11100","Amarillo, TX","62","61","1",".",".",".","58","28","18",".",".",".",".",".","62"
"11140","Americus, GA","364","300","56","8",".",".","124","71","36",".",".","364",".",".","."
"11260","Anchorage, AK","362","217","135","10",".",".","116","74","43","138",".",".",".",".","224"
"11300","Anderson, IN","209","155","42","12",".",".","124","84","42",".",".","177",".",".","32"
"11340","Anderson, SC","363","261","81","18","2","1","201","87","36",".",".","363",".",".","."
"11460","Ann Arbor, MI","206","185","17","3","1",".","151","54","36",".",".","184",".",".","22"
"11500","Anniston-Oxford, AL","52","50","2",".",".",".","68","35","22.5",".",".",".",".",".","52"
"11540","Appleton, WI","185","180","5",".",".",".","80","40","28",".",".","185",".",".","."
"11620","Ardmore, OK","54","52","2",".",".",".","57","39","21.5",".",".",".",".",".","54"
"11700","Asheville, NC","290","247","42","1",".",".","106","54","38",".",".","180",".",".","110"
"11780","Ashtabula, OH","360","259","78","23",".",".","150","84","39",".",".","159","201",".","."
"11900","Athens, OH","61","61",".",".",".",".","46","35","16",".",".",".",".",".","61"
"11940","Athens, TN","336","215","89","32",".",".","132","94","43",".","68",".","237",".","31"
"12060","Atlanta-Sandy Springs-Marietta, GA","365","136","121","79","24","5","215","137","62","7","66","183","107",".","2"
"12100","Atlantic City, NJ","365","269","73","20","3",".","164","87","37","59",".","218","16","62","10"
"12260","Augusta-Richmond County, GA-SC","365","271","72","22",".",".","145","90","38",".","5","343","14",".","3"
"12300","Augusta-Waterville, ME","365","306","56","3",".",".","135","62","31",".",".","188","151",".","26"
"12420","Austin-Round Rock, TX","365","330","28","7",".",".","129","50","35","8","103","246",".",".","8"
"12540","Bakersfield, CA","365","113","115","77","51","9","204","166","74","2","84","256",".",".","23"
"12580","Baltimore-Towson, MD","365","116","164","66","14","5","208","132","64","12","119","130","103",".","1"
"12620","Bangor, ME","365","282","73","10",".",".","130","71","35",".",".","230","110",".","25"
"12700","Barnstable Town, MA","199","165","24","9","1",".","151","77","37",".",".","199",".",".","."
"12740","Barre, VT","56","56",".",".",".",".","44","35","18.5",".",".",".",".",".","56"
"12940","Baton Rouge, LA","365","179","125","54","7",".","195","117","51","7","73","186","92",".","7"
"12980","Battle Creek, MI","60","58","2",".",".",".","56","36.5","19",".",".",".",".",".","60"
"13020","Bay City, MI","89","86","3",".",".",".","93","37","22",".",".",".",".",".","89"
"13140","Beaumont-Port Arthur, TX","365","139","139","78","9",".","195","121","61",".","14","155","191",".","5"
"13180","Beaver Dam, WI","184","181","3",".",".",".","93","44","31",".",".","184",".",".","."
"13260","Bedford, IN","3","3",".",".",".",".","21","21","19",".",".",".",".",".","3"
"13340","Bellefontaine, OH","211","157","45","8","1",".","164","80","40",".",".","211",".",".","."
"13380","Bellingham, WA","365","352","12","1",".",".","116","42","26",".",".","136","205",".","24"
"13460","Bend, OR","210","138","72",".",".",".","94","63","44","100",".",".",".",".","110"
"13540","Bennington, VT","256","214","36","4","2",".","159","64","36",".",".","198",".","49","9"
"13620","Berlin, NH-VT","364","197","114","53",".",".","148","105","47",".",".","84","270",".","10"
"13740","Billings, MT","365","11","37","222","95",".","200","187","127",".",".",".","365",".","."
"13780","Binghamton, NY","61","58","3",".",".",".","59","31","17",".",".",".",".",".","61"
"13820","Birmingham-Hoover, AL","365","188","120","53","4",".","197","102","49","29","5","170","105",".","56"
"13860","Bishop, CA","365","295","50","7","6","7","677","61","36","44",".","221",".","1","99"
"13900","Bismarck, ND","59","58","1",".",".",".","51","27","15",".",".",".",".",".","59"
"14260","Boise City-Nampa, ID","357","293","64",".",".",".","87","58","32","290",".",".",".",".","67"
"14460","Boston-Cambridge-Quincy, MA-NH","365","59","240","61","4","1","204","109","66","1","82","42","236",".","4"
"14500","Boulder, CO","365","287","69","8","1",".","166","61","40","78",".","239",".",".","48"
"14540","Bowling Green, KY","360","289","69","2",".",".","114","63","37",".",".","265",".","82","13"
"14580","Bozeman, MT","122","92","30",".",".",".","92","61","36.5",".",".",".",".",".","122"
"14600","Bradenton-Sarasota-Venice, FL","365","253","100","12",".",".","137","73","45","127",".","188","25",".","25"
"14700","Branson, MO","275","275",".",".",".",".","45","22","13","275",".",".",".",".","."
"14740","Bremerton-Silverdale, WA","61","58","3",".",".",".","54","44","16",".",".",".",".",".","61"
"14860","Bridgeport-Stamford-Norwalk, CT","365","201","131","23","7","3","202","97","47","26","95","117","123",".","4"
"15100","Brookings, SD","58","58",".",".",".",".","44","29","14",".",".",".",".",".","58"
"15140","Brownsville, TN","321","230","73","17","1",".","187","84","41",".","11","289","17",".","4"
"15180","Brownsville-Harlingen, TX","149","144","5",".",".",".","59","33","14","78",".","6","8",".","57"
"15260","Brunswick, GA","357","352","5",".",".",".","71","19","6",".",".",".","357",".","."
"15380","Buffalo-Niagara Falls, NY","365","89","136","126","14",".","195","125","81",".","49","26","290",".","."
"15500","Burlington, NC","13","13",".",".",".",".","31","27","19",".",".",".",".",".","13"
"15540","Burlington-South Burlington, VT","365","324","36","5",".",".","135","53","33","22","160","172","6","1","4"
"15580","Butte-Silver Bow, MT","303","270","33",".",".",".","69","51","20",".",".",".",".",".","303"
"15780","Camden, AR","61","61",".",".",".",".","49","29","18",".",".",".",".",".","61"
"15860","Canon City, CO","320","316","4",".",".",".","62","31","17",".",".",".",".",".","320"
"15940","Canton-Massillon, OH","365","217","111","33","4",".","154","101","47","3",".","161","167",".","34"
"15980","Cape Coral-Fort Myers, FL","365","342","23",".",".",".","93","47","31",".",".","365",".",".","."
"16060","Carbondale, IL","51","51",".",".",".",".","49","35","17",".",".",".",".",".","51"
"16100","Carlsbad-Artesia, NM","359","335","23","1",".",".","110","41","19",".","233",".","126",".","."
"16180","Carson City, NV","55","54","1",".",".",".","60","32","16",".",".",".",".",".","55"
"16220","Casper, WY","59","59",".",".",".",".","41","25","16",".",".",".",".",".","59"
"16260","Cedar City, UT","57","56","1",".",".",".","56","36","19",".",".",".",".",".","57"
"16300","Cedar Rapids, IA","365","192","124","45","4",".","196","105","49","13",".","73","271",".","8"
"16420","Central City, KY","354","282","47","22","3",".","200","79","19",".",".",".","354",".","."
"16580","Champaign-Urbana, IL","355","344","11",".",".",".","100","42","27",".",".","309","28",".","18"
"16620","Charleston, WV","365","263","88","14",".",".","134","77","36",".","57","79","214",".","15"
"16660","Charleston-Mattoon, IL","56","53","3",".",".",".","86","31","16",".",".",".",".",".","56"
"16700","Charleston-North Charleston, SC","365","259","90","16",".",".","145","84","43","9","36","247","59",".","14"
"16740","Charlotte-Gastonia-Concord, NC-SC","365","222","95","39","7","2","211","106","47","92","63","206",".",".","4"
"16820","Charlottesville, VA","61","60","1",".",".",".","53","37","20",".",".",".",".",".","61"
"16860","Chattanooga, TN-GA","365","265","70","29","1",".","156","93","37",".",".","344",".",".","21"
"16900","Chester, SC","358","285","62","9","2",".","182","71","36.5",".",".","358",".",".","."
"16940","Cheyenne, WY","57","57",".",".",".",".","33","22","13",".",".",".",".",".","57"
"16980","Chicago-Naperville-Joliet, IL-IN-WI","365","27","204","128","6",".","182","120","87","1","33","28","287",".","16"
"17020","Chico, CA","365","292","67","6",".",".","119","61","38","29","130","195",".",".","11"
"17140","Cincinnati-Middletown, OH-KY-IN","365","49","150","139","27",".","200","143","95","2","20","35","305",".","3"
"17200","Claremont, NH","365","351","12","2",".",".","137","42","26",".",".","203","155",".","7"
"17260","Clarksdale, MS","56","56",".",".",".",".","50","37","17",".",".",".",".",".","56"
"17300","Clarksville, TN-KY","365","168","98","89","10",".","200","118","56",".","1","120","242",".","2"
"17340","Clearlake, CA","365","360","5",".",".",".","90","37","25",".",".","363",".",".","2"
"17420","Cleveland, TN","365","275","72","18",".",".","140","77","34",".","102",".","254",".","9"
"17460","Cleveland-Elyria-Mentor, OH","365","31","132","177","24","1","230","141","103","3","9","35","301",".","17"
"17540","Clinton, IA","365","220","64","76","5",".","192","119","31",".",".",".","279",".","86"
"17660","Coeur d'Alene, ID","117","94","23",".",".",".","91","58","32",".",".",".",".",".","117"
"17820","Colorado Springs, CO","365","238","121","6",".",".","119","68","46","11","175","70","81",".","28"
"17900","Columbia, SC","365","151","166","46","2",".","182","109","54","11","42","153","56",".","103"
"17940","Columbia, TN","236","182","49","5",".",".","135","77","40.5",".",".","207",".",".","29"
"17980","Columbus, GA-AL","316","261","47","8",".",".","119","64","37",".",".","266","32",".","18"
"18140","Columbus, OH","365","213","113","38","1",".","156","101","46","16","18","156","140",".","35"
"18180","Concord, NH","365","235","60","61","9",".","194","118","36",".",".","107","248",".","10"
"18340","Corbin, KY","59","59",".",".",".",".","50","37","20",".",".",".",".",".","59"
"18500","Corning, NY","56","55","1",".",".",".","54","31","16",".",".",".",".",".","56"
"18580","Corpus Christi, TX","365","281","65","17","2",".","172","74","36",".",".","274","71",".","20"
"18820","Crawfordsville, IN","289","280","9",".",".",".","81","37","14",".",".",".","289",".","."
"18860","Crescent City, CA","365","360","5",".",".",".","62","34","26",".",".","346",".","19","."
"19020","Culpeper, VA","61","60","1",".",".",".","51","31","17",".",".",".",".",".","61"
"19060","Cumberland, MD-WV","365","336","29",".",".",".","77","49","23",".",".",".","337",".","28"
"19100","Dallas-Fort Worth-Arlington, TX","365","270","62","23","8","2","204","100","41","16","127","205",".",".","17"
"19340","Davenport-Moline-Rock Island, IA-IL","365","283","75","7",".",".","120","69","36",".",".","215","118",".","32"
"19380","Dayton, OH","365","279","63","21","2",".","156","84","37","41",".","199","108",".","17"
"19460","Decatur, AL","330","196","116","17","1",".","166","87","44.5",".",".","219","39","61","11"
"19500","Decatur, IL","363","316","46","1",".",".","119","52","33",".",".","199","120",".","44"
"19660","Deltona-Daytona Beach-Ormond Beach, FL","365","332","29","4",".",".","116","50","33",".",".","362",".",".","3"
"19700","Deming, NM","61","61",".",".",".",".","33","25","17",".",".",".",".",".","61"
"19740","Denver-Aurora, CO","365","92","203","69","1",".","166","108","67","19","125","92","116",".","13"
"19760","De Ridder, LA","365","353","11",".","1",".","151","44","28",".","52","313",".",".","."
"19780","Des Moines-West Des Moines, IA","307","275","32",".",".",".","93","51","34","117",".","119",".",".","71"
"19820","Detroit-Warren-Livonia, MI","365","112","165","84","4",".","172","112","67",".","46","36","239",".","44"
"19860","Dickinson, ND","365","365",".",".",".",".","37","13","4",".",".",".","319",".","46"
"19980","Dodge City, KS","311","305","6",".",".",".","74","44","31","4",".","286",".",".","21"
"20020","Dothan, AL","57","55","2",".",".",".","55","48","21",".",".",".",".",".","57"
"20100","Dover, DE","349","254","68","26","1",".","169","87","37",".",".","170","170",".","9"
"20220","Dubuque, IA","363","341","20","2",".",".","113","40","10",".",".",".","363",".","."
"20260","Duluth, MN-WI","362","355","7",".",".",".","71","34","19","280",".",".",".","41","41"
"20380","Dunn, NC","52","52",".",".",".",".","44","41","23",".",".",".",".",".","52"
"20420","Durango, CO","363","339","24",".",".",".","87","49","39",".","2","353",".",".","8"
"20500","Durham, NC","365","287","55","23",".",".","142","80","35","185",".","168",".",".","12"
"20620","East Liverpool-Salem, OH","365","177","116","63","9",".","200","114","52",".","154",".","162",".","49"
"20780","Edwards, CO","140","138","2",".",".",".","73","31","18",".",".",".",".",".","140"
"20820","Effingham, IL","233","209","22","2",".",".","106","51","37",".",".","233",".",".","."
"20940","El Centro, CA","365","170","130","57","6","2","206","119","51",".",".","331",".",".","34"
"20980","El Dorado, AR","365","243","58","55","9",".","180","115","29",".",".",".","344",".","21"
"21020","Elizabeth City, NC","354","292","55","7",".",".","140","71","32",".",".","213","121",".","20"
"21060","Elizabethtown, KY","209","165","33","10",".","1","201","77","40",".",".","185",".",".","24"
"21140","Elkhart-Goshen, IN","184","157","22","5",".",".","127","64","37.5",".",".","184",".",".","."
"21220","Elko, NV","126","124","2",".",".",".","63","34","18",".",".",".",".","67","59"
"21260","Ellensburg, WA","48","45","3",".",".",".","55","45","21",".",".",".",".","48","."
"21300","Elmira, NY","365","329","32","4",".",".","124","50","31",".",".","269","92",".","4"
