"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10420","Akron, OH","365","80","135","128","22",".","197","135","90","3",".","89","273",".","."
"10580","Albany-Schenectady-Troy, NY","365","173","142","49","1",".","154","104","52","4",".","110","251",".","."
"10740","Albuquerque, NM","365","117","191","37","13","7","221","118","61","251","9","105",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","117","176","49","14","9","206","127","64","51","39","99","176",".","."
"11020","Altoona, PA","365","220","119","25","1",".","166","91","44",".","56","157","152",".","."
"11180","Ames, IA","365","308","42","14","1",".","158","66","11",".",".",".","365",".","."
"11260","Anchorage, AK","365","178","120","45","16","6","233","126","51","348",".","17",".",".","."
"11460","Ann Arbor, MI","297","240","43","14",".",".","127","76","34",".",".","204","93",".","."
"11540","Appleton, WI","365","259","70","34","2",".","161","97","36",".",".","148","217",".","."
"11700","Asheville, NC","194","92","70","32",".",".","140","106","51",".",".","194",".",".","."
"11780","Ashtabula, OH","365","202","105","47","10","1","203","123","44",".",".","128","237",".","."
"12060","Atlanta-Sandy Springs-Marietta, GA","365","143","135","63","11","13","214","135","60","88","90","107","80",".","."
"12100","Atlantic City, NJ","365","190","112","28","24","11","228","140","50","130",".","186","49",".","."
"12260","Augusta-Richmond County, GA-SC","357","241","81","31","4",".","177","100","40",".",".","280","77",".","."
"12300","Augusta-Waterville, ME","215","177","26","7","4","1","202","80","35",".",".","215",".",".","."
"12420","Austin-Round Rock, TX","365","317","42","6",".",".","142","54","35",".",".","342","23",".","."
"12540","Bakersfield, CA","365","116","160","67","22",".","195","137","68","23","160","122","60",".","."
"12580","Baltimore-Towson, MD","365","31","188","90","36","20","219","177","87","95","45","98","127",".","."
"12620","Bangor, ME","365","117","166","76","6",".","200","114","64","66",".",".","299",".","."
"12740","Barre, VT","230","209","19","2",".",".","107","49.5","24",".",".",".","199",".","31"
"12940","Baton Rouge, LA","365","142","167","48","8",".","200","110","59",".","104","104","157",".","."
"12980","Battle Creek, MI","362","361","1",".",".",".","56","13","0",".",".",".","362",".","."
"13140","Beaumont-Port Arthur, TX","365","152","119","73","20","1","204","127","57","2","48","124","191",".","."
"13180","Beaver Dam, WI","201","147","37","14","3",".","161","93","39",".",".","201",".",".","."
"13380","Bellingham, WA","295","166","83","35","11",".","200","107","43",".",".",".","295",".","."
"13460","Bend, OR","36","32","4",".",".",".","60","51","23",".",".",".",".",".","36"
"13620","Berlin, NH-VT","364","132","142","85","5",".","196","113","64.5",".",".","34","330",".","."
"13740","Billings, MT","365","11","41","183","130",".","200","200","135","6",".",".","359",".","."
"13780","Binghamton, NY","166","125","36","4","1",".","156","77","36","6",".","58","102",".","."
"13820","Birmingham-Hoover, AL","365","165","140","46","11","3","213","109","56","148",".","154","63",".","."
"13900","Bismarck, ND","61","60","1",".",".",".","56","33","6",".",".",".","61",".","."
"14260","Boise City-Nampa, ID","243","114","120","6","1","2","202","81","51","243",".",".",".",".","."
"14460","Boston-Cambridge-Quincy, MA-NH","365","1","134","189","33","8","216","155","107","22","13","50","280",".","."
"14500","Boulder, CO","364","304","38","21","1",".","159","65","36","75",".","289",".",".","."
"14600","Bradenton-Sarasota-Venice, FL","93","87","4","1","1",".","161","44","22",".",".","67","26",".","."
"14860","Bridgeport-Stamford-Norwalk, CT","365","92","165","55","19","34","233","197","66","81","42","135","107",".","."
"15380","Buffalo-Niagara Falls, NY","365","27","126","178","34",".","200","149","105","1","24","29","311",".","."
"15540","Burlington-South Burlington, VT","365","324","35","6",".",".","135","51","30","74",".","180","111",".","."
"15940","Canton-Massillon, OH","365","178","141","40","5","1","202","107","52",".","57","117","191",".","."
"15980","Cape Coral-Fort Myers, FL","92","90","2",".",".",".","60","41","25",".",".","87","5",".","."
"16180","Carson City, NV","358","358",".",".",".",".","42","24","17","105",".","253",".",".","."
"16300","Cedar Rapids, IA","365","154","131","78","2",".","163","119","56","40",".","71","254",".","."
"16420","Central City, KY","357","163","106","79","9",".","193","127","57",".","6","162","189",".","."
"16580","Champaign-Urbana, IL","365","287","60","17","1",".","161","71","36",".",".","278","87",".","."
"16620","Charleston, WV","365","112","131","112","9","1","201","119","75",".","37","72","256",".","."
"16700","Charleston-North Charleston, SC","365","244","101","20",".",".","127","90","42","15","28","200","117",".","5"
"16740","Charlotte-Gastonia-Concord, NC-SC","365","88","188","60","25","4","204","137","68","167",".","145","53",".","."
"16860","Chattanooga, TN-GA","365","248","73","38","4","2","346","106","39",".",".","365",".",".","."
"16900","Chester, SC","348","240","61","38","9",".","200","109","40",".",".","348",".",".","."
"16980","Chicago-Naperville-Joliet, IL-IN-WI","365","7","137","157","54","10","212","182","107","30","15","54","266",".","."
"17020","Chico, CA","365","324","40","1",".",".","103","51","32","75","150","140",".",".","."
"17140","Cincinnati-Middletown, OH-KY-IN","365","10","89","177","84","5","211","182","120","2","56","47","260",".","."
"17300","Clarksville, TN-KY","365","171","106","69","19",".","200","128","56",".","2","155","208",".","."
"17340","Clearlake, CA","335","333","2",".",".",".","54","38","27",".",".","335",".",".","."
"17420","Cleveland, TN","365","82","61","126","96",".","200","194","112",".",".","28","337",".","."
"17460","Cleveland-Elyria-Mentor, OH","365","19","121","191","28","6","208","149","107","11","8","41","305",".","."
"17820","Colorado Springs, CO","365","189","159","15","2",".","198","84","50","93","198","74",".",".","."
"17900","Columbia, SC","365","214","106","40","5",".","172","104","47","70","62","211","22",".","."
"17940","Columbia, TN","365","178","121","59","7",".","190","114","52",".",".","6","359",".","."
"17980","Columbus, GA-AL","240","176","49","13","1","1","201","93","39.5",".",".","240",".",".","."
"18140","Columbus, OH","365","146","136","69","14",".","200","128","57","81","56","90","138",".","."
"18180","Concord, NH","318","223","43","44","8",".","196","118","14",".",".",".","318",".","."
"18580","Corpus Christi, TX","360","273","67","18","2",".","161","84","39",".",".","289","71",".","."
"18980","Cullman, AL","216","151","42","21","2",".","159","104","42",".",".","216",".",".","."
"19060","Cumberland, MD-WV","353","268","64","18","3",".","195","87","36","85",".","167","101",".","."
"19100","Dallas-Fort Worth-Arlington, TX","365","142","121","67","29","6","208","150","57","23","80","200","62",".","."
"19340","Davenport-Moline-Rock Island, IA-IL","364","228","109","26","1",".","175","96","44","80",".","176","108",".","."
"19380","Dayton, OH","365","190","126","38","11",".","197","111","50","40","93","131","101",".","."
"19460","Decatur, AL","189","184","4","1",".",".","130","38","19",".",".","92","97",".","."
"19500","Decatur, IL","355","197","84","55","19",".","200","126","44",".",".","140","215",".","."
"19660","Deltona-Daytona Beach-Ormond Beach, FL","300","291","9",".",".",".","94","21","0",".",".",".","300",".","."
"19740","Denver-Aurora, CO","365","30","187","121","13","14","265","145","89","97","131","85","52",".","."
"19760","De Ridder, LA","126","122","3","1",".",".","119","45","28",".",".","126",".",".","."
"19780","Des Moines-West Des Moines, IA","365","164","156","38","7",".","182","109","53","218",".","143",".",".","4"
"19820","Detroit-Warren-Livonia, MI","365","36","167","130","28","4","204","143","99","13","16","40","296",".","."
"19860","Dickinson, ND","365","313","48","4",".",".","137","56","24",".",".",".","365",".","."
"20100","Dover, DE","349","213","87","36","8","5","205","114","43",".",".","212","137",".","."
"20220","Dubuque, IA","365","301","55","8","1",".","152","61","31","259",".",".","106",".","."
"20260","Duluth, MN-WI","359","276","81","2",".",".","116","61","39","227",".","96","36",".","."
"20340","Duncan, OK","301","298","3",".",".",".","55","17","9",".",".",".","301",".","."
"20500","Durham, NC","365","186","126","45","8",".","187","111","49","228",".","115","22",".","."
"20620","East Liverpool-Salem, OH","357","219","99","38","1",".","188","105","43",".",".",".","357",".","."
"20820","Effingham, IL","349","277","52","20",".",".","145","84","32",".",".","349",".",".","."
"20940","El Centro, CA","342","305","33","4",".",".","111","51","31",".",".","342",".",".","."
"20980","El Dorado, AR","356","356",".",".",".",".","16","7","0",".",".",".","356",".","."
"21060","Elizabethtown, KY","185","116","51","17","1",".","166","100","45",".",".","185",".",".","."
"21300","Elmira, NY","365","310","45","9","1",".","156","61","31",".",".","240","125",".","."
"21340","El Paso, TX","365","26","57","151","131",".","200","200","130","16","7","42","300",".","."
"21500","Erie, PA","365","188","112","48","13","4","206","113","50","47","48","80","190",".","."
"21660","Eugene-Springfield, OR","365","278","84","3",".",".","106","62","40","246",".","119",".",".","."
"21780","Evansville, IN-KY","365","4","23","144","193","1","202","200","157","1","1","13","350",".","."
"21820","Fairbanks, AK","274","162","76","25","7","4","224","115","36.5","274",".",".",".",".","."
"22140","Farmington, NM","365","164","92","96","13",".","200","125","56","112",".",".","253",".","."
"22180","Fayetteville, NC","203","115","47","37","4",".","174","127","48",".",".","203",".",".","."
"22380","Flagstaff, AZ","330","278","49","3",".",".","111","64","34","146",".","184",".",".","."
"22420","Flint, MI","364","281","61","20","2",".","177","69","37.5","31",".","144","189",".","."
"22520","Florence-Muscle Shoals, AL","365","187","77","77","24",".","200","140","46",".",".",".","365",".","."
"22660","Fort Collins-Loveland, CO","333","250","76","5",".","2","277","70","38","141",".","192",".",".","."
"23060","Fort Wayne, IN","364","264","48","41","11",".","195","119","35",".",".","364",".",".","."
"23420","Fresno, CA","365","149","119","66","29","2","203","142","57","67","96","200","2",".","."
"23460","Gadsden, AL","219","143","48","26","2",".","174","109","41",".",".","219",".",".","."
"23540","Gainesville, FL","318","313","3","2",".",".","143","34","7",".",".","78","240",".","."
"23820","Gardnerville Ranchos, NV","248","244","1","1","2",".","151","36","22","190",".","58",".",".","."
"23860","Georgetown, SC","340","315","24","1",".",".","103","45","0",".",".",".","300",".","40"
"23980","Glasgow, KY","146","89","38","19",".",".","147","109","47",".",".","146",".",".","."
"24020","Glens Falls, NY","363","266","77","13","7",".","200","84","34",".",".","193","170",".","."
"24300","Grand Junction, CO","328","302","23","1","1","1","226","45","17","289",".",".","39",".","."
"24340","Grand Rapids-Wyoming, MI","365","286","46","22","10","1","203","90","31","18",".","265","82",".","."
"24420","Grants Pass, OR","363","194","158","11",".",".","148","85","49","363",".",".",".",".","."
"24500","Great Falls, MT","265","236","27","2",".",".","115","53","15","265",".",".",".",".","."
"24540","Greeley, CO","335","260","63","12",".",".","133","77","40","119",".","216",".",".","."
"24580","Green Bay, WI","363","31","79","166","87",".","200","176","121",".",".","17","346",".","."
"24660","Greensboro-High Point, NC","361","278","63","20",".",".","145","84","35",".",".","197","164",".","."
"24780","Greenville, NC","357","299","45","13",".",".","145","74","23",".",".","184","173",".","."
"24860","Greenville-Mauldin-Easley, SC","365","198","110","50","7",".","190","119","48","90",".","251","24",".","."
"25020","Guayama, PR","304","304",".",".",".",".","44","16","6",".",".",".","304",".","."
"25060","Gulfport-Biloxi, MS","317","280","23","12","2",".","188","62","7",".",".",".","317",".","."
"25180","Hagerstown-Martinsburg, MD-WV","310","261","28","18","3",".","174","77","26",".",".","310",".",".","."
"25260","Hanford-Corcoran, CA","313","204","69","34","6",".","174","104","44",".",".","313",".",".","."
"25340","Harriman, TN","365","148","102","101","14",".","200","129","65",".",".","134","231",".","."
"25420","Harrisburg-Carlisle, PA","365","215","85","49","12","4","215","127","46","25","102","170","68",".","."
"25540","Hartford-West Hartford-East Hartford, CT","365","122","178","36","11","18","218","137","58","175","22","126","42",".","."
"25860","Hickory-Lenoir-Morganton, NC","355","268","55","30","2",".","159","97","36",".",".","216","139",".","."
"26100","Holland-Grand Haven, MI","251","233","16","1","1",".","200","43","13",".",".",".","251",".","."
"26140","Homosassa Springs, FL","328","278","36","12","2",".","175","77","7",".",".",".","328",".","."
"26180","Honolulu, HI","365","238","97","29","1",".","156","92","36","170",".","40","155",".","."
"26380","Houma-Bayou Cane-Thibodaux, LA","148","122","20","6",".",".","129","74","29.5",".",".","148",".",".","."
"26420","Houston-Sugar Land-Baytown, TX","365","38","129","117","51","30","268","195","103","1","39","162","163",".","."
"26580","Huntington-Ashland, WV-KY-OH","365","88","119","115","42","1","203","164","90","25","24","79","237",".","."
"26620","Huntsville, AL","175","142","21","11","1",".","195","77","38",".",".","175",".",".","."
"26860","Indiana, PA","184","113","45","24","2",".","171","105","36.5",".",".",".","184",".","."
"26900","Indianapolis-Carmel, IN","365","17","87","211","49","1","201","160","110","14","12","49","288",".","2"
"26980","Iowa City, IA","317","248","37","25","6","1","204","101","31",".",".","317",".",".","."
"27140","Jackson, MS","365","314","44","7",".",".","140","55","35","117",".","248",".",".","."
"27260","Jacksonville, FL","365","126","163","68","8",".","200","118","62","47","4","79","235",".","."
"27460","Jamestown-Dunkirk-Fredonia, NY","365","179","102","65","19",".","200","128","51",".",".",".","365",".","."
"27500","Janesville, WI","365","131","94","112","28",".","200","142","71",".","58","80","227",".","."
"27540","Jasper, IN","365","173","88","70","34",".","200","147","54",".",".",".","365",".","."
"27780","Johnstown, PA","363","171","135","52","5",".","195","110","52","2","95","73","193",".","."
"28100","Kankakee-Bradley, IL","323","296","23","3","1",".","182","49","27",".",".","323",".",".","."
"28140","Kansas City, MO-KS","365","143","145","72","5",".","187","114","59","42","46","106","171",".","."
"28300","Keene, NH","187","133","49","5",".",".","140","76","36",".",".","70","117",".","."
"28540","Ketchikan, AK","60","46","13",".","1",".","158","64","23",".",".",".","60",".","."
"28700","Kingsport-Bristol-Bristol, TN-VA","365","13","68","206","78",".","200","170","123",".","1","23","341",".","."
"28940","Knoxville, TN","365","130","142","84","9",".","198","119","66","47",".","110","208",".","."
"29100","La Crosse, WI-MN","184","155","23","6",".",".","129","74","37",".",".","184",".",".","."
"29180","Lafayette, LA","207","183","17","6","1",".","154","58","24",".",".","207",".",".","."
"29340","Lake Charles, LA","362","309","39","13","1",".","151","61","32",".",".","336","26",".","."
"29540","Lancaster, PA","363","231","92","32","7","1","201","103","44","1","125","131","106",".","."
"29620","Lansing-East Lansing, MI","365","244","101","20",".",".","150","80","43",".",".","123","242",".","."
"29740","Las Cruces, NM","365","140","59","103","63",".","200","169","69","35",".","113","217",".","."
"29820","Las Vegas-Paradise, NV","365","131","185","38","10","1","204","111","58","141","101","123",".",".","."
"30020","Lawton, OK","232","218","14",".",".",".","77","27","4",".",".",".","232",".","."
"30340","Lewiston-Auburn, ME","365","301","54","10",".",".","134","71","26",".",".",".","365",".","."
"30460","Lexington-Fayette, KY","365","225","83","48","7","2","205","111","45","99","96","149","21",".","."
"30620","Lima, OH","348","271","52","24","1",".","169","90","34",".",".","255","93",".","."
"30700","Lincoln, NE","365","330","33","2",".",".","130","49","31","146",".","219",".",".","."
"30740","Lincolnton, NC","364","274","71","18","1",".","155","84","30.5",".",".","154","210",".","."
"30780","Little Rock-North Little Rock-Conway, AR","365","278","64","21","2",".","156","90","38","2","39","318","6",".","."
"30860","Logan, UT-ID","123","111","12",".",".",".","89","50","32","41",".","79","3",".","."
"30980","Longview, TX","360","257","63","37","2","1","204","101","39",".","6","304","50",".","."
"31020","Longview, WA","362","359","3",".",".",".","81","14","0",".",".",".","362",".","."
"31100","Los Angeles-Long Beach-Santa Ana, CA","365","12","105","94","31","123","293","233","127","62","132","170","1",".","."
"31140","Louisville/Jefferson County, KY-IN","365","20","98","160","75","12","210","185","116","32","10","53","270",".","."
"31300","Lumberton, NC","359","303","42","13","1",".","151","74","19",".",".","178","181",".","."
"31420","Macon, GA","90","88","1","1",".",".","126","31","10",".",".",".","90",".","."
"31500","Madison, IN","365","142","79","100","44",".","200","163","72",".","9",".","354",".","2"
"31540","Madison, WI","365","229","110","24","2",".","159","90","43","8","5","162","190",".","."
"31580","Madisonville, KY","185","80","63","34","8",".","182","124","61",".",".","185",".",".","."
"31700","Manchester-Nashua, NH","365","98","228","34","4","1","212","101","62","272",".","35","58",".","."
"31900","Mansfield, OH","309","249","49","11",".",".","137","66","27",".",".",".","309",".","."
"31940","Marinette, WI-MI","197","87","25","42","42","1","261","200","74",".",".",".","197",".","."
"32060","Marion-Herrin, IL","365","240","91","32","2",".","164","100","44",".",".","221","144",".","."
"32100","Marquette, MI","365","321","38","6",".",".","134","56","13",".",".",".","365",".","."
"32780","Medford, OR","365","51","285","25","3","1","204","96","67","344","2","18",".",".","1"
"32820","Memphis, TN-MS-AR","365","105","137","106","17",".","200","135","75","101",".","97","167",".","."
"33100","Miami-Fort Lauderdale-Pompano Beach, FL","365","88","249","26","2",".","156","100","64","236","63","66",".",".","."
"33140","Michigan City-La Porte, IN","365","164","124","71","6",".","200","113","56",".",".",".","365",".","."
"33300","Milledgeville, GA","337","292","32","13",".",".","132","62","6",".",".",".","337",".","."
"33340","Milwaukee-Waukesha-West Allis, WI","365","94","106","135","24","6","219","143","86","28","31","75","231",".","."
"33460","Minneapolis-St. Paul-Bloomington, MN-WI","365","29","174","121","41",".","200","154","88","166","5","26","168",".","."
"33540","Missoula, MT","138","74","57","5","2",".","186","78","47","138",".",".",".",".","."
"33660","Mobile, AL","365","214","104","44","3",".","190","104","45",".",".","247","118",".","."
"33700","Modesto, CA","365","237","76","44","8",".","182","119","47","27","176","157","5",".","."
"33740","Monroe, LA","355","325","28","2",".",".","109","47","29",".",".","282","73",".","."
"33780","Monroe, MI","365","157","147","58","3",".","200","109","56",".",".",".","365",".","."
"34020","Morgan City, LA","135","116","12","7",".",".","119","74","25",".",".","135",".",".","."
"34060","Morgantown, WV","73","41","29","3",".",".","119","90","44",".",".",".","73",".","."
"34660","Murray, KY","182","100","65","16",".","1","206","100","48.5",".",".","182",".",".","."
"34700","Muscatine, IA","364","262","36","42","24",".","200","131","6.5",".",".",".","364",".","."
"34740","Muskegon-Norton Shores, MI","365","189","123","41","7","5","206","109","49","16",".","66","283",".","."
"34780","Muskogee, OK","173","173",".",".",".",".","44","16","1",".",".",".","173",".","."
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC","226","168","41","15","2",".","174","93","42",".",".","226",".",".","."
"34900","Napa, CA","362","333","28","1",".",".","114","47","29","56","148","158",".",".","."
"34980","Nashville-Davidson-Murfreesboro-Franklin, TN","365","41","184","104","35","1","202","150","86","176",".","35","154",".","."
"35100","New Bern, NC","335","308","25","2",".",".","101","47","30",".",".","335",".",".","."
"35260","New Castle, PA","365","229","107","26","3",".","169","94","43","5","110","102","148",".","."
"35300","New Haven-Milford, CT","365","116","155","55","19","20","223","154","65","5","109","106","145",".","."
"35380","New Orleans-Metairie-Kenner, LA","362","205","125","29","3",".","172","97","48","63","136","140","23",".","."
"35420","New Philadelphia-Dover, OH","277","138","81","38","20",".","178","134","51",".",".",".","277",".","."
"35460","Newport, TN","365","277","78","9","1",".","162","71","26",".",".",".","365",".","."
"35620","New York-Northern New Jersey-Long Island, NY-NJ-PA","365",".","145","163","30","27","236","181","105","75","44","79","167",".","."
"35980","Norwich-New London, CT","239","125","40","22","23","29","245","204","49",".",".","174","65",".","."
"36220","Odessa, TX","356","296","54","5","1",".","153","57","38","12","72","234","38",".","."
"36260","Ogden-Clearfield, UT","365","134","200","29","2",".","161","97","58","179","35","105","46",".","."
"36420","Oklahoma City, OK","365","241","105","19",".",".","142","87","45","88","81","193","3",".","."
"36540","Omaha-Council Bluffs, NE-IA","365","322","41","2",".",".","128","53","36","139",".","207","19",".","."
"36740","Orlando-Kissimmee, FL","365","287","73","4","1",".","177","61","38","150","19","189","7",".","."
"36780","Oshkosh-Neenah, WI","283","183","60","40",".",".","145","110","39",".",".","131","152",".","."
"36860","Ottawa-Streator, IL","191","160","27","4",".",".","122","61","35",".",".","191",".",".","."
"36980","Owensboro, KY","365","159","111","82","12","1","201","127","59","27","39","122","177",".","."
"37100","Oxnard-Thousand Oaks-Ventura, CA","365","152","76","68","45","24","220","182","63","8","81","276",".",".","."
"37140","Paducah, KY-IL","365","93","140","115","17",".","174","130","82","11","26","83","245",".","."
"37340","Palm Bay-Melbourne-Titusville, FL","57","57",".",".",".",".","33","21","7",".",".",".","57",".","."
"37620","Parkersburg-Marietta-Vienna, WV-OH","365","76","136","127","26",".","200","145","86",".",".","81","284",".","."
"37700","Pascagoula, MS","359","350","7","2",".",".","124","26","11",".",".",".","359",".","."
"37740","Payson, AZ","365","62","45","123","134","1","215","200","129",".",".",".","365",".","."
"37820","Pendleton-Hermiston, OR","12","10","2",".",".",".","60","51","37",".",".",".",".",".","12"
"37860","Pensacola-Ferry Pass-Brent, FL","275","220","44","11",".",".","132","77","36","15","18","242",".",".","."
"37900","Peoria, IL","365","179","111","67","8",".","196","116","51","45",".","110","210",".","."
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","365","3","163","143","35","21","224","179","103","14","71","87","193",".","."
"38060","Phoenix-Mesa-Scottsdale, AZ","365","60","103","112","82","8","234","198","109","117","12","70","166",".","."
"38300","Pittsburgh, PA","365","2","40","115","203","5","208","200","160","1",".","20","344",".","."
"38340","Pittsfield, MA","360","268","70","19","2","1","206","85.5","36",".",".","138","222",".","."
"38420","Platteville, WI","185","136","39","9","1",".","151","87","39",".",".","185",".",".","."
"38540","Pocatello, ID","365","124","51","83","107",".","200","200","106",".",".",".","365",".","."
"38620","Ponca City, OK","273","125","37","82","29",".","200","152","66",".",".",".","273",".","."
"38660","Ponce, PR","332","271","61",".",".",".","82","54","42","332",".",".",".",".","."
"38820","Port Angeles, WA","365","201","68","81","15",".","194","130","43",".",".",".","365",".","."
"38860","Portland-South Portland-Biddeford, ME","365","125","142","84","10","4","211","122","65",".",".","103","258",".","4"
"38900","Portland-Vancouver-Beaverton, OR-WA","365","179","169","14","3",".","197","81","51","311",".","37","3",".","14"
"39020","Portsmouth, OH","291","241","41","9",".",".","125","59","30",".",".",".","291",".","."
"39100","Poughkeepsie-Newburgh-Middletown, NY","365","264","57","42","2",".","170","106","31","12",".","157","196",".","."
"39140","Prescott, AZ","335","330","5",".",".",".","84","40","5","183",".","152",".",".","."
"39260","Prineville, OR","314","314",".",".",".",".","48","41","32",".",".","314",".",".","."
"39300","Providence-New Bedford-Fall River, RI-MA","365","50","181","98","25","11","211","148","81","57","13","93","202",".","."
"39340","Provo-Orem, UT","364","63","239","43","15","4","245","120","70","320","17","27",".",".","."
"39380","Pueblo, CO","267","266","1",".",".",".","72","22","13","267",".",".",".",".","."
"39500","Quincy, IL-MO","365","245","65","52","3",".","176","110","37",".",".","209","156",".","."
"39540","Racine, WI","363","266","60","20","12","5","220","101","35","100",".","162","101",".","."
"39580","Raleigh-Cary, NC","365","141","161","61","2",".","195","114","63","198",".","135","32",".","."
"39740","Reading, PA","365","145","125","80","12","3","202","121","61","1","63","91","210",".","."
"39820","Redding, CA","118","87","20","11",".",".","145","93","39",".",".","118",".",".","."
"39900","Reno-Sparks, NV","365","264","86","5","7","3","216","72","41","150",".","215",".",".","."
"39980","Richmond, IN","120","28","17","27","48",".","200","189","128",".",".",".","120",".","."
"40060","Richmond, VA","365","153","119","69","22","2","205","140","60","15","86","149","115",".","."
"40140","Riverside-San Bernardino-Ontario, CA","365","38","126","63","19","119","278","228","106","6","145","213","1",".","."
"40220","Roanoke, VA","365","266","79","20",".",".","137","84","40","9","121","203","32",".","."
"40340","Rochester, MN","365","200","156","9",".",".","141","77","49","236",".","55","74",".","."
"40380","Rochester, NY","365","85","163","110","7",".","185","122","79","8",".","62","295",".","."
"40420","Rockford, IL","364","254","97","12","1",".","154","79","39","117",".","188","59",".","."
"40500","Rockland, ME","365","351","14",".",".",".","95","41","14",".",".",".","365",".","."
