"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10140","Aberdeen, WA","288","257","27","4",".",".","137","51","13",".",".",".","248",".","40"
"10300","Adrian, MI","180","123","42","14","1",".","151","93","43",".",".","180",".",".","."
"10420","Akron, OH","365","163","127","75",".",".","138","110","57","15",".","96","241",".","13"
"10580","Albany-Schenectady-Troy, NY","365","283","68","13","1",".","197","72","37","14","2","248","92",".","9"
"10740","Albuquerque, NM","365","173","185","7",".",".","127","77","51","55","127","165",".",".","18"
"10780","Alexandria, LA","60","59","1",".",".",".","52","36","20",".",".",".",".",".","60"
"10880","Allegan, MI","198","142","29","26","1",".","159","104","40",".",".","184",".",".","14"
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","172","155","36","2",".","179","101","51","11","138","127","86",".","3"
"10940","Alma, MI","211","191","17","3",".",".","120","49","10","37",".",".","174",".","."
"11020","Altoona, PA","365","215","125","22","3",".","161","87","46",".","74","144","144",".","3"
"11100","Amarillo, TX","61","57","2","2",".",".","104","39","19",".",".",".",".",".","61"
"11140","Americus, GA","365","330","30","5",".",".","140","49","32",".",".","365",".",".","."
"11260","Anchorage, AK","362","229","125","8",".",".","144","81","43","156",".",".",".",".","206"
"11300","Anderson, IN","212","120","52","34","6",".","169","122","47",".",".","184",".",".","28"
"11340","Anderson, SC","363","307","50","4","2",".","154","61","36",".",".","355",".",".","8"
"11460","Ann Arbor, MI","193","161","28","4",".",".","132","64","36",".",".","180",".",".","13"
"11500","Anniston-Oxford, AL","56","56",".",".",".",".","43","37","19",".",".",".",".",".","56"
"11540","Appleton, WI","179","172","6","1",".",".","109","44","32",".",".","179",".",".","."
"11620","Ardmore, OK","36","35","1",".",".",".","52","43","21",".",".",".",".",".","36"
"11700","Asheville, NC","365","324","40","1",".",".","109","53","35",".",".","197",".","18","150"
"11780","Ashtabula, OH","365","247","89","29",".",".","142","93","41",".",".","168","197",".","."
"11900","Athens, OH","56","54","2",".",".",".","52","31","16",".",".",".",".",".","56"
"11940","Athens, TN","365","309","48","8",".",".","115","61","28",".","154",".","179",".","32"
"12060","Atlanta-Sandy Springs-Marietta, GA","365","177","138","42","8",".","197","114","51","19","90","168","85",".","3"
"12100","Atlantic City, NJ","365","271","79","15",".",".","132","70","36","81",".","188","15","66","15"
"12260","Augusta-Richmond County, GA-SC","365","268","76","21",".",".","147","85","41",".","8","290","67",".","."
"12300","Augusta-Waterville, ME","301","279","17","5",".",".","147","48","31",".",".","231","3",".","67"
"12420","Austin-Round Rock, TX","365","290","64","11",".",".","135","64","39","28","118","216",".",".","3"
"12540","Bakersfield, CA","365","114","119","67","59","6","206","166","71","7","84","239",".",".","35"
"12580","Baltimore-Towson, MD","365","135","153","60","14","3","205","127","61","14","107","115","126",".","3"
"12620","Bangor, ME","365","304","53","8",".",".","124","62","35",".",".","266","76",".","23"
"12700","Barnstable Town, MA","214","172","31","10","1",".","151","77","40",".",".","214",".",".","."
"12740","Barre, VT","57","57",".",".",".",".","46","37","16",".",".",".",".",".","57"
"12940","Baton Rouge, LA","365","190","116","54","5",".","185","109","50","2","62","168","128",".","5"
"12980","Battle Creek, MI","58","56","2",".",".",".","60","41","20.5",".",".",".",".",".","58"
"13100","Beatrice, NE","28","25","3",".",".",".","78","56","31.5",".",".",".",".",".","28"
"13140","Beaumont-Port Arthur, TX","365","178","116","65","6",".","190","112","51",".","24","163","175",".","3"
"13180","Beaver Dam, WI","185","172","13",".",".",".","100","47","36",".",".","185",".",".","."
"13260","Bedford, IN","60","47","13",".",".",".","70","60","37",".",".",".",".",".","60"
"13340","Bellefontaine, OH","214","130","52","29","3",".","172","109","46.5",".",".","214",".",".","."
"13380","Bellingham, WA","353","319","33",".","1",".","156","50","29",".",".","120","219",".","14"
"13460","Bend, OR","211","177","34",".",".",".","96","54","32","79",".",".",".",".","132"
"13540","Bennington, VT","253","205","41","7",".",".","140","64","38",".",".","197",".","34","22"
"13620","Berlin, NH-VT","365","249","90","25","1",".","165","92","35",".",".","94","246",".","25"
"13740","Billings, MT","365","8","54","264","39",".","200","153","119",".",".",".","365",".","."
"13780","Binghamton, NY","55","55",".",".",".",".","50","31","15",".",".",".",".",".","55"
"13820","Birmingham-Hoover, AL","365","206","122","35","2",".","159","101","47","39","10","175","80",".","61"
"13860","Bishop, CA","365","215","112","24","5","9","1277","101","47","3",".","287",".","3","72"
"13900","Bismarck, ND","61","61",".",".",".",".","44","24","14",".",".",".",".",".","61"
"14260","Boise City-Nampa, ID","254","214","40",".",".",".","89","55","34","154",".",".",".",".","100"
"14380","Boone, NC","37","37",".",".",".",".","35","31","19",".",".",".",".",".","37"
"14460","Boston-Cambridge-Quincy, MA-NH","365","90","229","40","5","1","202","104","63","2","126","63","174",".","."
"14500","Boulder, CO","365","294","68","3",".",".","114","64","41","99",".","252",".",".","14"
"14540","Bowling Green, KY","350","275","71","4",".",".","129","70.5","37",".",".","285",".","58","7"
"14580","Bozeman, MT","117","102","15",".",".",".","70","51","28",".",".",".",".",".","117"
"14600","Bradenton-Sarasota-Venice, FL","365","276","81","8",".",".","127","64","44","163",".","158","22",".","22"
"14700","Branson, MO","365","365",".",".",".",".","27","13","11","365",".",".",".",".","."
"14740","Bremerton-Silverdale, WA","163","162","1",".",".",".","54","38","24","118",".",".",".",".","45"
"14860","Bridgeport-Stamford-Norwalk, CT","365","186","131","41","4","3","206","106","50","15","141","113","94",".","2"
"15100","Brookings, SD","60","56","4",".",".",".","57","39.5","20",".",".",".",".",".","60"
"15140","Brownsville, TN","269","189","71","8","1",".","166","84","41",".","6","230","28",".","5"
"15180","Brownsville-Harlingen, TX","347","333","12","2",".",".","116","40","24","23",".","288","4",".","32"
"15380","Buffalo-Niagara Falls, NY","365","93","152","105","15",".","183","129","79","1","34","47","282",".","1"
"15500","Burlington, NC","58","57","1",".",".",".","54","35","21",".",".",".",".",".","58"
"15540","Burlington-South Burlington, VT","365","307","56","2",".",".","104","58","35","10","157","158",".","35","5"
"15580","Butte-Silver Bow, MT","360","326","34",".",".",".","77","48","23",".",".",".",".",".","360"
"15780","Camden, AR","60","60",".",".",".",".","46","32","19.5",".",".",".",".",".","60"
"15860","Canon City, CO","332","325","7",".",".",".","62","35","17",".",".",".",".",".","332"
"15940","Canton-Massillon, OH","365","234","97","33","1",".","179","97","42","1",".","170","158",".","36"
"15980","Cape Coral-Fort Myers, FL","365","337","23","5",".",".","124","47","31",".",".","365",".",".","."
"16060","Carbondale, IL","55","54","1",".",".",".","61","29","19",".",".",".",".",".","55"
"16100","Carlsbad-Artesia, NM","365","353","9","3",".",".","111","36","17",".","281",".","84",".","."
"16180","Carson City, NV","60","59","1",".",".",".","51","31","19",".",".",".",".",".","60"
"16220","Casper, WY","47","47",".",".",".",".","49","31","15",".",".",".",".",".","47"
"16260","Cedar City, UT","60","58","2",".",".",".","69","30","18",".",".",".",".",".","60"
"16300","Cedar Rapids, IA","365","184","133","47","1",".","160","105","50","7",".","75","277",".","6"
"16420","Central City, KY","359","293","50","12","4",".","200","70","19",".",".",".","359",".","."
"16580","Champaign-Urbana, IL","365","292","56","17",".",".","142","71","33",".",".","285","74",".","6"
"16620","Charleston, WV","365","223","115","24","3",".","161","92","46","1","20","115","226",".","3"
"16660","Charleston-Mattoon, IL","57","57",".",".",".",".","47","36","16",".",".",".",".",".","57"
"16700","Charleston-North Charleston, SC","365","277","77","11",".",".","137","72","42","1","48","204","66","17","29"
"16740","Charlotte-Gastonia-Concord, NC-SC","365","260","89","14","2",".","166","80","42","93","69","191","9",".","3"
"16820","Charlottesville, VA","61","61",".",".",".",".","37","31","19",".",".",".",".",".","61"
"16860","Chattanooga, TN-GA","365","290","63","10","2",".","177","74","36",".",".","341",".",".","24"
"16900","Chester, SC","323","292","27","4",".",".","129","50","35",".",".","323",".",".","."
"16940","Cheyenne, WY","49","49",".",".",".",".","46","26","15",".",".",".",".",".","49"
"16980","Chicago-Naperville-Joliet, IL-IN-WI","365","41","198","115","9","2","211","120","85","1","61","35","247",".","21"
"17020","Chico, CA","365","249","96","20",".",".","140","87","43","23","118","213",".",".","11"
"17140","Cincinnati-Middletown, OH-KY-IN","365","63","149","130","23",".","200","140","86","2","40","67","250",".","6"
"17200","Claremont, NH","359","334","24","1",".",".","127","47","28",".",".","203","153",".","3"
"17260","Clarksdale, MS","57","57",".",".",".",".","45","32","16",".",".",".",".",".","57"
"17300","Clarksville, TN-KY","365","213","90","53","9",".","181","114","46",".",".","136","219",".","10"
"17340","Clearlake, CA","364","340","24",".",".",".","100","48","36",".",".","364",".",".","."
"17420","Cleveland, TN","365","179","124","51","11",".","200","111","51",".","35","124","204",".","2"
"17460","Cleveland-Elyria-Mentor, OH","365","47","134","165","19",".","200","136","101","4","23","44","259",".","35"
"17540","Clinton, IA","351","216","97","37","1",".","153","103","35",".",".",".","206",".","145"
"17660","Coeur d'Alene, ID","124","108","16",".",".",".","84","53","30.5",".",".",".",".",".","124"
"17820","Colorado Springs, CO","365","226","133","6",".",".","110","67","47","12","185","70","83",".","15"
"17900","Columbia, SC","365","191","160","13","1",".","151","80","49","6","33","138","44",".","144"
"17940","Columbia, TN","240","199","37","4",".",".","129","61","36",".",".","204",".",".","36"
"17980","Columbus, GA-AL","315","281","29","5",".",".","137","51","36",".",".","264","29",".","22"
"18140","Columbus, OH","365","228","96","38","3",".","169","102","43","36","4","177","101",".","47"
"18180","Concord, NH","362","240","57","51","14",".","178","115","32",".",".","108","248",".","6"
"18340","Corbin, KY","57","55","2",".",".",".","59","37","23",".",".",".",".",".","57"
"18500","Corning, NY","60","60",".",".",".",".","48","29.5","16",".",".",".",".",".","60"
"18580","Corpus Christi, TX","365","310","43","11","1",".","166","58","32",".",".","296","45",".","24"
"18820","Crawfordsville, IN","271","261","9","1",".",".","105","37","14","2",".",".","269",".","."
"18860","Crescent City, CA","365","363","2",".",".",".","58","37","29",".",".","352",".","13","."
"19020","Culpeper, VA","61","61",".",".",".",".","41","31","16",".",".",".",".",".","61"
"19060","Cumberland, MD-WV","354","316","37","1",".",".","105","52","26",".",".",".","328",".","26"
"19100","Dallas-Fort Worth-Arlington, TX","365","211","96","37","19","2","202","132","48","21","106","229","1",".","8"
"19340","Davenport-Moline-Rock Island, IA-IL","365","259","93","13",".",".","138","74","41",".",".","201","120",".","44"
"19380","Dayton, OH","365","267","69","26","3",".","174","90","37","70",".","197","84",".","14"
"19460","Decatur, AL","359","267","80","12",".",".","129","71","38",".",".","285","21","52","1"
"19500","Decatur, IL","365","266","86","13",".",".","137","71","39",".",".","201","138",".","26"
"19660","Deltona-Daytona Beach-Ormond Beach, FL","365","334","28","3",".",".","122","48","32",".",".","358",".",".","7"
"19700","Deming, NM","61","61",".",".",".",".","41","27","18",".",".",".",".",".","61"
"19740","Denver-Aurora, CO","365","64","253","48",".",".","132","104","69","16","164","84","95",".","6"
"19760","De Ridder, LA","365","324","33","8",".",".","142","54","31",".","17","348",".",".","."
"19780","Des Moines-West Des Moines, IA","365","329","36",".",".",".","80","50","31","62",".","202",".",".","101"
"19820","Detroit-Warren-Livonia, MI","365","94","156","104","10","1","203","119","70","5","54","35","207",".","64"
"19860","Dickinson, ND","365","361","2","1","1",".","200","11","3",".",".",".","318",".","47"
"19980","Dodge City, KS","44","44",".",".",".",".","39","30","19.5",".",".",".",".",".","44"
