"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10140","Aberdeen, WA","335","128","70","105","32",".","200","148","81",".",".",".","335",".","."
"10420","Akron, OH","366","66","164","133","3",".","161","121","87","2",".","65","299",".","."
"10580","Albany-Schenectady-Troy, NY","366","221","122","22","1",".","185","85","44","13",".","127","226",".","."
"10740","Albuquerque, NM","366","139","178","40","6","3","207","111","56","217","9","140",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","366","127","173","57","8","1","260","111","61","30","76","89","171",".","."
"11020","Altoona, PA","366","244","106","15",".","1","284","84","42","1","53","155","157",".","."
"11180","Ames, IA","360","305","31","18","6",".","190","70.5","9",".",".",".","360",".","."
"11260","Anchorage, AK","366","202","124","28","4","8","213","108","45","349",".","16","1",".","."
"11460","Ann Arbor, MI","183","157","20","6",".",".","106","61","31",".",".","183",".",".","."
"11540","Appleton, WI","210","183","21","6",".",".","140","54","35",".",".","179","31",".","."
"11700","Asheville, NC","212","201","10","1",".",".","114","47","34",".",".","212",".",".","."
"11780","Ashtabula, OH","366","179","138","46","3",".","168","105","51",".",".","109","257",".","."
"12060","Atlanta-Sandy Springs-Marietta, GA","366","145","161","50","7","3","208","108","58","53","122","101","90",".","."
"12100","Atlantic City, NJ","366","197","130","25","8","6","225","101","49","143",".","159","64",".","."
"12260","Augusta-Richmond County, GA-SC","364","283","63","18",".",".","132","80","38",".",".","324","40",".","."
"12300","Augusta-Waterville, ME","366","181","147","36","2",".","156","101","51",".",".","108","247",".","11"
"12420","Austin-Round Rock, TX","364","308","48","7","1",".","166","61","32",".",".","353","11",".","."
"12540","Bakersfield, CA","366","106","164","64","29","3","203","145","68","5","165","143","53",".","."
"12580","Baltimore-Towson, MD","366","33","209","102","14","8","206","136","84","110","40","82","131",".","3"
"12620","Bangor, ME","366","120","184","55","7",".","200","107","62",".",".",".","344",".","22"
"12740","Barre, VT","226","192","33","1",".",".","106","59","27",".",".",".","190",".","36"
"12940","Baton Rouge, LA","366","129","175","52","8","2","207","110","60.5",".","145","68","153",".","."
"13140","Beaumont-Port Arthur, TX","366","92","112","126","34","2","206","150","92",".","16","102","248",".","."
"13180","Beaver Dam, WI","166","137","24","5",".",".","135","71","38",".",".","166",".",".","."
"13380","Bellingham, WA","366","339","25","2",".",".","103","43","14",".",".",".","366",".","."
"13460","Bend, OR","58","50","8",".",".",".","84","53","27",".",".",".",".",".","58"
"13620","Berlin, NH-VT","366","69","150","139","8",".","200","130","87",".",".","11","348",".","7"
"13740","Billings, MT","336","67","60","147","62",".","200","173","110","55",".",".","281",".","."
"13820","Birmingham-Hoover, AL","366","232","121","13",".",".","150","82","42","187",".","179",".",".","."
"13900","Bismarck, ND","366","338","25","3",".",".","127","43","9",".",".",".","366",".","."
"14260","Boise City-Nampa, ID","364","261","97","6",".",".","113","73","39","364",".",".",".",".","."
"14460","Boston-Cambridge-Quincy, MA-NH","366","2","134","210","18","2","206","134","105","20","65","42","239",".","."
"14500","Boulder, CO","365","285","72","8",".",".","147","72","40","76",".","289",".",".","."
"14540","Bowling Green, KY","12","12",".",".",".",".","27","26","22.5",".",".","12",".",".","."
"14860","Bridgeport-Stamford-Norwalk, CT","366","98","184","53","15","16","220","137","64.5","98","45","92","131",".","."
"15380","Buffalo-Niagara Falls, NY","366","48","131","160","27",".","200","142","101","1","26","41","298",".","."
"15540","Burlington-South Burlington, VT","366","333","29","3","1",".","151","49","30","57",".","171","122",".","16"
"15940","Canton-Massillon, OH","366","180","151","32","3",".","164","100","51","4","69","98","195",".","."
"16100","Carlsbad-Artesia, NM","90","79","3","6","2",".","198","75","0",".",".",".","90",".","."
"16180","Carson City, NV","316","202","90","23","1",".","156","93","45","27",".","289",".",".","."
"16300","Cedar Rapids, IA","366","128","149","79","10",".","200","117","61","79",".","48","239",".","."
"16420","Central City, KY","357","183","116","58",".",".","147","110","50",".",".","142","215",".","."
"16580","Champaign-Urbana, IL","366","299","57","10",".",".","137","69","34",".",".","241","125",".","."
"16620","Charleston, WV","366","103","165","96","2",".","200","114","71","3","47","48","268",".","."
"16700","Charleston-North Charleston, SC","366","246","107","13",".",".","127","75","43","41",".","209","103",".","13"
"16740","Charlotte-Gastonia-Concord, NC-SC","366","99","193","67","7",".","176","116","64","166","15","123","62",".","."
"16860","Chattanooga, TN-GA","366","292","51","22","1",".","151","87","36",".",".","366",".",".","."
"16900","Chester, SC","359","288","53","18",".",".","150","80","37",".",".","359",".",".","."
"16940","Cheyenne, WY","5","5",".",".",".",".","28","28","18",".",".",".",".",".","5"
"16980","Chicago-Naperville-Joliet, IL-IN-WI","366",".","72","208","81","5","209","182","121","7","8","38","312",".","1"
"17020","Chico, CA","366","301","63","2",".",".","125","57","38","76","139","151",".",".","."
"17140","Cincinnati-Middletown, OH-KY-IN","366","20","105","187","54",".","200","166","112","8","26","22","310",".","."
"17300","Clarksville, TN-KY","366","209","80","67","10",".","200","119","47",".",".","112","254",".","."
"17340","Clearlake, CA","364","354","9","1",".",".","104","43","28",".",".","364",".",".","."
"17420","Cleveland, TN","366","63","82","114","107",".","200","200","112",".",".","43","323",".","."
"17460","Cleveland-Elyria-Mentor, OH","366","9","85","227","44","1","203","155","113.5",".","18","28","320",".","."
"17820","Colorado Springs, CO","366","184","162","20",".",".","143","87","50","97","163","106",".",".","."
"17900","Columbia, SC","366","229","113","22","2",".","190","87","44.5","62","55","227","22",".","."
"17940","Columbia, TN","366","189","112","59","6",".","200","112","49",".",".",".","366",".","."
"17980","Columbus, GA-AL","263","214","35","13",".","1","204","80","36",".",".","263",".",".","."
"18140","Columbus, OH","366","124","163","63","16",".","184","123","63","70","61","45","190",".","."
"18180","Concord, NH","360","154","95","100","11",".","200","129.5","60",".",".",".","360",".","."
"18580","Corpus Christi, TX","366","279","65","21","1",".","179","81","32",".",".","273","93",".","."
"18980","Cullman, AL","271","207","40","23","1",".","164","97","39",".",".","271",".",".","."
"19060","Cumberland, MD-WV","366","248","99","17","2",".","190","76","39.5","43",".","140","183",".","."
"19100","Dallas-Fort Worth-Arlington, TX","366","150","125","61","18","12","216","140","57","24","104","199","39",".","."
"19340","Davenport-Moline-Rock Island, IA-IL","366","250","98","18",".",".","133","84","43","49",".","170","147",".","."
"19380","Dayton, OH","366","206","122","33","5",".","174","101","48","38","113","122","93",".","."
"19460","Decatur, AL","267","243","21","3",".",".","121","50","14",".",".",".","267",".","."
"19500","Decatur, IL","365","187","84","59","35",".","200","150","49",".",".","169","188",".","8"
"19660","Deltona-Daytona Beach-Ormond Beach, FL","337","337",".",".",".",".","41","11","1",".",".",".","337",".","."
