"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"22800","Fort Madison-Keokuk, IA-MO","118","71","47",".",".",".","90","65","43",".",".",".",".","118","."
"22840","Fort Payne, AL","110","63","47",".",".",".","87","63.5","48",".",".",".",".","110","."
"22900","Fort Smith, AR-OK","366","305","61",".",".",".","77","58","36",".","5","204",".","92","65"
"23020","Fort Walton Beach-Crestview-Destin, FL","28","28",".",".",".",".","37","32","25",".",".","28",".",".","."
"23060","Fort Wayne, IN","362","146","211","5",".",".","142","78","54","12",".","56",".","279","15"
"23180","Frankfort, KY","119","71","48",".",".",".","84","65","45",".",".",".",".","119","."
"23420","Fresno, CA","366","61","195","84","24","2","207","137","77",".","4","149",".","212","1"
"23460","Gadsden, AL","340","195","144","1",".",".","105","67","47",".",".","72",".","268","."
"23500","Gaffney, SC","366","308","52","5",".","1","209","58","36",".",".","366",".",".","."
"23540","Gainesville, FL","366","341","24","1",".",".","101","49","32",".",".","284",".","62","20"
"23580","Gainesville, GA","347","125","220","2",".",".","128","77","55",".",".",".",".","347","."
"23700","Gallup, NM","278","270","8",".",".",".","76","27","14",".",".",".",".",".","278"
"23820","Gardnerville Ranchos, NV","291","291",".",".",".",".","30","19","11","291",".",".",".",".","."
"23860","Georgetown, SC","366","352","14",".",".",".","66","42","25",".",".",".","2",".","364"
"23900","Gettysburg, PA","356","216","134","6",".",".","125","77","45",".",".","111",".","245","."
"23940","Gillette, WY","366","182","182","1","1",".","162","71","51",".","1","155","44","4","162"
"24140","Goldsboro, NC","196","114","81","1",".",".","104","64","45.5",".",".",".",".","196","."
"24180","Granbury, TX","366","351","14","1",".",".","106","46","32",".",".","366",".",".","."
"24260","Grand Island, NE","109","91","18",".",".",".","66","54","27",".",".",".",".","109","."
"24300","Grand Junction, CO","366","249","116","1",".",".","104","64","45","10",".","203",".","44","109"
"24340","Grand Rapids-Wyoming, MI","360","234","126",".",".",".","99","69","39","1",".",".","1","358","."
"24420","Grants Pass, OR","366","266","95","4","1",".","153","66","31",".",".",".",".","366","."
"24500","Great Falls, MT","365","345","20",".",".",".","67","40","14","155",".",".",".","210","."
