"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10100","Aberdeen, SD","122","108","14",".",".",".","71","52","28.5",".",".",".",".","107","15"
"10140","Aberdeen, WA","131","96","35",".",".",".","82","62","33",".",".",".",".","100","31"
"10300","Adrian, MI","182","126","38","18",".",".","137","100","42",".",".","182",".",".","."
"10380","Aguadilla-Isabela-San Sebastian, PR","89","87","2",".",".",".","61","40","23",".",".",".",".","89","."
"10420","Akron, OH","365","79","200","72","14",".","192","120","67",".",".","58","137","167","3"
"10500","Albany, GA","112","59","52","1",".",".","104","75","48.5",".",".",".",".","105","7"
"10540","Albany-Lebanon, OR","178","152","24","2",".",".","110","58","34",".",".","86",".","92","."
"10580","Albany-Schenectady-Troy, NY","365","269","71","18","7",".","195","87","37","4",".","286","18","57","."
"10740","Albuquerque, NM","365","161","188","14",".","2","413","80","52",".","43","190",".","41","91"
"10780","Alexandria, LA","363","305","56","2",".",".","116","55","35",".",".","279",".","84","."
"10880","Allegan, MI","363","207","125","23","7","1","202","95","45",".",".","123",".","240","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","155","166","37","7",".","182","106","54",".","17","88","46","207","7"
"10980","Alpena, MI","107","82","25",".",".",".","95","66","28",".",".",".",".","107","."
"11020","Altoona, PA","365","270","70","24","1",".","182","86","40",".","70","171","112",".","12"
"11100","Amarillo, TX","131","128","3",".",".",".","75","36","21",".",".",".",".","131","."
"11140","Americus, GA","226","200","25","1",".",".","132","51","36",".",".","226",".",".","."
"11180","Ames, IA","263","221","42",".",".",".","87","59","34",".",".","174",".","89","."
"11260","Anchorage, AK","304","250","52","2",".",".","112","57","31","122",".",".",".","82","100"
"11300","Anderson, IN","225","114","77","26","8",".","185","114","50",".",".","153",".","70","2"
"11340","Anderson, SC","235","153","40","40","2",".","169","119","44",".",".","235",".",".","."
"11460","Ann Arbor, MI","237","135","84","17","1",".","154","90","45",".",".","141",".","96","."
"11540","Appleton, WI","245","184","58","3",".",".","119","72","36",".",".","156",".","89","."
"11620","Ardmore, OK","304","231","63","9","1",".","154","74","40",".",".","234",".","70","."
"11700","Asheville, NC","266","111","112","40","3",".","159","116","54.5",".",".","186",".","80","."
