"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10100","Aberdeen, SD","127","102","25",".",".",".","79","56","31",".",".",".",".","108","19"
"10300","Adrian, MI","184","131","39","13","1",".","151","90","42",".",".","184",".",".","."
"10380","Aguadilla-Isabela-San Sebastian, PR","105","98","7",".",".",".","71","41","21",".",".",".",".","105","."
"10420","Akron, OH","365","75","210","73","7",".","182","113","71",".",".","59","134","172","."
"10460","Alamogordo, NM","51","51",".",".",".",".","38","25","16",".",".",".",".",".","51"
"10500","Albany, GA","344","280","61","3",".",".","138","63","10",".",".",".","232","104","8"
"10540","Albany-Lebanon, OR","120","103","16","1",".",".","104","60.5","27",".",".",".",".","120","."
"10580","Albany-Schenectady-Troy, NY","365","267","79","16","3",".","166","74","40","4",".","255","42","64","."
"10660","Albert Lea, MN","29","20","9",".",".",".","88","82","45",".",".",".",".","29","."
"10740","Albuquerque, NM","365","189","172","4",".",".","128","77","50","1","50","222",".","42","50"
"10780","Alexandria, LA","365","285","75","5",".",".","127","68","39",".",".","284",".","81","."
"10820","Alexandria, MN","42","37","5",".",".",".","69","51","24",".",".",".",".","30","12"
"10880","Allegan, MI","364","203","130","30","1",".","166","93","46",".",".","100",".","264","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","135","188","35","7",".","185","103","58",".","23","87","49","193","13"
"10980","Alpena, MI","119","86","31","2",".",".","113","75","27",".",".",".",".","119","."
"11020","Altoona, PA","365","254","94","16","1",".","151","79","43",".","59","168","122",".","16"
"11100","Amarillo, TX","97","92","5",".",".",".","70","42","28",".",".",".",".","97","."
"11140","Americus, GA","246","186","46","14",".",".","129","90","41.5",".",".","246",".",".","."
"11180","Ames, IA","262","226","36",".",".",".","89","56","30",".",".","177",".","85","."
"11260","Anchorage, AK","305","244","59","2",".",".","113","63","30","132",".",".",".","79","94"
"11300","Anderson, IN","202","100","88","13","1",".","166","93","51",".",".","110",".","90","2"
"11340","Anderson, SC","235","153","61","20","1",".","156","100","45",".",".","235",".",".","."
"11460","Ann Arbor, MI","245","150","74","20","1",".","179","92","44",".",".","149",".","96","."
"11540","Appleton, WI","245","184","51","10",".",".","137","74","38",".",".","164",".","81","."
"11620","Ardmore, OK","258","166","82","10",".",".","147","87","45",".",".","190",".","68","."
"11700","Asheville, NC","310","166","125","18","1",".","171","92","49",".",".","227",".","82","1"
"11780","Ashtabula, OH","365","287","47","27","4",".","174","93","35",".",".","208","157",".","."
"11900","Athens, OH","114","63","50","1",".",".","114","73","45",".",".",".",".","113","1"
"11940","Athens, TN","365","224","115","25","1",".","153","91","37",".","126",".","141","86","12"
"12020","Athens-Clarke County, GA","100","26","71","2","1",".","168","84","59",".",".",".",".","100","."
"12060","Atlanta-Sandy Springs-Marietta, GA","365","54","235","60","16",".","197","119","69",".","24","77","40","217","7"
"12100","Atlantic City, NJ","365","291","55","16","3",".","161","77","36",".",".","287","16","62","."
"12140","Auburn, IN","121","118","3",".",".",".","70","31","16",".",".",".",".",".","121"
"12260","Augusta-Richmond County, GA-SC","365","216","119","29","1",".","172","97","45",".","1","252","27","84","1"
"12300","Augusta-Waterville, ME","213","172","32","8","1",".","154","79","37",".",".","165",".","47","1"
"12420","Austin-Round Rock, TX","365","218","140","7",".",".","124","70","46",".",".","140",".","224","1"
"12540","Bakersfield, CA","365","44","146","114","60","1","205","162","97",".","29","207",".","122","7"
"12580","Baltimore-Towson, MD","365","84","215","49","16","1","206","120","66",".","20","99","46","200","."
"12620","Bangor, ME","245","187","47","10","1",".","169","72","41",".",".","165",".","80","."
"12660","Baraboo, WI","185","160","22","3",".",".","104","54","39",".",".","185",".",".","."
"12700","Barnstable Town, MA","365","310","38","11","5","1","204","71","36",".","7","342",".","16","."
"12740","Barre, VT","116","83","32","1",".",".","109","66","36",".",".",".",".","114","2"
"12940","Baton Rouge, LA","365","95","219","49","2",".","174","106","61",".","25","73","82","184","1"
"12980","Battle Creek, MI","15","15",".",".",".",".","46","45","18",".",".",".",".",".","15"
"13020","Bay City, MI","119","81","36","2",".",".","119","79","38",".",".",".",".","119","."
"13140","Beaumont-Port Arthur, TX","365","130","183","49","3",".","172","109","58",".","1","88","164","112","."
"13180","Beaver Dam, WI","364","295","59","10",".",".","135","64","36",".",".","295",".","69","."
"13220","Beckley, WV","121","64","55","2",".",".","135","75","49",".",".",".",".","121","."
"13380","Bellingham, WA","231","219","12",".",".",".","75","43","29",".",".","132",".","97","2"
"13460","Bend, OR","348","309","36","1","2",".","171","52","25","42",".",".",".","288","18"
"13540","Bennington, VT","265","205","50","10",".",".","145","71","39",".",".","189",".","76","."
"13620","Berlin, NH-VT","365","258","83","23","1",".","173","87","36",".",".","102","186","72","5"
"13740","Billings, MT","365","141","168","55","1",".","200","104","60","13",".",".","333","18","1"
"13780","Binghamton, NY","109","71","37","1",".",".","102","71","37",".",".",".",".","109","."
"13820","Birmingham-Hoover, AL","365","39","230","71","18","7","265","140","79","68",".","34","4","256","3"
"13860","Bishop, CA","365","189","120","17","5","34","20646","184","50",".",".","279",".","4","82"
"13900","Bismarck, ND","365","224","118","23",".",".","130","90","41",".",".",".","316","45","4"
"13940","Blackfoot, ID","49","45","3","1",".",".","107","50","23",".",".",".",".",".","49"
"14020","Bloomington, IN","184","116","47","21",".",".","142","104","47",".",".","184",".",".","."
"14060","Bloomington-Normal, IL","288","224","61","3",".",".","124","68","39",".",".","242",".","46","."
"14140","Bluefield, WV-VA","116","65","48","3",".",".","107","80","44",".",".",".",".","116","."
"14180","Blytheville, AR","89","46","43",".",".",".","96","72","48",".",".",".",".","89","."
"14260","Boise City-Nampa, ID","365","243","99","20","3",".","162","80","43","70",".","108",".","119","68"
"14380","Boone, NC","18","13","5",".",".",".","83","81","28.5",".",".",".",".","18","."
"14460","Boston-Cambridge-Quincy, MA-NH","365","95","236","27","6","1","201","97","60",".","57","49","40","218","1"
"14500","Boulder, CO","365","300","63","2",".",".","117","60","38","28",".","249",".","66","22"
"14540","Bowling Green, KY","365","237","115","13",".",".","147","80","43",".","22","256",".","85","2"
"14580","Bozeman, MT","365","338","26","1",".",".","101","43","6","243",".",".",".","83","39"
"14600","Bradenton-Sarasota-Venice, FL","365","266","81","17","1",".","174","72","39","30","4","227","46","52","6"
"14660","Brainerd, MN","44","38","5","1",".",".","122","64","23",".",".",".",".","33","11"
"14700","Branson, MO","95","65","30",".",".",".","88","64","34",".",".",".",".","95","."
