"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10420","Akron, OH","365","51","106","138","66","4","240","177","106","8",".","56","301",".","."
"10580","Albany-Schenectady-Troy, NY","365","130","172","60","3",".","161","108","61","6",".","77","282",".","."
"10740","Albuquerque, NM","365","151","150","17","22","25","248","166","54","124","66","175",".",".","."
"10780","Alexandria, LA","121","106","13","2",".",".","116","61","35",".",".","121",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","110","185","61","9",".","190","110","64","2","94","96","173",".","."
"10940","Alma, MI","249","205","12","27","5",".","161","111","13",".",".",".","249",".","."
"11020","Altoona, PA","344","228","99","17",".",".","137","81","42","1","66","135","142",".","."
"11180","Ames, IA","283","207","36","33","7",".","200","110","17",".",".",".","283",".","."
"11260","Anchorage, AK","365","207","123","20","13","2","215","99","45","365",".",".",".",".","."
"11460","Ann Arbor, MI","356","305","36","15",".",".","145","64","28",".",".","177","179",".","."
"11540","Appleton, WI","205","187","16","2",".",".","135","49","32",".",".","205",".",".","."
"11700","Asheville, NC","185","144","35","6",".",".","114","74","42",".",".","185",".",".","."
"11780","Ashtabula, OH","365","188","112","51","12","2","208","115","49",".",".","151","214",".","."
"12060","Atlanta-Sandy Springs-Marietta, GA","365","169","147","36","11","2","209","106","52","88","31","147","99",".","."
"12100","Atlantic City, NJ","365","185","125","39","9","7","222","114","50","149",".","161","55",".","."
"12260","Augusta-Richmond County, GA-SC","315","256","51","8",".",".","122","71","34",".",".","315",".",".","."
"12300","Augusta-Waterville, ME","164","147","11","5","1",".","169","54","34",".",".","164",".",".","."
"12420","Austin-Round Rock, TX","355","312","24","15","4",".","169","54","31",".",".","352","3",".","."
"12540","Bakersfield, CA","365","49","185","79","39","13","213","166","82","5","93","135","132",".","."
"12580","Baltimore-Towson, MD","365","17","193","125","24","6","216","145","94","95","40","65","165",".","."
"12620","Bangor, ME","365","74","118","140","33",".","200","145","96","34",".","19","312",".","."
"12740","Barre, VT","233","195","38",".",".",".","100","56","23",".",".",".","233",".","."
"12940","Baton Rouge, LA","365","212","96","38","11","8","208","116","47",".",".","279","86",".","."
"12980","Battle Creek, MI","365","365",".",".",".",".","43","13","0",".",".",".","365",".","."
"13020","Bay City, MI","293","229","40","23","1",".","156","93","36",".",".","233","60",".","."
"13140","Beaumont-Port Arthur, TX","365","98","134","112","21",".","200","139","81",".","42","85","238",".","."
