"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10140","Aberdeen, WA","366","123","139","92","12",".","200","125","69",".",".",".","366",".","."
"10420","Akron, OH","366","111","134","98","15","8","215","136","75","5",".","124","235",".","2"
"10540","Albany-Lebanon, OR","56","44","12",".",".",".","67","57","32",".",".",".",".",".","56"
"10580","Albany-Schenectady-Troy, NY","366","217","102","35","12",".","200","107","44","9",".","179","174",".","4"
"10740","Albuquerque, NM","366","182","174","9","1",".","181","84","51","112","35","179",".",".","40"
"10900","Allentown-Bethlehem-Easton, PA-NJ","366","188","120","32","18","8","216","122","50","6","82","145","126",".","7"
"10980","Alpena, MI","49","46","3",".",".",".","54","48","20",".",".",".",".",".","49"
"11020","Altoona, PA","364","210","103","33","16","2","206","119","47",".",".","203","154",".","7"
"11100","Amarillo, TX","8","7","1",".",".",".","54","54","22",".",".",".",".",".","8"
"11140","Americus, GA","275","187","59","27","2",".","164","101","42",".",".","275",".",".","."
"11180","Ames, IA","366","252","56","51","7",".","199","109","16",".",".",".","366",".","."
"11260","Anchorage, AK","365","221","132","12",".",".","148","83","44","170",".",".",".",".","195"
"11460","Ann Arbor, MI","215","133","46","24","10","2","203","132","43",".",".","215",".",".","."
"11540","Appleton, WI","183","124","31","24","4",".","179","111","40",".",".","183",".",".","."
"11700","Asheville, NC","158","82","62","12","2",".","169","100","50",".",".","125",".",".","33"
"11780","Ashtabula, OH","335","212","74","32","13","4","212","116","40",".",".","154","181",".","."
"11940","Athens, TN","366","301","53","11","1",".","171","64","29",".","166",".","200",".","."
"12060","Atlanta-Sandy Springs-Marietta, GA","366","111","130","94","17","14","215","145","71","6","98","154","104",".","4"
"12100","Atlantic City, NJ","365","262","62","25","14","2","208","103","37",".",".","271","75",".","19"
"12260","Augusta-Richmond County, GA-SC","366","243","85","35","3",".","192","101","43",".","1","290","73",".","2"
"12300","Augusta-Waterville, ME","260","210","30","13","6","1","206","85","35",".",".","203",".",".","57"
"12420","Austin-Round Rock, TX","366","285","58","21","2",".","164","77","38","3","59","285","4",".","15"
"12540","Bakersfield, CA","366","69","135","76","75","11","205","182","89.5","4","104","230","7",".","21"
"12580","Baltimore-Towson, MD","366","85","185","50","16","30","219","172","69","43","72","112","132",".","7"
"12620","Bangor, ME","366","207","132","26","1",".","174","94","46",".",".",".","330",".","36"
"12700","Barnstable Town, MA","208","136","30","27","9","6","216","140","42",".",".","208",".",".","."
"12740","Barre, VT","155","144","11",".",".",".","66","47","22",".",".",".","105",".","50"
"12940","Baton Rouge, LA","366","165","141","48","11","1","204","114","55","1","94","128","139",".","4"
"12980","Battle Creek, MI","273","225","48",".",".",".","77","57","29",".",".",".",".",".","273"
"13140","Beaumont-Port Arthur, TX","363","134","131","83","13","2","206","125","69","2","1","156","204",".","."
"13180","Beaver Dam, WI","185","127","36","21","1",".","159","106","41",".",".","185",".",".","."
"13380","Bellingham, WA","366","307","52","6","1",".","200","56","33","207",".",".","135",".","24"
"13460","Bend, OR","247","137","110",".",".",".","100","70","48","191",".",".",".",".","56"
"13540","Bennington, VT","200","149","29","16","4","2","202","104","39",".",".","200",".",".","."
"13620","Berlin, NH-VT","366","139","157","66","4",".","176","114","59.5",".",".",".","288",".","78"
"13740","Billings, MT","366","7","39","174","146",".","200","185","141",".",".","1","365",".","."
"13820","Birmingham-Hoover, AL","366","183","124","41","16","2","205","116","50.5","107",".","181","3",".","75"
"13860","Bishop, CA","79","58","19",".","1","1","257","69","34",".",".",".",".",".","79"
"13900","Bismarck, ND","61","60","1",".",".",".","51","29","17",".",".",".",".",".","61"
