"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10100","Aberdeen, SD","97","94","3",".",".",".","54","41","21",".",".",".",".",".","97"
"10140","Aberdeen, WA","357","130","91","104","32",".","200","143","81",".",".",".","357",".","."
"10420","Akron, OH","365","87","161","112","5",".","168","122","77","2",".","90","273",".","."
"10540","Albany-Lebanon, OR","36","26","10",".",".",".","87","64","39",".",".",".",".",".","36"
"10580","Albany-Schenectady-Troy, NY","365","190","127","45","3",".","187","104","49","3",".","113","241",".","8"
"10740","Albuquerque, NM","365","200","140","21","4",".","195","93","49","155","19","186",".",".","5"
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","191","134","38","2",".","174","104","49","7","81","127","147",".","3"
"10980","Alpena, MI","16","16",".",".",".",".","39","32","17.5",".",".",".",".",".","16"
"11020","Altoona, PA","365","229","108","27","1",".","174","91","44",".",".","159","178",".","28"
"11100","Amarillo, TX","53","52","1",".",".",".","57","31","21",".",".",".",".",".","53"
"11180","Ames, IA","365","297","39","22","7",".","200","89","16",".",".",".","365",".","."
"11260","Anchorage, AK","365","199","151","12","3",".","191","76","48","204",".",".",".",".","161"
"11460","Ann Arbor, MI","211","190","17","4",".",".","119","50","33",".",".","211",".",".","."
"11540","Appleton, WI","185","162","22","1",".",".","111","51","31",".",".","185",".",".","."
"11700","Asheville, NC","217","168","38","11",".",".","132","80","36",".",".","206",".",".","11"
"11780","Ashtabula, OH","365","223","95","39","8",".","200","105","44",".",".","107","258",".","."
"11940","Athens, TN","365","301","54","10",".",".","142","67","28",".","176",".","189",".","."
"12060","Atlanta-Sandy Springs-Marietta, GA","365","134","134","77","16","4","213","130","61","20","128","119","91",".","7"
"12100","Atlantic City, NJ","365","265","75","22","3",".","195","87","42","110",".","189","49",".","17"
"12260","Augusta-Richmond County, GA-SC","365","289","53","18","5",".","177","80","37",".","5","316","42",".","2"
"12300","Augusta-Waterville, ME","252","231","17","4",".",".","124","47","32",".",".","175",".",".","77"
"12420","Austin-Round Rock, TX","365","310","47","8",".",".","137","61","33",".",".","318","7",".","40"
"12540","Bakersfield, CA","365","87","144","83","44","7","205","161","79","5","124","209","18",".","9"
"12580","Baltimore-Towson, MD","365","41","211","88","18","7","207","137","81","38","76","97","151",".","3"
"12620","Bangor, ME","365","142","174","46","3",".","159","104","59",".",".",".","326",".","39"
"12660","Baraboo, WI","85","84","1",".",".",".","57","35","19",".",".",".",".",".","85"
"12740","Barre, VT","282","264","16","2",".",".","107","46","23",".",".",".","188",".","94"
"12940","Baton Rouge, LA","365","137","155","63","10",".","200","118","58","2","69","113","159",".","22"
"12980","Battle Creek, MI","115","89","26",".",".",".","77","60","29",".",".",".",".",".","115"
"13140","Beaumont-Port Arthur, TX","365","159","118","78","9","1","203","124","56","1","2","182","180",".","."
"13180","Beaver Dam, WI","180","144","30","6",".",".","116","77","37",".",".","180",".",".","."
"13380","Bellingham, WA","342","238","94","9","1",".","169","69","29",".",".",".","316",".","26"
"13460","Bend, OR","61","55","6",".",".",".","92","49","27",".",".",".",".",".","61"
"13540","Bennington, VT","99","91","5","3",".",".","122","50","30",".",".","99",".",".","."
"13620","Berlin, NH-VT","365","85","174","103","3",".","180","119","72",".",".","11","330",".","24"
"13740","Billings, MT","365","8","57","174","126",".","200","187","132","2",".",".","363",".","."
"13820","Birmingham-Hoover, AL","365","176","127","53","8","1","206","111","51","74",".","151","27",".","113"
"13860","Bishop, CA","12","12",".",".",".",".","27","27","18.5",".",".",".",".",".","12"
"13900","Bismarck, ND","173","167","6",".",".",".","84","39","23",".",".",".",".",".","173"
"14260","Boise City-Nampa, ID","330","190","137","2","1",".","180","77","44","292",".",".",".",".","38"
"14460","Boston-Cambridge-Quincy, MA-NH","365","12","161","183","9",".","176","125","101","15","44","14","292",".","."
"14500","Boulder, CO","365","260","94","11",".",".","145","67","42","45",".","239",".",".","81"
"14540","Bowling Green, KY","359","276","64","18","1",".","151","80","36",".",".","359",".",".","."
"14580","Bozeman, MT","32","26","6",".",".",".","67","54","35",".",".",".",".",".","32"
"14740","Bremerton-Silverdale, WA","53","38","15",".",".",".","77","61","34","53",".",".",".",".","."
"14860","Bridgeport-Stamford-Norwalk, CT","365","121","178","52","11","3","203","116","62","36","67","84","178",".","."
"15380","Buffalo-Niagara Falls, NY","365","35","137","171","22",".","185","141","102","3","27","17","318",".","."
"15540","Burlington-South Burlington, VT","365","323","38","4",".",".","116","52","34","53","129","120","37",".","26"
"15580","Butte-Silver Bow, MT","40","25","9","6",".",".","130","112","44",".",".",".",".",".","40"
"15940","Canton-Massillon, OH","365","203","120","40","2",".","177","101","48",".","60","126","171",".","8"
"16100","Carlsbad-Artesia, NM","365","235","79","39","12",".","200","112","33",".","73",".","238",".","54"
"16180","Carson City, NV","328","230","78","20",".",".","140","90","36","147",".","173",".",".","8"
"16220","Casper, WY","59","58","1",".",".",".","55","34","19",".",".",".",".",".","59"
"16300","Cedar Rapids, IA","365","120","125","111","9",".","179","125","77","4",".","68","276",".","17"
"16420","Central City, KY","363","227","75","54","7",".","200","111","37",".",".","14","349",".","."
"16580","Champaign-Urbana, IL","365","314","47","4",".",".","114","57","32",".",".","274","91",".","."
"16620","Charleston, WV","365","164","133","65","3",".","185","110","56","1","77","70","213",".","4"
"16700","Charleston-North Charleston, SC","365","205","114","42","4",".","197","106","47","16",".","192","139",".","18"
"16740","Charlotte-Gastonia-Concord, NC-SC","365","93","208","47","16","1","201","127","62","180","25","159",".",".","1"
"16860","Chattanooga, TN-GA","276","185","64","24","3",".","185","100","43",".",".","254",".",".","22"
"16900","Chester, SC","344","260","63","19","2",".","190","84","37",".",".","344",".",".","."
"16940","Cheyenne, WY","61","61",".",".",".",".","35","26","14",".",".",".",".",".","61"
"16980","Chicago-Naperville-Joliet, IL-IN-WI","365",".","91","239","35",".","200","147","110",".","58","23","281",".","3"
"17020","Chico, CA","365","243","110","12",".",".","129","85","40","80","98","186",".",".","1"
"17140","Cincinnati-Middletown, OH-KY-IN","365","21","99","194","49","2","208","159","111","3","15","33","312",".","2"
"17300","Clarksville, TN-KY","365","159","111","77","18",".","200","130","60",".",".","70","295",".","."
"17340","Clearlake, CA","357","342","14","1",".",".","111","43","26",".",".","355",".",".","2"
"17420","Cleveland, TN","365","62","87","128","88",".","200","194","108",".","24",".","341",".","."
"17460","Cleveland-Elyria-Mentor, OH","365","16","144","178","27",".","200","141","104","5","5","34","317",".","4"
"17540","Clinton, IA","344","184","41","55","63","1","201","200","43",".",".",".","254",".","90"
"17660","Coeur d'Alene, ID","77","60","17",".",".",".","86","60","34",".",".",".",".",".","77"
"17820","Colorado Springs, CO","365","283","81","1",".",".","106","65","42","171",".","194",".",".","."
"17900","Columbia, SC","365","245","88","31","1",".","154","100","44","74",".","266","12",".","13"
"17940","Columbia, TN","238","149","69","16","4",".","200","95","43",".",".",".","188",".","50"
"17980","Columbus, GA-AL","276","189","62","23","2",".","154","97","42",".",".","276",".",".","."
"18140","Columbus, OH","365","203","132","27","3",".","166","95","48","74","53","94","122",".","22"
"18180","Concord, NH","365","172","102","79","12",".","200","129","56",".",".","32","333",".","."
"18580","Corpus Christi, TX","365","270","82","12","1",".","200","74","38",".",".","167","62",".","136"
"18980","Cullman, AL","208","124","50","30","4",".","192","114","47",".",".","208",".",".","."
"19060","Cumberland, MD-WV","365","273","89","3",".",".","104","67","36","32",".","148","185",".","."
"19100","Dallas-Fort Worth-Arlington, TX","365","176","119","48","20","2","204","129","52","24","128","177","17",".","19"
"19340","Davenport-Moline-Rock Island, IA-IL","365","277","77","10","1",".","157","74","39","53",".","194","99",".","19"
"19380","Dayton, OH","365","243","98","22",".","2","203","87","44","64","41","176","76",".","8"
"19460","Decatur, AL","315","284","29","2",".",".","107","50","19",".",".",".","315",".","."
"19500","Decatur, IL","364","204","76","50","34",".","200","148","46",".",".","148","163",".","53"
"19660","Deltona-Daytona Beach-Ormond Beach, FL","361","357","4",".",".",".","56","23","4",".",".",".","361",".","."
"19700","Deming, NM","126","113","13",".",".",".","60","51","31",".",".",".",".",".","126"
"19740","Denver-Aurora, CO","365","20","226","101","12","6","271","120","82","81","226","37","17",".","4"
"19780","Des Moines-West Des Moines, IA","365","264","100",".","1",".","184","60","38","100",".","36",".",".","229"
"19820","Detroit-Warren-Livonia, MI","365","69","191","92","13",".","200","122","77","13","2","38","287",".","25"
"19860","Dickinson, ND","365","332","29","4",".",".","127","47","22",".",".",".","230",".","135"
"19980","Dodge City, KS","31","31",".",".",".",".","44","41","22",".",".",".",".",".","31"
"20100","Dover, DE","354","234","92","26","2",".","169","93","43",".",".","191","163",".","."
"20220","Dubuque, IA","365","331","25","8","1",".","158","49","25","272",".",".","93",".","."
"20260","Duluth, MN-WI","365","257","105","3",".",".","131","63","40","277",".",".","7",".","81"
"20500","Durham, NC","365","167","162","31","5",".","181","100","54","223",".","120","22",".","."
"20620","East Liverpool-Salem, OH","358","183","94","72","9",".","200","123","50",".",".",".","286",".","72"
"20780","Edwards, CO","180","155","25",".",".",".","81","61.5","19",".",".",".",".",".","180"
"20820","Effingham, IL","295","231","56","7","1",".","169","74","38",".",".","295",".",".","."
"20940","El Centro, CA","258","221","36","1",".",".","111","56","33",".",".","248",".",".","10"
