"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10100","Aberdeen, SD","123","104","19",".",".",".","77","53","28",".",".",".",".","109","14"
"10140","Aberdeen, WA","366","348","18",".",".",".","81","42","20",".",".",".",".","366","."
"10260","Adjuntas, PR","77","74","3",".",".",".","66","36","18",".",".",".",".","77","."
"10300","Adrian, MI","245","164","67","12","2",".","161","87","45",".",".","173",".","72","."
"10420","Akron, OH","366","271","94","1",".",".","140","66","38.5","21",".","155","108","82","."
"10500","Albany, GA","360","254","104","2",".",".","124","63","38",".",".",".",".","359","1"
"10540","Albany-Lebanon, OR","366","319","47",".",".",".","91","53","23",".",".",".",".","366","."
"10580","Albany-Schenectady-Troy, NY","366","301","63","2",".",".","119","57","36.5",".",".","249",".","117","."
"10740","Albuquerque, NM","366","141","211","12","1","1","291","84","56",".","2","192",".","135","37"
"10780","Alexandria, LA","362","177","185",".",".",".","88","66","52",".",".",".",".","362","."
"10880","Allegan, MI","240","163","51","23","3",".","169","104","41",".",".","172",".","68","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","366","172","186","8",".",".","149","79","51.5",".","7","81","11","267","."
"11020","Altoona, PA","366","216","142","8",".",".","137","71","45",".",".","124","10","230","2"
"11100","Amarillo, TX","366","281","83","2",".",".","114","67","42",".",".","321",".","45","."
"11140","Americus, GA","243","232","11",".",".",".","80","47","35",".",".","243",".",".","."
"11180","Ames, IA","214","193","21",".",".",".","71","50","38.5",".",".","214",".",".","."
"11260","Anchorage, AK","366","255","106","5",".",".","127","78","33","4",".","124",".","176","62"
"11300","Anderson, IN","352","222","128","2",".",".","127","68","45",".",".","128",".","224","."
"11340","Anderson, SC","226","210","14","2",".",".","137","47","36",".",".","226",".",".","."
"11460","Ann Arbor, MI","364","292","56","16",".",".","140","71","36.5",".",".","314",".","50","."
"11540","Appleton, WI","366","257","102","6","1",".","156","69","41",".",".","166",".","200","."
"11620","Ardmore, OK","350","195","149","6",".",".","122","74","47",".",".","140",".","210","."
"11660","Arkadelphia, AR","347","328","18","1",".",".","111","47","32",".",".","347",".",".","."
"11700","Asheville, NC","366","271","92","3",".",".","124","63","44",".",".","161",".","205","."
"11780","Ashtabula, OH","366","323","37","5","1",".","154","61","29",".",".","210","156",".","."
"11900","Athens, OH","55","44","11",".",".",".","68","56","34",".",".",".",".","55","."
"11940","Athens, TN","366","355","8","3",".",".","112","29","9",".","182",".","154",".","30"
"12020","Athens-Clarke County, GA","366","262","99","4","1",".","153","62","42",".",".","104",".","262","."
"12060","Atlanta-Sandy Springs-Marietta, GA","366","114","233","16","2","1","203","80","58",".","5","100",".","261","."
"12100","Atlantic City, NJ","362","309","49","4",".",".","129","54","36",".",".","254",".","108","."
"12260","Augusta-Richmond County, GA-SC","366","238","124","4",".",".","127","64","44",".",".","84",".","282","."
"12300","Augusta-Waterville, ME","311","299","12",".",".",".","79","42","29",".","80","192","8","31","."
"12420","Austin-Round Rock, TX","366","263","99","4",".",".","147","63","41.5",".","3","189",".","174","."
"12540","Bakersfield, CA","366","87","166","96","17",".","179","135","74",".","3","217",".","139","7"
"12580","Baltimore-Towson, MD","366","177","169","18","2",".","185","87","52",".","9","157",".","200","."
"12620","Bangor, ME","366","337","29",".",".",".","72","48","33",".",".","208",".","156","2"
"12660","Baraboo, WI","365","282","80","3",".",".","127","64","38",".",".","175",".","185","5"
"12700","Barnstable Town, MA","260","238","16","6",".",".","140","47.5","33.5",".",".","207",".","53","."
"12940","Baton Rouge, LA","366","174","179","13",".",".","135","81","51.5",".","5","138","7","213","3"
"13020","Bay City, MI","119","97","22",".",".",".","85","56","27",".",".",".",".","119","."
"13140","Beaumont-Port Arthur, TX","366","240","114","11","1",".","192","74","45",".","3","147","21","195","."
"13180","Beaver Dam, WI","366","255","105","5","1",".","154","71","42",".",".","215",".","150","1"
