"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10100","Aberdeen, SD","123","106","17",".",".",".","85","54","30",".",".",".",".","118","5"
"10140","Aberdeen, WA","366","320","46",".",".",".","85","52","28",".",".",".",".","363","3"
"10300","Adrian, MI","184","156","25","3",".",".","124","61","39",".",".","184",".",".","."
"10380","Aguadilla-Isabela-San Sebastian, PR","73","69","4",".",".",".","65","43","20",".",".",".",".","73","."
"10420","Akron, OH","366","117","185","61","3",".","163","111","62",".",".","43","125","198","."
"10500","Albany, GA","117","57","57","3",".",".","114","75","52",".",".",".",".","109","8"
"10540","Albany-Lebanon, OR","265","197","61","7",".",".","125","67","28",".",".",".",".","265","."
"10580","Albany-Schenectady-Troy, NY","366","292","66","7","1",".","164","73","37","3",".","280","19","64","."
"10740","Albuquerque, NM","366","132","221","12","1",".","158","84","57",".","13","145",".","44","164"
"10780","Alexandria, LA","364","306","54","4",".",".","111","59","36",".",".","300",".","64","."
"10880","Allegan, MI","360","219","132","8","1",".","179","78","42",".",".","116",".","244","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","366","135","204","26","1",".","174","93","56",".","10","68","78","194","16"
"11020","Altoona, PA","366","294","70","2",".",".","123","61","39",".","80","173","98",".","15"
"11100","Amarillo, TX","125","121","4",".",".",".","64","41","24",".",".",".",".","125","."
"11140","Americus, GA","241","206","35",".",".",".","97","54","38",".",".","241",".",".","."
"11180","Ames, IA","205","204","1",".",".",".","51","38","30",".",".","205",".",".","."
"11260","Anchorage, AK","307","267","38","1",".","1","501","55","24","127",".",".",".","78","102"
"11300","Anderson, IN","241","161","79","1",".",".","104","71","43",".",".","148",".","90","3"
"11340","Anderson, SC","221","177","40","4",".",".","116","77","41",".",".","221",".",".","."
"11460","Ann Arbor, MI","245","175","67","3",".",".","105","73","38",".",".","139",".","106","."
"11540","Appleton, WI","247","198","48","1",".",".","110","62","36",".",".","169",".","78","."
"11620","Ardmore, OK","283","234","44","5",".",".","111","61","38",".",".","210",".","73","."
"11700","Asheville, NC","357","163","191","3",".",".","111","75","52",".",".","94",".","263","."
"11780","Ashtabula, OH","366","321","37","8",".",".","132","58","31",".",".","205","161",".","."
"11900","Athens, OH","67","38","28","1",".",".","124","75","43",".",".",".",".","66","1"
"11940","Athens, TN","363","254","91","18",".",".","149","77","28",".","148",".","115","95","5"
"12020","Athens-Clarke County, GA","327","178","140","9",".",".","150","77","48",".",".","133",".","194","."
"12060","Atlanta-Sandy Springs-Marietta, GA","366","68","253","41","4",".","192","104","65.5",".","17","76","25","247","1"
"12100","Atlantic City, NJ","353","301","47","5",".",".","111","58","33",".",".","258","10","85","."
"12260","Augusta-Richmond County, GA-SC","366","131","218","17",".",".","135","84","56",".",".","85","2","279","."
"12300","Augusta-Waterville, ME","214","190","23","1",".",".","122","54","31",".",".","164",".","50","."
"12420","Austin-Round Rock, TX","366","317","39","10",".",".","142","61","32",".","14","349",".",".","3"
"12540","Bakersfield, CA","366","58","139","106","60","3","205","159","99.5",".","12","232",".","119","3"
"12580","Baltimore-Towson, MD","366","102","222","37","5",".","179","103","62",".","9","63","22","271","1"
"12620","Bangor, ME","245","214","30","1",".",".","101","54","33",".",".","154",".","89","2"
"12660","Baraboo, WI","352","314","37","1",".",".","113","52","34",".","3","281","3","65","."
"12700","Barnstable Town, MA","241","206","29","5","1",".","179","61","37",".",".","175",".","66","."
"12940","Baton Rouge, LA","366","132","172","57","5",".","187","114","58",".","16","89","91","170","."
"13020","Bay City, MI","120","85","35",".",".",".","97","72.5","29.5",".",".",".",".","120","."
"13140","Beaumont-Port Arthur, TX","366","144","173","44","5",".","200","106","56",".","2","108","109","147","."
"13180","Beaver Dam, WI","365","248","110","7",".",".","129","70","39",".",".","170",".","195","."
"13220","Beckley, WV","118","65","53",".",".",".","94","72","46",".",".",".",".","118","."
"13380","Bellingham, WA","363","350","13",".",".",".","80","40","26",".",".","132",".","230","1"
"13460","Bend, OR","353","322","31",".",".",".","76","47","20","12",".",".",".","334","7"
"13540","Bennington, VT","365","330","31","4",".",".","140","48","31",".",".","313",".","52","."
"13620","Berlin, NH-VT","246","167","72","7",".",".","135","71","44.5",".",".","155",".","91","."
"13740","Billings, MT","366","146","199","20",".","1","202","92","56","2",".",".","348","16","."
"13820","Birmingham-Hoover, AL","366","42","288","34","2",".","158","100","67","10",".","16","6","307","27"
"13860","Bishop, CA","366","192","130","19","2","23","5121","109","49",".",".","285",".","4","77"
"13900","Bismarck, ND","366","242","98","26",".",".","138","95","37",".",".",".","318","47","1"
"13940","Blackfoot, ID","53","50","3",".",".",".","62","41","19",".",".",".",".",".","53"
