"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10300","Adrian, MI","184","136","35","13",".",".","127","80","41",".",".","184",".",".","."
"10380","Aguadilla-Isabela-San Sebastian, PR","55","50","5",".",".",".","64","49","24",".",".",".",".","55","."
"10420","Akron, OH","365","75","193","90","7",".","195","123","72",".",".","59","123","182","1"
"10460","Alamogordo, NM","52","51",".",".","1",".","175","29","13",".",".",".",".",".","52"
"10500","Albany, GA","104","35","66","3",".",".","111","91","59",".",".",".",".","90","14"
"10540","Albany-Lebanon, OR","22","12","9","1",".",".","109","98","46",".",".",".",".","22","."
"10580","Albany-Schenectady-Troy, NY","365","289","61","12","3",".","164","71","38","8","35","262","28","32","."
"10660","Albert Lea, MN","15","10","5",".",".",".","76","69","35",".",".",".",".","8","7"
"10740","Albuquerque, NM","365","208","150","7",".",".","129","77","49","8","45","248",".","33","31"
"10780","Alexandria, LA","361","256","87","18",".",".","129","87","42",".",".","323",".","38","."
"10880","Allegan, MI","343","199","114","28","1","1","202","95","43",".",".","127",".","216","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","169","156","31","7","2","203","104","52",".","52","129","77","107","."
"11020","Altoona, PA","363","263","82","17","1",".","166","77","42",".","79","173","111",".","."
"11140","Americus, GA","210","138","58","14",".",".","135","93","44.5",".",".","210",".",".","."
"11180","Ames, IA","244","197","44","3",".",".","111","61","38",".",".","181",".","63","."
"11260","Anchorage, AK","313","240","67","4","2",".","158","65","34","124",".",".",".","78","111"
"11300","Anderson, IN","229","124","71","31","3",".","159","116","49",".",".","169",".","48","12"
"11340","Anderson, SC","341","237","60","39","5",".","195","104","38",".",".","341",".",".","."
"11460","Ann Arbor, MI","214","146","51","16","1",".","177","93","42",".",".","161",".","53","."
"11540","Appleton, WI","241","177","51","12","1",".","156","79","38",".",".","159",".","82","."
"11620","Ardmore, OK","248","173","58","14","3",".","159","97","42",".",".","240",".","8","."
"11700","Asheville, NC","287","89","126","67","5",".","161","124","70",".",".","191",".","94","2"
"11780","Ashtabula, OH","365","277","57","30","1",".","172","97","34",".",".","190","175",".","."
"11900","Athens, OH","108","56","50","2",".",".","127","72","49.5",".",".",".",".","100","8"
"11940","Athens, TN","364","265","67","31","1",".","175","97","34",".","160",".","170",".","34"
"12020","Athens-Clarke County, GA","99","22","72","4","1",".","170","98","63",".",".",".",".","99","."
"12060","Atlanta-Sandy Springs-Marietta, GA","365","36","211","68","37","13","210","166","82",".","24","109","22","209","1"
"12100","Atlantic City, NJ","365","292","43","27","3",".","166","87","36",".",".","304","16","43","2"
"12140","Auburn, IN","12","11","1",".",".",".","54","47","22.5",".",".",".",".",".","12"
