"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10300","Adrian, MI","184","136","31","17",".",".","147","90","42",".",".","184",".",".","."
"10420","Akron, OH","366","201","97","66","2",".","159","109","46","28",".","127","200",".","11"
"10460","Alamogordo, NM","44","42","2",".",".",".","84","40","15.5",".",".",".",".",".","44"
"10500","Albany, GA","10","10",".",".",".",".","25","22","14.5",".",".",".",".",".","10"
"10580","Albany-Schenectady-Troy, NY","366","316","41","9",".",".","147","59","35","2","97","222","42",".","3"
"10740","Albuquerque, NM","366","148","212","6",".",".","124","77","54","21","112","153",".",".","80"
"10780","Alexandria, LA","359","322","36","1",".",".","106","51","34",".",".","356",".",".","3"
"10820","Alexandria, MN","7","7",".",".",".",".","10","10","4",".",".",".",".",".","7"
"10880","Allegan, MI","270","226","28","14",".","2","204","80.5","35",".","93","177",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","366","255","87","21","3",".","172","93","43","1","150","130","83",".","2"
"11020","Altoona, PA","366","267","87","11","1",".","159","74","42",".","50","164","132",".","20"
"11100","Amarillo, TX","57","57",".",".",".",".","39","30","15",".",".",".",".",".","57"
"11260","Anchorage, AK","351","228","117","6",".",".","128","71","41","148",".",".",".",".","203"
"11300","Anderson, IN","212","131","47","26","8",".","195","111","45",".",".","184",".",".","28"
"11340","Anderson, SC","362","305","49","7","1",".","195","64","36",".",".","356",".",".","6"
"11460","Ann Arbor, MI","184","153","18","13",".",".","150","67","37",".",".","184",".",".","."
"11500","Anniston-Oxford, AL","53","53",".",".",".",".","37","25","17",".",".",".",".",".","53"
"11540","Appleton, WI","184","157","21","6",".",".","129","64","36",".",".","184",".",".","."
"11620","Ardmore, OK","51","50","1",".",".",".","55","41","22",".",".",".",".",".","51"
"11700","Asheville, NC","361","241","103","17",".",".","145","87","42",".",".","195",".","29","137"
"11780","Ashtabula, OH","319","254","56","8","1",".","154","74","33",".",".","135","184",".","."
"11900","Athens, OH","58","58",".",".",".",".","45","22","16",".",".",".",".",".","58"
"11940","Athens, TN","366","313","48","5",".",".","121","56","27",".","189",".","141",".","36"
"12060","Atlanta-Sandy Springs-Marietta, GA","366","158","151","41","14","2","203","116","54","5","158","151","46",".","6"
"12100","Atlantic City, NJ","366","272","69","22","3",".","156","84","39","43",".","265","11","41","6"
"12140","Auburn, IN","362","330","28","4",".",".","136","50","28",".","124","163","43",".","32"
