"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10100","Aberdeen, SD","122","103","19",".",".",".","89","53","30",".",".",".",".","112","10"
"10140","Aberdeen, WA","365","318","47",".",".",".","83","53","28",".",".",".",".","365","."
"10260","Adjuntas, PR","44","44",".",".",".",".","45","28","15",".",".",".",".","44","."
"10300","Adrian, MI","238","187","50","1",".",".","104","62","41.5",".",".","160",".","78","."
"10420","Akron, OH","365","273","92",".",".",".","92","65","37","17",".","163","72","113","."
"10500","Albany, GA","325","157","164","4",".",".","120","73","51",".",".",".",".","324","1"
"10540","Albany-Lebanon, OR","365","256","103","5","1",".","153","66","33",".",".",".",".","365","."
"10580","Albany-Schenectady-Troy, NY","365","274","89","2",".",".","104","61","38",".",".","175","2","188","."
"10740","Albuquerque, NM","365","172","192","1",".",".","115","70","51",".","5","165",".","98","97"
"10780","Alexandria, LA","119","100","19",".",".",".","63","53","33",".",".",".",".","119","."
"10880","Allegan, MI","244","193","47","4",".",".","142","64","39.5",".",".","176",".","68","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","213","151","1",".",".","117","72","45",".","18","58","20","262","7"
"11020","Altoona, PA","365","346","19",".",".",".","95","47","31",".",".","197","113",".","55"
"11100","Amarillo, TX","363","353","10",".",".",".","58","40","23",".",".",".",".","363","."
"11140","Americus, GA","244","240","4",".",".",".","58","44","32",".",".","244",".",".","."
"11180","Ames, IA","215","215",".",".",".",".","50","44","32",".",".","215",".",".","."
"11260","Anchorage, AK","363","280","81","2",".",".","105","63","29","14",".",".",".","273","76"
"11300","Anderson, IN","241","185","56",".",".",".","90","61","40",".",".","147",".","94","."
"11340","Anderson, SC","365","360","5",".",".",".","71","45","32",".",".","365",".",".","."
"11460","Ann Arbor, MI","244","196","48",".",".",".","97","63","37",".",".","165",".","79","."
"11540","Appleton, WI","363","251","106","6",".",".","113","71","39",".",".","142",".","221","."
"11620","Ardmore, OK","341","247","92",".","2",".","170","64","41",".",".","153",".","188","."
"11700","Asheville, NC","363","265","98",".",".",".","84","61","43",".",".","122",".","241","."
"11780","Ashtabula, OH","365","347","15","3",".",".","124","47","29",".",".","208","157",".","."
"11900","Athens, OH","365","308","56","1",".",".","119","55","33",".","29","178","117","41","."
"11940","Athens, TN","362","343","13","6",".",".","123","31","14",".","261",".","57",".","44"
"12020","Athens-Clarke County, GA","365","256","109",".",".",".","97","62","42",".",".","94",".","271","."
"12060","Atlanta-Sandy Springs-Marietta, GA","365","128","219","18",".",".","147","84","56",".","10","61","2","292","."
"12100","Atlantic City, NJ","363","273","89","1",".",".","111","60","38",".",".","192",".","168","3"
"12260","Augusta-Richmond County, GA-SC","365","221","143",".","1",".","151","66","45",".",".","123",".","242","."
"12300","Augusta-Waterville, ME","214","197","17",".",".",".","90","47","31",".",".","175",".","38","1"
"12420","Austin-Round Rock, TX","365","261","99","5",".",".","111","65","41",".","1","192",".","170","2"
"12540","Bakersfield, CA","365","72","149","108","34","2","299","150","85",".","1","188",".","161","15"
"12580","Baltimore-Towson, MD","365","168","182","14","1",".","185","80","52",".","28","102","11","224","."
"12620","Bangor, ME","326","308","17","1",".",".","104","43","27",".",".","223",".","68","35"
"12660","Baraboo, WI","316","272","41","3",".",".","115","55","32.5",".",".","248",".","68","."
"12700","Barnstable Town, MA","241","221","18","2",".",".","116","49","31",".",".","177",".","64","."
"12940","Baton Rouge, LA","365","139","194","31","1",".","160","95","56",".","13","85","69","195","3"
"13020","Bay City, MI","116","90","26",".",".",".","94","57","27",".",".",".",".","116","."
"13140","Beaumont-Port Arthur, TX","365","211","139","13","2",".","200","79","47",".","2","111","55","197","."
"13180","Beaver Dam, WI","354","297","56","1",".",".","107","58","33",".",".","288",".","66","."
"13220","Beckley, WV","113","88","25",".",".",".","67","58","36",".",".",".",".","113","."
"13380","Bellingham, WA","365","327","38",".",".",".","76","52","26",".",".","42",".","323","."
"13460","Bend, OR","363","338","24","1",".",".","108","47","30",".",".","120",".","243","."
"13540","Bennington, VT","362","312","50",".",".",".","100","54","33",".",".","232",".","130","."
"13620","Berlin, NH-VT","306","286","20",".",".",".","93","49","36",".",".","274",".","32","."
"13740","Billings, MT","365","272","90","3",".",".","115","69","33","4",".",".","255","106","."
"13820","Birmingham-Hoover, AL","365","129","231","5",".",".","124","75","55","4",".","27","7","289","38"
"13860","Bishop, CA","365","261","83","5","4","12","1402","74","44",".",".","253",".","12","100"
"13900","Bismarck, ND","365","336","29",".",".",".","84","47","33",".","26","215","15","108","1"
"14020","Bloomington, IN","257","141","116",".",".",".","88","70","48",".",".","66",".","191","."
"14060","Bloomington-Normal, IL","364","307","57",".",".",".","90","59","34",".",".","292",".","72","."
"14260","Boise City-Nampa, ID","365","202","160","3",".",".","111","67","48","4","33","83",".","229","16"
"14380","Boone, NC","117","101","16",".",".",".","67","54","30",".",".",".",".","117","."
"14460","Boston-Cambridge-Quincy, MA-NH","365","225","135","5",".",".","119","68","45",".","32","71","23","238","1"
"14500","Boulder, CO","365","305","56","4",".",".","122","61","41",".",".","326",".","39","."
"14540","Bowling Green, KY","365","269","96",".",".",".","81","60","38",".",".","174",".","191","."
"14580","Bozeman, MT","365","287","77","1",".",".","108","64","33",".",".",".",".","365","."
"14600","Bradenton-Sarasota-Venice, FL","365","180","181","4",".",".","112","64","51",".",".","49",".","316","."
"14660","Brainerd, MN","360","295","65",".",".",".","96","60","32",".",".","119",".","241","."
"14700","Branson, MO","121","107","14",".",".",".","60","52","26",".",".",".",".","121","."
"14740","Bremerton-Silverdale, WA","356","293","59","4",".",".","126","59","25",".",".",".",".","356","."
"14860","Bridgeport-Stamford-Norwalk, CT","365","266","94","5",".",".","124","71","38","1","42","146","1","174","1"
"14940","Brigham City, UT","239","178","56","5",".",".","132","71","45",".",".","162",".","77","."
"15100","Brookings, SD","360","335","24","1",".",".","110","46","31",".",".","297",".","59","4"
"15180","Brownsville-Harlingen, TX","365","245","120",".",".",".","88","66","43",".",".","90",".","271","4"
"15260","Brunswick, GA","365","344","19","2",".",".","144","45","30",".",".","200","84","74","7"
"15380","Buffalo-Niagara Falls, NY","365","228","135","2",".",".","121","67","46",".","26","72","3","264","."
"15500","Burlington, NC","360","254","106",".",".",".","75","59","42",".",".",".",".","360","."
"15540","Burlington-South Burlington, VT","365","310","55",".",".",".","89","55","35",".","6","196",".","163","."
"15580","Butte-Silver Bow, MT","364","296","62","6",".",".","138","59","30",".",".",".",".","192","172"
"15620","Cadillac, MI","243","217","26",".",".",".","92","52","33",".",".","173",".","70","."
"15860","Canon City, CO","59","59",".",".",".",".","35","25","13",".",".",".",".",".","59"
"15940","Canton-Massillon, OH","365","199","164","2",".",".","126","71","47","26",".","65",".","274","."
"15980","Cape Coral-Fort Myers, FL","365","314","51",".",".",".","71","53","37",".",".","177",".","188","."
"16060","Carbondale, IL","61","61",".",".",".",".","36","25","14",".",".",".",".",".","61"
"16100","Carlsbad-Artesia, NM","365","334","31",".",".",".","90","50","38",".","1","357",".","7","."
"16180","Carson City, NV","114","104","9","1",".",".","101","47","42",".",".","114",".",".","."
"16220","Casper, WY","119","117","2",".",".",".","70","30","15",".",".",".",".","45","74"
"16300","Cedar Rapids, IA","365","248","113","4",".",".","113","67","42",".",".","102","6","255","2"
