"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10100","Aberdeen, SD","103","84","19",".",".",".","77","54","30",".",".",".",".","85","18"
"10300","Adrian, MI","184","160","19","5",".",".","129","61","40",".",".","184",".",".","."
"10380","Aguadilla-Isabela-San Sebastian, PR","92","87","5",".",".",".","73","35","22",".",".",".",".","92","."
"10420","Akron, OH","366","85","220","60","1",".","159","109","68","1",".","46","117","202","."
"10460","Alamogordo, NM","56","54","2",".",".",".","56","34","15.5",".",".",".",".",".","56"
"10500","Albany, GA","115","40","70","5",".",".","122","85","54",".",".",".",".","107","8"
"10540","Albany-Lebanon, OR","115","93","20","2",".",".","122","72","26",".",".",".",".","115","."
"10580","Albany-Schenectady-Troy, NY","366","285","76","4","1",".","154","70","36","5",".","235","43","83","."
"10660","Albert Lea, MN","50","34","15","1",".",".","106","78","34.5",".",".",".",".","34","16"
"10740","Albuquerque, NM","366","154","201","11",".",".","122","87","54",".","31","202",".","73","60"
"10780","Alexandria, LA","362","253","95","14",".",".","124","80","42",".",".","282",".","80","."
"10820","Alexandria, MN","13","11","2",".",".",".","69","52","21",".",".",".",".","10","3"
"10880","Allegan, MI","357","208","138","9","2",".","185","80","44",".",".","119",".","238","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","366","147","194","22","2","1","201","89","54",".","27","78","63","192","6"
"10980","Alpena, MI","78","62","16",".",".",".","79","58","27",".",".",".",".","78","."
"11020","Altoona, PA","366","293","62","10","1",".","151","64","38",".","94","164","104",".","4"
"11100","Amarillo, TX","57","52","5",".",".",".","64","47","26",".",".",".",".","57","."
"11140","Americus, GA","246","162","66","15","3",".","161","93","46",".",".","246",".",".","."
"11180","Ames, IA","259","215","44",".",".",".","100","61","33",".",".","184",".","75","."
"11260","Anchorage, AK","305","257","47","1",".",".","115","54","30","129",".",".",".","81","95"
"11300","Anderson, IN","240","143","92","5",".",".","140","80","46.5",".",".","146",".","92","2"
"11340","Anderson, SC","315","204","79","31","1",".","166","101","43",".",".","315",".",".","."
"11460","Ann Arbor, MI","245","162","75","8",".",".","122","75","43",".",".","145",".","100","."
"11540","Appleton, WI","243","196","45","2",".",".","114","65","34",".",".","157",".","86","."
"11620","Ardmore, OK","301","185","93","19","4",".","187","90","45",".",".","250",".","51","."
"11700","Asheville, NC","300","127","141","30","2",".","165","101","55",".",".","204",".","95","1"
"11780","Ashtabula, OH","366","310","45","9","2",".","177","61","34",".",".","201","165",".","."
"11900","Athens, OH","98","53","45",".",".",".","93","73","44.5",".",".",".",".","82","16"
"11940","Athens, TN","365","233","110","22",".",".","144","81","34",".","161",".","113","83","8"
"12020","Athens-Clarke County, GA","92","23","64","5",".",".","142","84","62",".",".",".",".","92","."
"12060","Atlanta-Sandy Springs-Marietta, GA","366","46","220","72","23","5","209","144","74",".","15","104","28","219","."
"12100","Atlantic City, NJ","363","296","57","8","2",".","159","62","34",".",".","280","25","57","1"
"12140","Auburn, IN","59","56","3",".",".",".","55","36","22",".",".",".",".",".","59"
"12260","Augusta-Richmond County, GA-SC","366","196","132","34","4",".","190","101","48",".","8","268",".","90","."
