"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10140","Aberdeen, WA","365","126","113","117","9",".","200","128","77",".",".",".","363",".","2"
"10420","Akron, OH","365","112","149","100","4",".","192","118","72","2",".","83","278",".","2"
"10540","Albany-Lebanon, OR","59","52","7",".",".",".","66","51","29",".",".",".",".",".","59"
"10580","Albany-Schenectady-Troy, NY","365","242","99","23","1",".","177","90","42","3","103","133","124",".","2"
"10740","Albuquerque, NM","365","200","152","13",".",".","145","84","49","79","41","214",".",".","31"
"10780","Alexandria, LA","345","293","48","4",".",".","119","67","35",".",".","337",".",".","8"
"10880","Allegan, MI","37","22","8","6",".","1","202","119","40",".",".","37",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","231","108","23","3",".","172","90","44","13","72","146","129",".","5"
"10940","Alma, MI","144","101","24","19",".",".","142","105","26","14",".",".","130",".","."
"11020","Altoona, PA","365","236","97","32",".",".","147","93","43",".",".","183","181",".","1"
"11100","Amarillo, TX","13","13",".",".",".",".","28","24","14",".",".",".",".",".","13"
"11180","Ames, IA","365","337","19","9",".",".","130","43","4",".",".",".","365",".","."
"11260","Anchorage, AK","363","206","141","14","2",".","159","84","44","155",".",".",".",".","208"
"11300","Anderson, IN","59","55","4",".",".",".","71","48","24",".",".",".",".",".","59"
"11460","Ann Arbor, MI","215","183","26","6",".",".","135","71","36",".",".","215",".",".","."
"11500","Anniston-Oxford, AL","55","52","3",".",".",".","60","43","23",".",".",".",".",".","55"
"11540","Appleton, WI","182","173","8","1",".",".","104","45","32.5",".",".","182",".",".","."
"11620","Ardmore, OK","57","54","3",".",".",".","52","37","21",".",".",".",".",".","57"
"11700","Asheville, NC","236","215","18","3",".",".","114","50","35",".",".","209",".",".","27"
"11780","Ashtabula, OH","365","260","85","20",".",".","147","80","39",".",".","167","198",".","."
"11940","Athens, TN","365","259","81","25",".",".","141","84","32",".","99",".","238",".","28"
"12060","Atlanta-Sandy Springs-Marietta, GA","365","103","133","96","26","7","213","147","74","13","72","153","122",".","5"
"12100","Atlantic City, NJ","359","280","51","18","8","2","208","84","36","40",".","278","28",".","13"
"12140","Auburn, IN","14","12","2",".",".",".","67","51","29.5",".",".",".",".",".","14"
"12260","Augusta-Richmond County, GA-SC","365","249","90","25","1",".","166","90","42",".","2","343","20",".","."
"12300","Augusta-Waterville, ME","365","306","52","6","1",".","154","62","35",".",".","179","165",".","21"
"12420","Austin-Round Rock, TX","365","297","58","7","3",".","174","61","38","21","120","221",".",".","3"
"12540","Bakersfield, CA","365","67","144","95","52","7","347","164","89","7","105","221","4",".","28"
"12580","Baltimore-Towson, MD","365","116","177","58","13","1","206","118","61","23","112","113","116",".","1"
"12620","Bangor, ME","365","250","93","17","5",".","200","87","39",".",".","93","224",".","48"
"12700","Barnstable Town, MA","213","171","27","10","5",".","200","80","36",".",".","213",".",".","."
"12740","Barre, VT","51","51",".",".",".",".","45","36","20",".",".",".",".",".","51"
"12940","Baton Rouge, LA","365","164","135","51","9","6","209","122","54","1","85","167","111",".","1"
"12980","Battle Creek, MI","48","43","5",".",".",".","70","52","23.5",".",".",".",".",".","48"
"13020","Bay City, MI","125","108","11","6",".",".","114","62","22",".",".",".","74",".","51"
"13140","Beaumont-Port Arthur, TX","365","146","135","72","11","1","201","116","56",".","12","158","195",".","."
"13180","Beaver Dam, WI","181","162","18","1",".",".","119","51","37",".",".","181",".",".","."
"13340","Bellefontaine, OH","209","156","29","23","1",".","164","101","39",".",".","209",".",".","."
"13380","Bellingham, WA","365","314","48","3",".",".","111","55","31","66",".","125","151",".","23"
"13460","Bend, OR","218","147","71",".",".",".","81","62","41","169",".",".",".",".","49"
"13540","Bennington, VT","211","171","31","9",".",".","135","67","38",".",".","211",".",".","."
"13620","Berlin, NH-VT","365","80","160","113","12",".","200","126","79",".",".",".","325",".","40"
"13740","Billings, MT","365","13","80","232","40",".","200","152","114","4",".",".","361",".","."
"13780","Binghamton, NY","30","30",".",".",".",".","48","42","19",".",".",".",".",".","30"
"13820","Birmingham-Hoover, AL","365","187","126","46","6",".","182","111","50","56",".","163","61",".","85"
"13860","Bishop, CA","76","66","6","1",".","3","762","56","23",".",".",".",".",".","76"
"13900","Bismarck, ND","60","57","3",".",".",".","76","37.5","16.5",".",".",".",".",".","60"
"14180","Blytheville, AR","47","42","5",".",".",".","58","51","20",".",".",".",".",".","47"
"14260","Boise City-Nampa, ID","201","118","83",".",".",".","87","65","45","137",".",".",".",".","64"
"14460","Boston-Cambridge-Quincy, MA-NH","365","61","218","82","4",".","200","112","74","4","71","41","249",".","."
"14500","Boulder, CO","365","298","65","2",".",".","122","61","37","115",".","202",".",".","48"
"14540","Bowling Green, KY","345","285","49","11",".",".","132","71","35",".",".","345",".",".","."
"14580","Bozeman, MT","50","47","3",".",".",".","73","44.5","22",".",".",".",".",".","50"
"14600","Bradenton-Sarasota-Venice, FL","365","225","130","10",".",".","132","64","47","205",".","137","16",".","7"
"14860","Bridgeport-Stamford-Norwalk, CT","365","158","143","51","10","3","204","107","56","37","49","103","172",".","4"
"15100","Brookings, SD","58","48","9","1",".",".","138","58","29.5",".",".",".",".",".","58"
"15180","Brownsville-Harlingen, TX","60","60",".",".",".",".","50","35.5","22",".",".",".",".",".","60"
"15260","Brunswick, GA","317","317",".",".",".",".","47","16","6",".",".",".","317",".","."
"15380","Buffalo-Niagara Falls, NY","365","75","148","121","21",".","200","132","86","3","39","30","291",".","2"
"15540","Burlington-South Burlington, VT","365","332","31","2",".",".","104","50","34","12","154","155","35",".","9"
"15580","Butte-Silver Bow, MT","335","319","16",".",".",".","69","43","21",".",".",".",".",".","335"
"15780","Camden, AR","59","59",".",".",".",".","42","36","21",".",".",".",".",".","59"
"15860","Canon City, CO","330","330",".",".",".",".","45","31","16",".",".",".",".",".","330"
"15940","Canton-Massillon, OH","365","230","105","28","1","1","305","95","43","1","7","136","182",".","39"
"15980","Cape Coral-Fort Myers, FL","360","332","28",".",".",".","90","48","34",".",".","360",".",".","."
"16060","Carbondale, IL","57","53","4",".",".",".","59","44","22",".",".",".",".",".","57"
"16100","Carlsbad-Artesia, NM","365","288","57","18","2",".","173","80","29",".","127",".","238",".","."
"16260","Cedar City, UT","53","51","2",".",".",".","68","31","17",".",".",".",".",".","53"
