"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10140","Aberdeen, WA","365","155","97","107","6",".","200","121","64",".",".",".","357",".","8"
"10420","Akron, OH","365","91","143","121","9","1","202","132","79",".",".","106","259",".","."
"10540","Albany-Lebanon, OR","58","46","12",".",".",".","76","61","29.5",".",".",".",".",".","58"
"10580","Albany-Schenectady-Troy, NY","365","285","64","16",".",".","150","76","39","6","89","180","85",".","5"
"10740","Albuquerque, NM","365","193","163","9",".",".","125","74","50","82",".","229",".",".","54"
"10780","Alexandria, LA","247","235","11","1",".",".","119","43","25",".",".","217",".",".","30"
"10880","Allegan, MI","116","51","32","24","8","1","208","142","57.5",".",".","116",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","220","109","29","7",".","195","100","47","9","116","131","108",".","1"
"10940","Alma, MI","356","240","65","51",".",".","144","108","23","44",".",".","312",".","."
"11020","Altoona, PA","365","200","135","28","2",".","154","97","48",".","45","170","150",".","."
"11100","Amarillo, TX","51","50","1",".",".",".","78","29","18",".",".",".",".",".","51"
"11140","Americus, GA","307","274","26","7",".",".","142","51","35",".",".","307",".",".","."
"11180","Ames, IA","365","357","6","2",".",".","113","26","4",".",".",".","365",".","."
"11260","Anchorage, AK","364","212","146","6",".",".","135","81","44","138",".",".",".",".","226"
"11300","Anderson, IN","60","56","4",".",".",".","57","45.5","22",".",".",".",".",".","60"
"11340","Anderson, SC","187","162","22","3",".",".","114","58","33",".",".","187",".",".","."
"11460","Ann Arbor, MI","213","162","30","19","2",".","159","100","39",".",".","213",".",".","."
"11500","Anniston-Oxford, AL","57","52","5",".",".",".","64","43","24",".",".",".",".",".","57"
"11540","Appleton, WI","177","153","23","1",".",".","101","58","33",".",".","177",".",".","."
"11620","Ardmore, OK","53","53",".",".",".",".","46","40","22",".",".",".",".",".","53"
"11700","Asheville, NC","238","232","6",".",".",".","77","44","30",".",".","206",".",".","32"
"11780","Ashtabula, OH","365","231","92","37","5",".","179","104","41",".",".","163","202",".","."
"11900","Athens, OH","20","20",".",".",".",".","47","35","19",".",".",".",".",".","20"
"11940","Athens, TN","365","288","73","3","1",".","178","65","31",".","135",".","199",".","31"
"12060","Atlanta-Sandy Springs-Marietta, GA","365","161","118","75","11",".","187","123","54","13","99","153","96",".","4"
"12100","Atlantic City, NJ","364","244","67","41","11","1","208","116","42","75",".","245","16","21","7"
"12260","Augusta-Richmond County, GA-SC","365","299","59","7",".",".","129","61","38",".",".","297","66",".","2"
"12300","Augusta-Waterville, ME","365","278","73","13","1",".","200","77","36",".",".","178","171",".","16"
"12420","Austin-Round Rock, TX","365","298","54","13",".",".","142","68","38","7","112","236",".",".","10"
"12540","Bakersfield, CA","365","85","134","84","52","10","430","169","80","13","106","215",".",".","31"
"12580","Baltimore-Towson, MD","363","110","167","53","27","6","212","145","62","32","95","138","90",".","8"
"12620","Bangor, ME","365","268","82","15",".",".","134","75","33",".",".","82","220",".","63"
"12700","Barnstable Town, MA","200","150","20","18","9","3","208","115","39",".",".","200",".",".","."
"12740","Barre, VT","53","51","2",".",".",".","62","34","19",".",".",".",".",".","53"
"12940","Baton Rouge, LA","365","178","132","49","6",".","195","110","51","1","85","127","144",".","8"
"12980","Battle Creek, MI","60","53","7",".",".",".","70","51.5","20.5",".",".",".",".",".","60"
"13020","Bay City, MI","15","13","2",".",".",".","62","51","20",".",".",".",".",".","15"
"13140","Beaumont-Port Arthur, TX","365","113","146","89","16","1","201","127","69",".","12","132","217",".","4"
"13180","Beaver Dam, WI","185","153","26","6",".",".","129","67","36",".",".","185",".",".","."
"13340","Bellefontaine, OH","215","122","60","28","5",".","185","116","48",".",".","215",".",".","."
"13380","Bellingham, WA","362","336","23","2","1",".","197","47","28",".",".","118","218",".","26"
"13460","Bend, OR","213","141","72",".",".",".","91","64","43","153",".",".",".",".","60"
"13540","Bennington, VT","232","189","28","13","2",".","164","77","36",".",".","211",".","21","."
"13620","Berlin, NH-VT","365","129","120","105","11",".","177","127","69",".",".","36","270",".","59"
"13740","Billings, MT","365","15","86","212","52",".","200","164","114","3",".",".","362",".","."
"13780","Binghamton, NY","59","58","1",".",".",".","51","45","21",".",".",".",".",".","59"
"13820","Birmingham-Hoover, AL","365","206","137","22",".",".","142","87","45","38",".","136","89",".","102"
"13860","Bishop, CA","132","120","10","2",".",".","114","44","22","61",".",".",".",".","71"
"13900","Bismarck, ND","55","54","1",".",".",".","65","31","17",".",".",".",".",".","55"
