"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10300","Adrian, MI","179","119","49","10","1",".","151","93","45",".",".","179",".",".","."
"10420","Akron, OH","365","172","113","74","5","1","201","116","54","11",".","131","214",".","9"
"10460","Alamogordo, NM","57","56","1",".",".",".","58","24","14",".",".",".",".",".","57"
"10500","Albany, GA","354","350","4",".",".",".","79","22","3",".",".",".","308",".","46"
"10580","Albany-Schenectady-Troy, NY","365","308","48","8","1",".","161","61","36","2","87","257","19",".","."
"10740","Albuquerque, NM","365","228","134","3",".",".","109","77","47","41","69","239",".",".","16"
"10780","Alexandria, LA","365","295","55","15",".",".","142","77","38",".",".","365",".",".","."
"10880","Allegan, MI","184","117","38","23","6",".","197","122","44",".",".","184",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","241","82","39","3",".","159","106","43",".","91","162","112",".","."
"10980","Alpena, MI","22","20","2",".",".",".","55","50","24.5",".",".",".",".",".","22"
"11020","Altoona, PA","365","261","79","21","4",".","161","84","41",".","69","178","113",".","5"
"11140","Americus, GA","214","162","44","8",".",".","137","77","43",".",".","214",".",".","."
"11180","Ames, IA","300","280","20",".",".",".","93","45.5","33",".",".","300",".",".","."
"11260","Anchorage, AK","362","261","98","2","1",".","164","62","34","143",".",".",".",".","219"
"11300","Anderson, IN","212","116","68","23","5",".","182","111","48.5",".",".","184",".",".","28"
"11340","Anderson, SC","364","253","63","40","7","1","203","109","41.5",".",".","364",".",".","."
"11460","Ann Arbor, MI","184","134","43","7",".",".","145","74","43",".",".","184",".",".","."
"11500","Anniston-Oxford, AL","44","43","1",".",".",".","51","38","23",".",".",".",".",".","44"
"11540","Appleton, WI","185","165","17","3",".",".","137","51","40",".",".","185",".",".","."
"11700","Asheville, NC","349","202","93","47","7",".","182","114","47",".",".","206",".","34","109"
"11780","Ashtabula, OH","365","279","55","27","4",".","195","90","34",".",".","191","174",".","."
"11900","Athens, OH","59","59",".",".",".",".","38","31","12",".",".",".",".",".","59"
"11940","Athens, TN","365","294","47","24",".",".","148","70","31",".","168",".","162",".","35"
"12060","Atlanta-Sandy Springs-Marietta, GA","365","159","106","55","36","9","211","161","56","2","135","170","50",".","8"
"12100","Atlantic City, NJ","365","275","50","37","3",".","169","106","38",".",".","305","16","41","3"
"12140","Auburn, IN","58","52","6",".",".",".","59","51","31.5",".",".",".",".",".","58"
"12260","Augusta-Richmond County, GA-SC","365","224","83","49","8","1","201","119","43",".","6","317","36",".","6"
"12300","Augusta-Waterville, ME","221","199","18","4",".",".","150","50","36",".",".","193",".",".","28"
"12420","Austin-Round Rock, TX","365","301","51","13",".",".","150","71","34",".","17","348",".",".","."
"12540","Bakersfield, CA","365","150","90","67","46","12","209","174","61","1","84","246",".","21","13"
"12580","Baltimore-Towson, MD","365","171","117","49","25","3","203","135","52","8","99","167","84",".","7"
"12620","Bangor, ME","212","195","13","3","1",".","151","49","35",".",".","185",".",".","27"
"12660","Baraboo, WI","365","328","32","5",".",".","129","51","35",".","13","352",".",".","."
"12700","Barnstable Town, MA","365","306","49","9","1",".","187","67","36",".","15","350",".",".","."
"12740","Barre, VT","58","58",".",".",".",".","48","37","17.5",".",".",".",".",".","58"
"12940","Baton Rouge, LA","365","182","121","50","10","2","205","123","51","1","65","193","106",".","."
"12980","Battle Creek, MI","51","49","2",".",".",".","58","44","20",".",".",".",".",".","51"
"13140","Beaumont-Port Arthur, TX","365","146","141","68","10",".","200","118","62",".","16","101","248",".","."
"13180","Beaver Dam, WI","185","141","37","7",".",".","135","71","42",".",".","185",".",".","."
"13340","Bellefontaine, OH","214","159","42","13",".",".","150","77","42",".",".","214",".",".","."
"13380","Bellingham, WA","362","354","8",".",".",".","97","38","24",".",".","144","204","9","5"
"13420","Bemidji, MN","15","15",".",".",".",".","22","17","7",".",".",".",".",".","15"
"13460","Bend, OR","212","207","5",".",".",".","66","42","28","128",".",".",".",".","84"
"13540","Bennington, VT","255","208","43","4",".",".","119","62","37",".",".","198",".","57","."
"13620","Berlin, NH-VT","364","211","113","37","3",".","186","101","44",".",".","70","268","7","19"
"13740","Billings, MT","365","95","202","65","3",".","180","107","74","20",".",".","342",".","3"
"13780","Binghamton, NY","54","54",".",".",".",".","50","33","16",".",".",".",".",".","54"
"13820","Birmingham-Hoover, AL","365","209","110","37","7","2","212","111","48","60",".","134","62",".","109"
"13860","Bishop, CA","365","216","112","25","3","9","1360","101","47",".",".","309",".",".","56"
"13900","Bismarck, ND","340","256","50","30","4",".","174","99.5","14",".",".",".","304",".","36"
"14140","Bluefield, WV-VA","59","59",".",".",".",".","36","31","16",".",".",".",".",".","59"
"14260","Boise City-Nampa, ID","365","333","32",".",".",".","98","47","35","20","308",".",".","19","18"
"14460","Boston-Cambridge-Quincy, MA-NH","365","104","216","39","5","1","201","105","64",".","75","66","219",".","5"
"14500","Boulder, CO","365","294","58","12","1",".","151","67","41","61",".","296",".",".","8"
"14540","Bowling Green, KY","365","226","107","28","4",".","169","97","43",".",".","302",".","59","4"
"14580","Bozeman, MT","156","145","11",".",".",".","59","45","19","38",".",".",".",".","118"
"14600","Bradenton-Sarasota-Venice, FL","365","259","84","18","4",".","197","84","43","62",".","247","25",".","31"
"14740","Bremerton-Silverdale, WA","61","61",".",".",".",".","33","19","12",".",".",".",".",".","61"
"14860","Bridgeport-Stamford-Norwalk, CT","365","248","80","32","5",".","185","103","43","20","126","139","78",".","2"
"15100","Brookings, SD","116","115","1",".",".",".","52","39","19",".",".",".",".",".","116"
"15140","Brownsville, TN","290","170","78","37","5",".","187","106","47",".","4","280","6",".","."
"15180","Brownsville-Harlingen, TX","365","338","26","1",".",".","135","48","27","1",".","314","1",".","49"
"15260","Brunswick, GA","226","195","23","7","1",".","164","67","36",".",".","189",".",".","37"
"15380","Buffalo-Niagara Falls, NY","365","130","134","84","17",".","200","135","61",".","57","74","231",".","3"
"15420","Burley, ID","59","57","2",".",".",".","96","35","19",".",".",".",".",".","59"
"15540","Burlington-South Burlington, VT","365","331","31","3",".",".","116","50","34",".","186","178",".",".","1"
"15580","Butte-Silver Bow, MT","365","349","15","1",".",".","109","42","24","252",".",".",".",".","113"
"15620","Cadillac, MI","182","149","26","7",".",".","150","77","40.5",".",".","182",".",".","."
"15860","Canon City, CO","58","57","1",".",".",".","60","26","14",".",".",".",".",".","58"
"15940","Canton-Massillon, OH","365","236","89","34","6",".","197","101","42","11",".","183","140",".","31"
"15980","Cape Coral-Fort Myers, FL","361","312","38","11",".",".","150","61","34",".",".","358",".",".","3"
"16060","Carbondale, IL","58","58",".",".",".",".","44","38","19.5",".",".",".",".",".","58"
"16100","Carlsbad-Artesia, NM","365","283","79","3",".",".","101","61","42",".","11","341","13",".","."
"16180","Carson City, NV","357","329","28",".",".",".","93","49","39","41",".","314",".",".","2"
"16220","Casper, WY","58","58",".",".",".",".","44","29","14.5",".",".",".",".",".","58"
"16300","Cedar Rapids, IA","365","312","48","5",".",".","124","61","34","10",".","202","127",".","26"
"16500","Centralia, WA","181","180","1",".",".",".","61","39","26",".",".","181",".",".","."
"16540","Chambersburg, PA","215","105","70","33","7",".","182","124","51",".",".","215",".",".","."
"16580","Champaign-Urbana, IL","365","318","35","12",".",".","137","58","33",".",".","304","52",".","9"
"16620","Charleston, WV","365","191","130","44",".",".","147","104","50",".","56","125","183",".","1"
"16700","Charleston-North Charleston, SC","365","258","95","12",".",".","135","84","42","1","27","246","42","43","6"
"16740","Charlotte-Gastonia-Concord, NC-SC","365","221","74","49","19","2","202","132","46","27","103","199","28",".","8"
"16820","Charlottesville, VA","61","60","1",".",".",".","51","31","19",".",".",".",".",".","61"
"16860","Chattanooga, TN-GA","241","135","57","37","11","1","201","132","48",".",".","214",".",".","27"
"16900","Chester, SC","237","133","68","34","2",".","182","114","48",".",".","237",".",".","."
"16940","Cheyenne, WY","62","62",".",".",".",".","40","28","14.5",".",".",".",".","18","44"
"16980","Chicago-Naperville-Joliet, IL-IN-WI","365","27","210","115","12","1","203","125","87",".","32","53","203","72","5"
"17020","Chico, CA","365","299","59","5","2",".","158","64","34","5","114","229",".","3","14"
"17140","Cincinnati-Middletown, OH-KY-IN","365","77","183","93","11","1","201","123","74","2","64","84","212",".","3"
"17200","Claremont, NH","358","339","19",".",".",".","100","45","26",".",".","208","145",".","5"
"17260","Clarksdale, MS","57","57",".",".",".",".","49","30","16",".",".",".",".",".","57"
"17300","Clarksville, TN-KY","365","234","108","21","2",".","169","93","42",".",".","204","149",".","12"
"17340","Clearlake, CA","365","363","1","1",".",".","101","36","25",".",".","365",".",".","."
"17420","Cleveland, TN","365","232","84","37","12",".","200","108","41",".","72","29","256",".","8"
"17460","Cleveland-Elyria-Mentor, OH","365","84","167","102","11","1","201","125","75","3","32","57","244",".","29"
"17540","Clinton, IA","365","330","31","3","1",".","163","50","21",".",".",".","94",".","271"
"17660","Coeur d'Alene, ID","119","114","5",".",".",".","76","39","20",".",".",".",".",".","119"
"17700","Coffeyville, KS","365","294","45","23","3",".","163","85","24",".",".",".","146",".","219"
"17820","Colorado Springs, CO","365","259","105","1",".",".","122","65","44","10","143","87","34",".","91"
"17900","Columbia, SC","365","131","176","53","5",".","192","111","61","4","21","148","66",".","126"
"17940","Columbia, TN","61","57","4",".",".",".","67","41","20",".",".",".",".",".","61"
"17980","Columbus, GA-AL","241","157","63","19","2",".","172","97","45",".",".","212",".",".","29"
"18140","Columbus, OH","365","230","80","46","9",".","182","109","43","34",".","190","83",".","58"
"18180","Concord, NH","363","243","67","48","5",".","163","109","33",".",".","121","238",".","4"
