"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10100","Aberdeen, SD","121","100","21",".",".",".","71","56","33",".",".",".",".","101","20"
"10140","Aberdeen, WA","365","318","47",".",".",".","81","52","29",".",".",".",".","361","4"
"10300","Adrian, MI","184","140","34","8","2",".","190","80","42",".",".","184",".",".","."
"10380","Aguadilla-Isabela-San Sebastian, PR","95","94","1",".",".",".","69","38","21",".",".",".",".","95","."
"10420","Akron, OH","365","100","197","65","1","2","204","114","64",".",".","44","125","195","1"
"10500","Albany, GA","121","58","63",".",".",".","97","70","52",".",".",".",".","119","2"
"10540","Albany-Lebanon, OR","111","90","21",".",".",".","91","64","26",".",".",".",".","111","."
"10580","Albany-Schenectady-Troy, NY","365","280","74","9","2",".","161","68","37","1",".","283","23","58","."
"10740","Albuquerque, NM","365","115","226","21","3",".","168","97","60",".","19","174",".","49","123"
"10780","Alexandria, LA","364","312","49","3",".",".","127","58","35",".",".","319",".","45","."
"10880","Allegan, MI","355","207","125","20","3",".","177","89","45",".",".","105",".","250","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","365","137","203","23","2",".","182","94","59",".","14","60","55","219","17"
"11020","Altoona, PA","365","297","62","4","2",".","172","58","38",".","75","167","106",".","17"
"11100","Amarillo, TX","136","125","11",".",".",".","70","47","25",".",".",".",".","136","."
"11140","Americus, GA","216","185","28","3",".",".","127","61","36",".",".","216",".",".","."
"11180","Ames, IA","215","213","2",".",".",".","84","44","31",".",".","215",".",".","."
"11260","Anchorage, AK","310","267","38","3","1","1","486","56.5","24","117",".",".",".","78","115"
"11300","Anderson, IN","241","138","87","15","1",".","164","80","47",".",".","150",".","85","6"
"11340","Anderson, SC","222","161","55","6",".",".","124","80","43",".",".","222",".",".","."
"11460","Ann Arbor, MI","243","165","67","10","1",".","177","88","43",".",".","141",".","102","."
"11540","Appleton, WI","245","197","45","3",".",".","124","69","40",".",".","160",".","85","."
"11620","Ardmore, OK","277","179","87","11",".",".","124","77","45",".",".","211",".","66","."
"11700","Asheville, NC","304","140","147","17",".",".","137","87","52",".",".","126",".","178","."
"11780","Ashtabula, OH","365","304","48","9","4",".","185","64","34",".",".","205","160",".","."
"11900","Athens, OH","109","65","43","1",".",".","110","73","42",".",".",".",".","107","2"
"11940","Athens, TN","324","233","76","12","3",".","195","79","30",".","102",".","129","81","12"
"12020","Athens-Clarke County, GA","251","152","95","4",".",".","124","71","44",".",".","145",".","106","."
"12060","Atlanta-Sandy Springs-Marietta, GA","365","64","258","38","5",".","182","104","63",".","9","67","52","236","1"
"12100","Atlantic City, NJ","365","293","59","11","2",".","187","71","36",".",".","281","17","67","."
"12260","Augusta-Richmond County, GA-SC","365","234","125","6",".",".","123","74","42",".","1","206",".","158","."
"12300","Augusta-Waterville, ME","288","253","31","4",".",".","127","56","34",".",".","237",".","51","."
"12420","Austin-Round Rock, TX","365","260","91","13","1",".","151","71","42",".","11","276",".","72","6"
"12540","Bakersfield, CA","365","70","114","115","59","7","205","172","100",".","14","228",".","120","3"
"12580","Baltimore-Towson, MD","365","88","234","40","1","2","206","104","62",".","25","60","33","247","."
"12620","Bangor, ME","246","197","47","1","1",".","187","61","37",".",".","151",".","95","."
"12660","Baraboo, WI","365","318","44","3",".",".","106","58","32",".","5","321","9","30","."
"12700","Barnstable Town, MA","234","182","36","15","1",".","187","87","38",".",".","166",".","68","."
"12940","Baton Rouge, LA","365","113","201","43","7","1","202","111","60",".","17","94","69","185","."
"13020","Bay City, MI","113","75","38",".",".",".","97","68","38",".",".",".",".","113","."
"13140","Beaumont-Port Arthur, TX","365","126","185","49","5",".","200","109","60",".","6","95","139","125","."
"13180","Beaver Dam, WI","365","256","98","11",".",".","124","79","42",".",".","218",".","147","."
"13220","Beckley, WV","116","67","48","1",".",".","113","71","45",".",".",".",".","116","."
"13380","Bellingham, WA","364","327","37",".",".",".","77","51","30",".",".","110",".","252","2"
"13460","Bend, OR","225","209","16",".",".",".","86","40","18","135",".",".",".","88","2"
"13540","Bennington, VT","361","321","35","5",".",".","116","53","32",".",".","313",".","48","."
"13620","Berlin, NH-VT","245","184","58","3",".",".","109","71","42",".",".","169",".","76","."
"13740","Billings, MT","365","166","168","30","1",".","200","95","55","13",".",".","333","19","."
"13780","Binghamton, NY","28","19","9",".",".",".","65","63","39.5",".",".",".",".","28","."
"13820","Birmingham-Hoover, AL","365","32","276","53","4",".","178","109","71",".",".","24","31","242","68"
"13860","Bishop, CA","365","219","97","25","5","19","16515","113","47",".",".","301",".","1","63"
"13900","Bismarck, ND","365","231","98","36",".",".","137","100","37",".",".",".","301","63","1"
"13940","Blackfoot, ID","50","38","12",".",".",".","90","62.5","28.5",".",".",".",".",".","50"
"14020","Bloomington, IN","184","117","54","12","1",".","154","93","45",".",".","184",".",".","."
"14060","Bloomington-Normal, IL","365","311","52","2",".",".","115","64","33",".",".","328",".","37","."
"14140","Bluefield, WV-VA","112","66","43","3",".",".","115","71","42",".",".",".",".","112","."
"14180","Blytheville, AR","111","65","46",".",".",".","88","66","45",".",".",".",".","111","."
"14260","Boise City-Nampa, ID","365","285","76","4",".",".","119","62","40","71",".","162",".","50","82"
"14380","Boone, NC","114","70","43","1",".",".","117","66","43",".",".",".",".","114","."
"14460","Boston-Cambridge-Quincy, MA-NH","365","90","250","22","3",".","185","93","60",".","38","45","35","247","."
"14500","Boulder, CO","365","279","68","18",".",".","127","77","39","21",".","298",".","44","2"
"14540","Bowling Green, KY","365","255","104","6",".",".","137","74","42",".","36","232","7","88","2"
"14580","Bozeman, MT","358","341","17",".",".",".","94","32","8","202",".",".",".","99","57"
"14600","Bradenton-Sarasota-Venice, FL","365","301","54","9","1",".","154","64","37","13","3","279","20","48","2"
"14660","Brainerd, MN","55","51","4",".",".",".","71","45","24",".",".",".",".","55","."
"14700","Branson, MO","121","87","34",".",".",".","95","58","34",".",".",".",".","121","."
"14740","Bremerton-Silverdale, WA","21","16","5",".",".",".","74","60","40",".",".",".",".","21","."
"14860","Bridgeport-Stamford-Norwalk, CT","365","256","87","16","4","2","204","85","42","1","112","141","38","72","1"
"14940","Brigham City, UT","223","141","76","5","1",".","159","82","46",".",".","153",".","70","."
"15100","Brookings, SD","125","90","35",".",".",".","85","63","35",".",".",".",".","79","46"
"15140","Brownsville, TN","304","243","57","4",".",".","142","64","40","23","31","245","5",".","."
"15180","Brownsville-Harlingen, TX","365","281","81","3",".",".","123","61","36",".",".","132",".","69","164"
"15260","Brunswick, GA","277","218","59",".",".",".","97","59","36",".",".","185",".","87","5"
"15380","Buffalo-Niagara Falls, NY","365","178","124","51","12",".","187","119","51",".","58","99","153","55","."
"15500","Burlington, NC","114","55","57","2",".",".","118","75","51.5",".",".",".",".","114","."
"15540","Burlington-South Burlington, VT","365","315","48","2",".",".","110","57","35",".","62","236",".","67","."
"15580","Butte-Silver Bow, MT","365","340","22","3",".",".","123","40","20","154",".",".",".","66","145"
"15620","Cadillac, MI","352","308","38","6",".",".","150","58","30","69",".","164","52","67","."
"15860","Canon City, CO","58","58",".",".",".",".","28","23","13",".",".",".",".",".","58"
"15940","Canton-Massillon, OH","365","226","123","13","2","1","201","80","44","7",".","136","98","101","23"
"15980","Cape Coral-Fort Myers, FL","365","331","31","3",".",".","132","49","34",".",".","303",".","46","16"
"16060","Carbondale, IL","60","60",".",".",".",".","44","32","17",".",".",".",".",".","60"
"16100","Carlsbad-Artesia, NM","365","332","32",".","1",".","152","49","35",".","99","233","8","25","."
"16180","Carson City, NV","365","345","20",".",".",".","71","48","34","154",".","211",".",".","."
"16220","Casper, WY","57","54","2","1",".",".","120","38","16",".",".",".",".",".","57"
"16300","Cedar Rapids, IA","365","167","168","30",".",".","146","93","54","1",".","90","98","176","."
"16500","Centralia, WA","211","174","30","7",".",".","111","67","37",".",".","139",".","72","."
"16540","Chambersburg, PA","210","173","32","5",".",".","150","61","42",".",".","210",".",".","."
"16580","Champaign-Urbana, IL","365","297","64","4",".",".","113","65","34",".",".","274",".","91","."
"16620","Charleston, WV","365","217","131","15","2",".","151","84","45",".",".","108","153","95","9"
"16700","Charleston-North Charleston, SC","365","201","161","3",".",".","114","67","47",".","6","95","9","254","1"
"16740","Charlotte-Gastonia-Concord, NC-SC","365","115","232","14","4",".","197","87","58",".","19","82","29","234","1"
"16820","Charlottesville, VA","59","59",".",".",".",".","41","25","15",".",".",".",".",".","59"
"16860","Chattanooga, TN-GA","267","148","105","12","2",".","169","81","48",".",".","154",".","112","1"
"16900","Chester, SC","238","190","43","5",".",".","122","71","38",".",".","238",".",".","."
"16940","Cheyenne, WY","117","113","4",".",".",".","64","33","18",".",".",".",".","107","10"
"16980","Chicago-Naperville-Joliet, IL-IN-WI","365","33","272","56","4",".","164","109","71",".","57","38","76","182","12"
"17020","Chico, CA","365","238","104","23",".",".","140","93","42","2","26","309",".","25","3"
"17140","Cincinnati-Middletown, OH-KY-IN","365","49","221","91","3","1","203","116","74",".","11","43","177","134","."
"17200","Claremont, NH","213","180","31","2",".",".","122","58","36",".",".","173",".","40","."
"17220","Clarksburg, WV","118","60","57","1",".",".","116","71","50",".",".",".",".","118","."
"17300","Clarksville, TN-KY","365","235","110","20",".",".","133","84","44",".",".","184","92","88","1"
"17340","Clearlake, CA","365","352","13",".",".",".","72","44","34",".",".","359",".","6","."
"17380","Cleveland, MS","315","181","131","3",".",".","111","74","47",".",".","103",".","212","."
"17420","Cleveland, TN","365","313","41","11",".",".","144","61","27",".","106",".","234",".","25"
"17460","Cleveland-Elyria-Mentor, OH","365","50","227","81","6","1","203","114","75",".","1","37","146","169","12"
"17540","Clinton, IA","365","291","69","5",".",".","111","68","35",".",".","177","9","77","102"
"17660","Coeur d'Alene, ID","364","298","64","2",".",".","111","58","28",".",".",".",".","327","37"
"17700","Coffeyville, KS","365","306","51","8",".",".","131","61","27",".",".",".","174",".","191"
"17820","Colorado Springs, CO","365","294","67","4",".",".","122","64","41","17",".","286",".","42","20"
"17860","Columbia, MO","115","66","48","1",".",".","113","71","45",".",".",".",".","115","."
"17900","Columbia, SC","365","137","204","24",".",".","145","92","55","1","7","93","58","179","27"
"17940","Columbia, TN","109","61","48",".",".",".","93","67","46",".",".",".",".","109","."
"17980","Columbus, GA-AL","316","177","136","2","1",".","175","73","47",".",".","108",".","208","."
"18060","Columbus, MS","103","51","52",".",".",".","95","71","51",".",".",".",".","103","."
"18140","Columbus, OH","365","114","224","24","2","1","206","93","58",".",".","77","4","281","3"
"18180","Concord, NH","365","204","111","49","1",".","170","105","46",".",".","74","243","48","."
"18260","Cookeville, TN","282","179","93","9","1",".","151","77","46",".",".","194",".","88","."
"18500","Corning, NY","330","240","88","2",".",".","128","62","33",".",".",".",".","330","."
"18580","Corpus Christi, TX","365","278","74","13",".",".","145","71","37",".",".","247","45","73","."
"18860","Crescent City, CA","148","148",".",".",".",".","43","22","12",".",".",".",".","97","51"
"19020","Culpeper, VA","58","58",".",".",".",".","46","23","14",".",".",".",".",".","58"
"19100","Dallas-Fort Worth-Arlington, TX","365","105","204","43","11","2","206","122","61",".","26","138","25","174","2"
"19140","Dalton, GA","262","179","67","14","2",".","159","86","43",".",".","189",".","73","."
"19300","Daphne-Fairhope-Foley, AL","281","208","68","5",".",".","150","66","38",".",".","181",".","100","."
"19340","Davenport-Moline-Rock Island, IA-IL","365","186","171","8",".",".","129","83","50",".","1","110",".","183","71"
"19380","Dayton, OH","365","129","214","19","1","2","203","90","56","4",".","71","2","288","."
"19460","Decatur, AL","285","177","98","10",".",".","145","77","47",".",".","189",".","96","."
"19500","Decatur, IL","365","276","86","3",".",".","111","69","37",".",".","226","52","87","."
"19660","Deltona-Daytona Beach-Ormond Beach, FL","365","337","26","2",".",".","104","49","31",".",".","274",".","71","20"
"19700","Deming, NM","58","55","1","2",".",".","113","33","16",".",".",".",".",".","58"
"19740","Denver-Aurora, CO","365","120","200","42","2","1","202","103","61","1","151","112","14","57","30"
"19760","De Ridder, LA","363","337","19","7",".",".","122","47","31",".",".","363",".",".","."
"19780","Des Moines-West Des Moines, IA","365","232","130","3",".",".","127","67","41","4","33","56",".","221","51"
"19820","Detroit-Warren-Livonia, MI","365","81","190","83","10","1","204","121","69",".","27","32","113","157","36"
"19860","Dickinson, ND","144","142","2",".",".",".","74","34","24",".",".","43",".","101","."
"19980","Dodge City, KS","54","51","3",".",".",".","77","41","24",".",".",".",".",".","54"
"20020","Dothan, AL","94","49","44","1",".",".","144","69","47",".",".",".",".","88","6"
"20060","Douglas, GA","49","32","17",".",".",".","84","67","40",".",".",".",".","49","."
"20100","Dover, DE","277","188","76","11","2",".","172","84","41",".",".","183",".","94","."
"20180","DuBois, PA","207","170","30","5","2",".","166","67","41",".",".","207",".",".","."
"20260","Duluth, MN-WI","365","265","98","2",".",".","142","66","39",".",".","212","1","142","10"
"20420","Durango, CO","365","337","28",".",".",".","87","48","36",".","34","286",".","7","38"
"20500","Durham, NC","353","169","169","14","1",".","156","80","52",".",".","94",".","258","1"
"20540","Dyersburg, TN","105","60","44","1",".",".","106","68","46",".",".",".",".","105","."
"20620","East Liverpool-Salem, OH","363","262","67","32","2",".","159","96","22",".",".",".","330",".","33"
"20740","Eau Claire, WI","54","54",".",".",".",".","37","27","13.5",".",".",".",".",".","54"
"20820","Effingham, IL","215","192","22","1",".",".","119","51","38",".",".","215",".",".","."
"20940","El Centro, CA","365","159","159","43","3","1","736","105","54","15","66","211",".","46","27"
"20980","El Dorado, AR","365","318","45","1","1",".","181","53","10",".",".",".","264","101","."
"21020","Elizabeth City, NC","218","177","36","5",".",".","140","64","39",".",".","176",".","42","."
"21060","Elizabethtown, KY","284","192","89","3",".",".","119","71","43",".",".","200",".","83","1"
"21140","Elkhart-Goshen, IN","241","146","84","10","1",".","154","84","46",".",".","148",".","93","."
"21220","Elko, NV","353","350","2","1",".",".","104","32","16",".",".",".",".","27","326"
"21260","Ellensburg, WA","119","119",".",".",".",".","48","33","12",".",".",".",".","88","31"
"21300","Elmira, NY","365","343","18","4",".",".","140","47","31",".",".","315","50",".","."
"21340","El Paso, TX","365","128","200","27","5","5","1032","101","56","7","61","117","1","52","127"
"21380","Emporia, KS","119","95","22","1","1",".","153","56","32",".",".",".",".","119","."
"21420","Enid, OK","124","92","32",".",".",".","93","58","39.5",".",".",".",".","124","."
"21500","Erie, PA","365","182","168","12","3",".","185","82","51","3","27","75","80","178","2"
"21540","Escanaba, MI","364","362","2",".",".",".","56","14","0",".",".",".","364",".","."
"21580","Espanola, NM","98","98",".",".",".",".","42","23","10.5",".",".",".",".","98","."
"21640","Eufaula, AL-GA","15","9","6",".",".",".","84","67","38",".",".",".",".","15","."
"21660","Eugene-Springfield, OR","365","224","115","21","5",".","158","90","43","6",".","116",".","242","1"
"21700","Eureka-Arcata-Fortuna, CA","64","56","7","1",".",".","102","54","25.5",".",".",".",".","51","13"
"21780","Evansville, IN-KY","365","79","146","114","26",".","200","132","80",".","6","49","243","67","."
"21820","Fairbanks, AK","229","196","33",".",".",".","100","57","23","138",".",".",".","91","."
"21900","Fairmont, WV","114","43","69","2",".",".","130","74","56",".",".",".",".","114","."
"21940","Fajardo, PR","348","333","15",".",".",".","66","38","20",".",".",".",".","136","212"
"22020","Fargo, ND-MN","365","328","36","1",".",".","131","51","34",".","30","276",".","55","4"
